wage,educ,exper,married,credit_score1,credit_score2,credit_limit,spend
550.0,12,6,1,483.0,321.0,1700.0,2798
460.0,12,15,1,448.0,143.0,200.0,1281
1240.0,12,13,1,517.0,464.0,3000.0,4121
1610.0,17,7,1,603.0,554.0,4700.0,5071
500.0,17,8,0,241.0,464.0,2100.0,2719
720.0,18,4,1,397.0,464.0,1100.0,2673
1290.0,16,13,1,500.0,625.0,4100.0,4550
1440.0,12,5,1,621.0,589.0,4200.0,4763
560.0,12,4,1,483.0,518.0,2800.0,3350
1140.0,13,21,1,431.0,321.0,2600.0,3832
1000.0,12,17,1,483.0,643.0,1700.0,3227
1000.0,18,1,1,379.0,554.0,3100.0,4070
2840.0,18,6,1,672.0,821.0,5200.0,6623
710.0,15,16,1,362.0,571.0,3100.0,3620
1350.0,14,18,1,534.0,446.0,2600.0,4004
1360.0,11,19,1,586.0,518.0,3600.0,4369
970.0,16,8,1,466.0,554.0,3500.0,4047
860.0,16,10,1,448.0,554.0,2600.0,3563
840.0,13,10,1,483.0,482.0,3700.0,3954
1250.0,18,13,1,500.0,589.0,4900.0,4731
680.0,11,7,1,466.0,482.0,2400.0,3318
850.0,12,14,1,414.0,589.0,500.0,2238
530.0,12,11,0,414.0,375.0,4200.0,3420
740.0,12,4,0,328.0,411.0,1100.0,2423
1010.0,12,17,0,466.0,589.0,3900.0,3783
1060.0,12,14,1,603.0,446.0,3700.0,4068
1100.0,12,10,1,345.0,643.0,3500.0,4342
500.0,12,7,0,517.0,482.0,1000.0,1845
680.0,13,9,1,310.0,536.0,3200.0,3764
930.0,12,11,1,483.0,696.0,3300.0,3920
1060.0,10,13,1,534.0,518.0,3600.0,4132
840.0,12,6,1,552.0,518.0,2200.0,3334
1160.0,12,18,1,414.0,482.0,3800.0,4371
930.0,16,7,1,362.0,411.0,1000.0,2876
620.0,12,17,1,397.0,446.0,1500.0,2744
1040.0,13,12,1,448.0,500.0,1600.0,3295
740.0,12,7,0,466.0,196.0,1100.0,2258
1240.0,15,15,1,569.0,464.0,2500.0,3810
1330.0,9,18,1,534.0,643.0,2900.0,4152
1000.0,13,15,1,414.0,589.0,2900.0,3865
410.0,12,16,1,431.0,250.0,1100.0,2206
280.0,10,11,1,276.0,429.0,200.0,1300
1220.0,18,10,1,655.0,571.0,2600.0,3765
1040.0,10,15,1,414.0,500.0,2900.0,3944
1790.0,15,8,1,569.0,554.0,4000.0,5109
1910.0,16,16,1,586.0,607.0,5400.0,5568
1010.0,16,9,0,397.0,571.0,2800.0,3484
1390.0,16,9,1,534.0,500.0,3900.0,4612
650.0,11,17,1,500.0,339.0,2600.0,3235
730.0,15,12,1,362.0,464.0,700.0,2343
1080.0,12,4,1,500.0,679.0,2800.0,3957
1280.0,12,14,1,672.0,518.0,4500.0,4525
1360.0,16,15,1,569.0,571.0,2400.0,3901
2620.0,12,21,1,828.0,554.0,5900.0,6303
910.0,16,9,0,466.0,429.0,200.0,1423
1480.0,17,7,1,448.0,643.0,3400.0,4640
680.0,12,13,1,586.0,429.0,3100.0,3420
600.0,12,11,1,414.0,446.0,1800.0,2930
1250.0,12,11,1,517.0,536.0,4400.0,4643
800.0,13,1,1,397.0,429.0,1500.0,3110
870.0,10,23,1,448.0,429.0,3800.0,3960
520.0,11,7,1,310.0,304.0,1500.0,2819
910.0,18,7,0,534.0,321.0,1400.0,2533
890.0,13,4,1,414.0,589.0,2400.0,3633
1970.0,16,9,1,552.0,732.0,4000.0,5324
990.0,12,11,1,466.0,321.0,2400.0,3642
550.0,12,10,0,448.0,250.0,200.0,1041
2030.0,18,13,1,741.0,482.0,4200.0,5211
960.0,10,19,1,310.0,464.0,900.0,2825
1330.0,12,16,1,621.0,536.0,2900.0,4055
850.0,13,16,1,328.0,268.0,2000.0,3360
1250.0,16,10,1,534.0,661.0,2500.0,3900
660.0,18,6,1,379.0,464.0,3200.0,3652
1030.0,12,14,1,483.0,482.0,1700.0,3295
510.0,12,12,1,466.0,375.0,1100.0,2330
780.0,14,7,1,448.0,536.0,1900.0,3186
790.0,12,16,1,345.0,357.0,2400.0,3471
890.0,16,10,1,569.0,375.0,5700.0,4504
2560.0,14,1,1,690.0,661.0,6700.0,6752
850.0,12,11,1,397.0,286.0,2900.0,3754
1000.0,16,9,1,500.0,589.0,2600.0,3688
1400.0,15,6,1,414.0,429.0,3200.0,4534
1240.0,16,11,1,483.0,571.0,3900.0,4463
1270.0,14,13,1,431.0,589.0,2500.0,4017
910.0,12,13,1,569.0,536.0,2800.0,3594
1040.0,10,14,1,345.0,446.0,3200.0,4141
820.0,17,7,1,379.0,554.0,2200.0,3420
1230.0,14,18,1,586.0,393.0,2000.0,3530
1120.0,12,12,1,534.0,482.0,2000.0,3529
730.0,11,10,1,345.0,464.0,2400.0,3470
1440.0,16,11,1,552.0,625.0,3300.0,4420
840.0,17,12,1,448.0,643.0,3900.0,3998
340.0,16,7,1,190.0,321.0,400.0,1754
1370.0,12,19,1,483.0,446.0,2800.0,4170
1060.0,18,8,1,328.0,518.0,1300.0,3246
700.0,12,11,1,483.0,536.0,4200.0,3953
760.0,14,9,1,293.0,375.0,2200.0,3448
1540.0,13,8,1,466.0,607.0,2200.0,4230
750.0,11,15,1,362.0,268.0,2700.0,3557
560.0,12,16,1,672.0,286.0,2300.0,2823
860.0,17,8,1,224.0,429.0,3800.0,4253
1010.0,17,4,1,379.0,554.0,1700.0,3425
1860.0,17,10,1,672.0,589.0,8000.0,6108
770.0,12,17,1,517.0,375.0,400.0,1886
470.0,15,6,0,397.0,268.0,1800.0,2413
1020.0,12,15,1,448.0,518.0,2700.0,3786
2230.0,16,12,1,586.0,607.0,5500.0,6021
940.0,12,11,1,397.0,375.0,3900.0,4229
800.0,12,13,1,431.0,411.0,700.0,2378
790.0,16,8,0,431.0,536.0,2000.0,2836
650.0,13,8,1,328.0,429.0,200.0,1690
500.0,10,11,0,276.0,321.0,2200.0,2770
1400.0,15,15,1,483.0,607.0,5400.0,5081
1160.0,11,15,1,414.0,429.0,2600.0,3955
1220.0,13,11,1,517.0,571.0,4400.0,4598
1340.0,16,9,1,500.0,464.0,3600.0,4483
580.0,12,12,1,362.0,196.0,1800.0,2949
880.0,12,10,1,517.0,357.0,2600.0,3557
980.0,12,15,1,397.0,446.0,2700.0,3790
1330.0,12,17,1,310.0,500.0,1600.0,3741
610.0,15,8,1,379.0,446.0,1000.0,2472
610.0,13,20,1,345.0,446.0,3100.0,3497
1460.0,16,11,1,569.0,643.0,4700.0,4894
430.0,15,6,0,310.0,536.0,2200.0,2654
1980.0,11,22,1,655.0,429.0,5600.0,5628
1540.0,17,1,1,603.0,571.0,3600.0,4689
1000.0,16,9,1,414.0,643.0,2900.0,3897
1150.0,12,17,1,345.0,554.0,2500.0,3937
1330.0,15,13,1,655.0,482.0,3700.0,4320
590.0,12,18,1,431.0,482.0,1100.0,2402
970.0,12,17,0,552.0,518.0,2800.0,3241
730.0,12,10,0,448.0,286.0,2600.0,3043
860.0,10,23,1,534.0,464.0,1100.0,2593
2050.0,18,13,1,638.0,554.0,5900.0,5830
1000.0,16,5,1,362.0,500.0,2500.0,3821
920.0,18,7,1,328.0,500.0,1000.0,2877
1120.0,15,8,1,414.0,357.0,3000.0,4101
1130.0,12,13,1,466.0,464.0,3000.0,4041
390.0,12,4,1,362.0,250.0,3600.0,3571
1140.0,11,16,1,448.0,625.0,1100.0,3075
720.0,15,14,1,534.0,393.0,1300.0,2601
650.0,12,20,1,552.0,696.0,3300.0,3425
960.0,12,16,1,586.0,286.0,3100.0,3729
1280.0,17,1,1,345.0,464.0,1900.0,3919
1330.0,12,13,1,466.0,464.0,4300.0,4739
1520.0,12,5,1,534.0,536.0,4200.0,4946
380.0,10,12,1,276.0,339.0,1700.0,2759
980.0,12,6,0,466.0,554.0,2800.0,3451
670.0,12,8,0,310.0,554.0,1400.0,2518
680.0,12,18,1,448.0,411.0,3200.0,3548
840.0,11,16,1,500.0,429.0,900.0,2512
620.0,12,13,1,379.0,393.0,1800.0,2971
1060.0,12,16,1,466.0,464.0,4100.0,4320
1160.0,13,20,1,500.0,500.0,2800.0,3883
640.0,11,17,1,534.0,375.0,2000.0,2913
1010.0,11,19,1,500.0,429.0,2100.0,3421
670.0,13,8,1,397.0,589.0,1500.0,2882
1810.0,12,10,0,534.0,429.0,3600.0,4642
1220.0,18,14,1,603.0,393.0,3900.0,4270
1890.0,16,14,1,741.0,500.0,4500.0,5147
2260.0,13,8,1,621.0,607.0,4800.0,5893
780.0,16,8,0,241.0,536.0,2400.0,3203
1220.0,12,18,1,569.0,446.0,3000.0,3996
1570.0,18,10,1,483.0,554.0,4100.0,4915
1180.0,16,9,0,569.0,536.0,2700.0,3476
810.0,12,13,0,293.0,250.0,1600.0,2774
1120.0,12,16,1,500.0,393.0,3000.0,3966
1270.0,13,10,1,466.0,536.0,2600.0,4065
960.0,13,15,1,431.0,464.0,1200.0,2937
1190.0,14,9,1,500.0,464.0,3800.0,4394
1480.0,16,10,1,569.0,536.0,4100.0,4740
1520.0,16,9,0,569.0,357.0,4600.0,4557
1270.0,12,10,1,517.0,429.0,3600.0,4412
1140.0,12,11,1,483.0,554.0,2800.0,3976
1460.0,17,13,0,586.0,571.0,4500.0,4387
1190.0,13,13,1,569.0,304.0,2800.0,3920
1360.0,18,7,1,397.0,589.0,4900.0,5026
870.0,12,16,1,379.0,446.0,2400.0,3533
410.0,12,14,1,448.0,250.0,2600.0,3022
930.0,12,16,1,483.0,518.0,3700.0,4012
1140.0,12,13,1,448.0,429.0,4200.0,4497
1220.0,12,16,1,431.0,446.0,4700.0,4735
1950.0,16,8,1,655.0,661.0,6700.0,5965
1130.0,12,4,1,414.0,429.0,3600.0,4406
1040.0,16,7,1,362.0,500.0,2800.0,3977
830.0,12,17,1,500.0,607.0,600.0,2205
1490.0,13,3,1,517.0,554.0,4100.0,4904
700.0,12,17,1,466.0,375.0,1800.0,2939
880.0,11,17,1,517.0,696.0,3900.0,3987
600.0,11,16,1,517.0,411.0,2800.0,3253
850.0,12,17,1,483.0,393.0,2800.0,3568
1120.0,12,11,1,448.0,464.0,1300.0,3228
890.0,16,8,0,534.0,446.0,3100.0,3333
810.0,13,14,1,397.0,500.0,2500.0,3496
880.0,12,16,1,569.0,411.0,1400.0,2833
1070.0,11,9,1,345.0,268.0,2300.0,3842
940.0,12,20,1,569.0,554.0,3300.0,3754
780.0,14,9,1,310.0,339.0,1800.0,3251
690.0,9,15,1,328.0,250.0,1500.0,2946
540.0,12,7,1,362.0,357.0,2600.0,3333
1670.0,18,7,1,466.0,625.0,4200.0,5113
770.0,12,8,1,500.0,464.0,2300.0,3328
1300.0,10,13,1,414.0,268.0,2700.0,4195
850.0,14,9,1,534.0,268.0,1700.0,3058
750.0,9,19,1,431.0,357.0,1500.0,2875
910.0,18,8,1,397.0,607.0,3500.0,4023
1240.0,12,16,1,534.0,625.0,3000.0,4076
530.0,10,20,1,293.0,393.0,900.0,2315
1770.0,18,8,1,569.0,625.0,5700.0,5561
510.0,12,11,1,328.0,304.0,2300.0,3155
540.0,13,10,1,448.0,446.0,1200.0,2466
470.0,12,14,1,414.0,518.0,1400.0,2514
1270.0,14,16,1,517.0,696.0,4000.0,4468
1440.0,16,7,1,534.0,536.0,4700.0,4947
1180.0,15,8,1,500.0,464.0,4100.0,4481
1020.0,18,8,1,448.0,571.0,2800.0,3837
1450.0,18,12,1,569.0,536.0,5100.0,4969
1110.0,13,11,1,397.0,571.0,2700.0,3973
1150.0,13,11,1,483.0,696.0,3800.0,4350
1010.0,12,15,1,569.0,446.0,2400.0,3523
730.0,16,8,1,431.0,661.0,300.0,1831
870.0,16,7,1,466.0,643.0,2100.0,3356
370.0,12,9,1,345.0,446.0,200.0,1338
1100.0,12,17,1,517.0,393.0,4100.0,4308
1280.0,15,15,1,466.0,518.0,3700.0,4427
640.0,9,15,1,379.0,286.0,1700.0,2951
830.0,12,16,1,517.0,536.0,3200.0,3676
400.0,12,4,1,345.0,339.0,1300.0,2537
680.0,18,6,1,328.0,661.0,1300.0,2810
780.0,12,6,1,552.0,464.0,3000.0,3606
1190.0,12,16,1,328.0,571.0,1900.0,3728
750.0,17,12,1,569.0,464.0,2200.0,3097
1030.0,18,8,1,414.0,696.0,500.0,2452
910.0,12,15,1,362.0,554.0,2100.0,3468
1350.0,12,12,1,621.0,375.0,1400.0,3385
1550.0,13,3,1,466.0,268.0,2400.0,4382
1070.0,12,20,1,500.0,679.0,1500.0,3150
510.0,12,15,1,310.0,429.0,1500.0,2717
1340.0,16,7,1,586.0,625.0,3700.0,4450
720.0,12,17,1,328.0,339.0,2300.0,3350
1350.0,13,13,1,534.0,393.0,4700.0,4807
920.0,12,15,1,293.0,536.0,2900.0,3901
790.0,14,7,1,328.0,482.0,700.0,2508
1380.0,13,13,1,431.0,518.0,3300.0,4480
1140.0,17,8,1,397.0,554.0,2200.0,3777
910.0,12,17,1,569.0,321.0,3000.0,3634
900.0,16,10,0,483.0,518.0,500.0,1829
740.0,10,14,1,276.0,339.0,3000.0,3773
880.0,12,16,1,362.0,393.0,2000.0,3374
1220.0,12,16,1,379.0,464.0,2500.0,3998
1010.0,16,9,0,500.0,661.0,2700.0,3342
950.0,16,11,1,379.0,536.0,1100.0,2914
970.0,14,8,1,448.0,571.0,2100.0,3504
1340.0,18,14,1,621.0,446.0,3800.0,4358
1270.0,12,11,0,345.0,554.0,3900.0,4277
870.0,12,7,1,276.0,482.0,2800.0,3898
1570.0,16,6,1,500.0,732.0,4500.0,5086
1330.0,14,10,1,621.0,393.0,4300.0,4591
600.0,12,12,1,362.0,375.0,1800.0,2973
1860.0,18,12,1,586.0,661.0,4900.0,5386
1050.0,14,8,1,690.0,393.0,3600.0,3973
800.0,13,14,1,534.0,643.0,3200.0,3634
890.0,10,13,1,586.0,554.0,2900.0,3615
700.0,12,12,1,466.0,446.0,1100.0,2558
1430.0,16,6,0,483.0,464.0,2700.0,3894
1670.0,12,16,1,638.0,589.0,5000.0,5155
1520.0,12,17,1,586.0,536.0,700.0,3047
1090.0,12,16,1,517.0,536.0,2100.0,3520
1040.0,12,6,0,379.0,500.0,2700.0,3568
1870.0,16,9,1,569.0,571.0,3500.0,5013
1500.0,17,8,1,638.0,607.0,4700.0,4894
930.0,15,1,1,414.0,571.0,3800.0,4236
1480.0,16,8,1,621.0,679.0,4100.0,4708
1090.0,13,11,1,552.0,411.0,2000.0,3474
1420.0,16,4,1,379.0,500.0,3100.0,4564
1150.0,14,6,1,379.0,464.0,3700.0,4460
1760.0,18,12,1,500.0,643.0,5700.0,5575
710.0,13,9,1,517.0,304.0,1300.0,2676
1280.0,13,10,1,500.0,500.0,3200.0,4285
610.0,17,8,0,500.0,536.0,2000.0,2540
1060.0,11,15,1,379.0,500.0,400.0,2402
520.0,12,9,0,293.0,464.0,400.0,1489
1690.0,12,15,1,586.0,464.0,4700.0,5153
1120.0,12,18,1,448.0,393.0,1600.0,3341
1760.0,16,12,1,586.0,732.0,5600.0,5483
1780.0,12,11,1,517.0,607.0,4200.0,5214
1160.0,12,17,1,500.0,339.0,2900.0,3963
1030.0,10,15,1,552.0,482.0,2400.0,3582
960.0,11,16,1,621.0,446.0,2700.0,3539
1490.0,16,11,1,707.0,571.0,4700.0,4793
750.0,12,16,1,138.0,446.0,1600.0,3227
1490.0,12,19,1,621.0,607.0,3800.0,4553
740.0,14,9,1,517.0,411.0,2300.0,3246
430.0,12,21,1,397.0,286.0,1100.0,2215
1680.0,17,7,1,586.0,554.0,5700.0,5455
600.0,11,13,0,397.0,232.0,600.0,1684
2710.0,12,21,1,793.0,696.0,4600.0,6080
780.0,12,16,1,414.0,607.0,3200.0,3721
660.0,13,9,1,379.0,589.0,2000.0,3151
1090.0,18,8,1,431.0,625.0,3300.0,4134
520.0,12,11,1,293.0,339.0,1700.0,2902
1080.0,12,17,1,500.0,482.0,3000.0,3907
860.0,12,9,1,362.0,500.0,4700.0,4440
860.0,12,17,1,534.0,625.0,2400.0,3357
2220.0,16,16,1,862.0,821.0,5900.0,5800
1040.0,16,7,1,466.0,393.0,200.0,2002
1090.0,12,11,1,500.0,482.0,4200.0,4402
940.0,12,17,1,431.0,446.0,2200.0,3464
940.0,11,16,1,448.0,464.0,3000.0,3810
1050.0,16,11,1,379.0,554.0,1600.0,3355
990.0,12,15,1,379.0,357.0,3500.0,4128
770.0,12,11,1,414.0,500.0,3400.0,3832
480.0,12,16,1,276.0,429.0,2200.0,3076
920.0,16,8,1,397.0,339.0,2700.0,3747
970.0,14,1,1,414.0,357.0,3700.0,4258
1780.0,15,9,0,638.0,554.0,6000.0,5203
1340.0,14,4,1,293.0,393.0,3300.0,4649
620.0,14,5,1,362.0,411.0,2400.0,3340
1090.0,18,11,1,483.0,536.0,2600.0,3772
640.0,9,15,1,466.0,321.0,2600.0,3299
590.0,12,5,1,328.0,536.0,400.0,1979
550.0,10,7,1,397.0,304.0,1300.0,2655
560.0,16,8,1,414.0,500.0,400.0,1786
1530.0,12,16,1,621.0,554.0,3500.0,4522
810.0,18,8,0,448.0,429.0,3100.0,3303
590.0,12,13,1,362.0,411.0,2600.0,3333
1140.0,12,17,1,500.0,536.0,2300.0,3680
850.0,18,11,1,379.0,625.0,900.0,2623
550.0,12,6,1,379.0,464.0,1700.0,2902
1090.0,16,6,1,569.0,661.0,2600.0,3757
800.0,10,17,1,534.0,429.0,1900.0,3063
560.0,12,12,1,379.0,286.0,2800.0,3373
810.0,12,13,1,379.0,429.0,1500.0,3029
1730.0,16,8,1,621.0,554.0,5400.0,5398
2240.0,13,8,1,707.0,679.0,6100.0,6141
1150.0,13,11,1,431.0,304.0,3000.0,4108
1530.0,16,15,1,517.0,571.0,2600.0,4247
820.0,12,15,1,276.0,500.0,2500.0,3632
1120.0,12,4,1,466.0,518.0,3100.0,4159
1490.0,17,15,1,448.0,554.0,2700.0,4300
630.0,16,6,1,448.0,446.0,2900.0,3451
780.0,12,7,1,310.0,518.0,1100.0,2863
1250.0,11,17,0,621.0,554.0,4700.0,4180
980.0,14,16,1,500.0,482.0,3000.0,3778
1300.0,13,16,1,586.0,589.0,3800.0,4377
1170.0,11,15,1,586.0,589.0,3400.0,4112
960.0,16,10,1,414.0,446.0,3300.0,3993
950.0,15,4,0,431.0,607.0,1500.0,2805
1700.0,14,15,1,534.0,446.0,5100.0,5316
1120.0,12,11,1,328.0,607.0,3200.0,4264
1380.0,16,8,1,431.0,571.0,4300.0,4843
910.0,12,16,1,500.0,446.0,2400.0,3462
1790.0,15,14,1,517.0,714.0,4500.0,5263
1460.0,17,7,1,448.0,696.0,3600.0,4689
1270.0,13,13,1,466.0,375.0,1200.0,3295
600.0,15,8,1,431.0,393.0,2300.0,3162
1460.0,18,14,1,638.0,607.0,5800.0,5085
1820.0,16,9,1,724.0,768.0,6500.0,5681
1370.0,16,14,1,621.0,714.0,3000.0,4123
640.0,12,16,1,379.0,268.0,2600.0,3345
1380.0,12,17,1,431.0,482.0,3500.0,4522
490.0,12,9,1,414.0,321.0,2800.0,3284
1380.0,13,11,1,621.0,607.0,4900.0,4836
850.0,12,18,1,672.0,589.0,3300.0,3563
1330.0,16,11,1,431.0,589.0,3000.0,4297
750.0,13,9,1,448.0,446.0,1500.0,2918
1220.0,12,12,1,466.0,393.0,3200.0,4239
710.0,14,6,0,397.0,304.0,3000.0,3254
1060.0,16,6,1,483.0,500.0,2900.0,3931
830.0,10,17,1,500.0,214.0,3000.0,3627
1290.0,12,14,1,431.0,571.0,4200.0,4681
880.0,10,23,1,500.0,393.0,2600.0,3464
590.0,12,18,0,466.0,500.0,2500.0,2735
1150.0,12,4,1,586.0,500.0,3000.0,4036
690.0,10,13,0,414.0,393.0,700.0,1883
700.0,13,4,1,397.0,250.0,500.0,2164
620.0,14,5,1,259.0,482.0,2600.0,3533
1050.0,11,16,1,500.0,482.0,3400.0,4043
2260.0,15,9,1,655.0,589.0,6000.0,6162
630.0,10,20,1,466.0,429.0,1700.0,2792
1100.0,16,13,0,569.0,375.0,1400.0,2686
1130.0,12,19,1,448.0,589.0,4300.0,4456
1510.0,12,19,1,638.0,679.0,4900.0,4905
1160.0,12,11,1,569.0,446.0,1100.0,3018
1480.0,16,9,1,655.0,375.0,5400.0,5054
1750.0,14,16,1,741.0,429.0,4200.0,4887
890.0,12,14,1,483.0,464.0,1700.0,3128
1260.0,13,10,1,638.0,464.0,4700.0,4626
1290.0,12,18,1,448.0,554.0,3200.0,4278
1110.0,12,17,1,466.0,393.0,1600.0,3321
1510.0,18,14,1,603.0,571.0,1500.0,3575
1420.0,16,14,1,621.0,679.0,2300.0,3884
1320.0,16,10,0,414.0,429.0,3200.0,3987
460.0,10,7,1,483.0,375.0,1800.0,2754
1170.0,11,12,1,379.0,464.0,5500.0,5007
1080.0,16,9,1,414.0,464.0,3000.0,4034
1050.0,16,13,0,586.0,714.0,1900.0,2892
740.0,13,9,1,466.0,571.0,3300.0,3717
490.0,10,12,1,448.0,375.0,1200.0,2416
1050.0,16,12,1,483.0,500.0,2300.0,3601
660.0,12,16,1,603.0,411.0,700.0,2008
1840.0,18,12,1,534.0,607.0,5100.0,5474
640.0,10,12,1,362.0,250.0,400.0,1953
560.0,15,8,1,397.0,500.0,1000.0,2397
700.0,13,10,0,414.0,286.0,2100.0,2805
910.0,16,8,0,207.0,625.0,2600.0,3480
1170.0,13,11,1,517.0,589.0,3000.0,4050
970.0,16,4,1,328.0,625.0,800.0,2824
1520.0,12,14,1,741.0,536.0,3900.0,4550
630.0,12,11,1,345.0,393.0,3400.0,3733
1050.0,12,16,1,414.0,429.0,2600.0,3804
770.0,13,8,0,534.0,536.0,4900.0,3820
820.0,12,4,1,362.0,268.0,2000.0,3420
1610.0,17,7,1,586.0,500.0,3300.0,4622
540.0,16,8,1,362.0,732.0,1700.0,2848
640.0,10,20,1,448.0,464.0,3300.0,3534
970.0,9,17,1,483.0,321.0,1800.0,3277
440.0,14,10,1,414.0,500.0,2400.0,3022
820.0,16,10,1,431.0,518.0,1500.0,2979
830.0,13,10,1,414.0,429.0,200.0,1801
540.0,14,4,1,328.0,464.0,1800.0,2995
890.0,16,10,0,500.0,518.0,3200.0,3387
1540.0,16,8,1,534.0,554.0,4200.0,4900
880.0,16,11,1,362.0,643.0,1200.0,2919
1110.0,12,16,1,466.0,500.0,2300.0,3690
840.0,12,13,1,569.0,375.0,1200.0,2686
830.0,12,16,1,310.0,518.0,2000.0,3365
1120.0,12,19,1,500.0,464.0,1800.0,3389
1060.0,13,13,1,690.0,589.0,4300.0,4180
1360.0,16,10,1,638.0,518.0,4200.0,4558
890.0,18,11,1,517.0,446.0,2900.0,3623
790.0,12,17,1,397.0,589.0,1100.0,2684
1470.0,15,6,1,569.0,464.0,3000.0,4387
1570.0,12,15,1,500.0,536.0,3800.0,4807
800.0,10,21,1,621.0,357.0,2700.0,3309
970.0,12,16,1,448.0,321.0,2500.0,3630
1040.0,12,17,1,379.0,304.0,3400.0,4131
710.0,12,18,0,431.0,339.0,3800.0,3416
1780.0,18,12,1,672.0,589.0,4100.0,4957
770.0,12,4,1,483.0,464.0,2900.0,3641
1010.0,12,19,1,534.0,518.0,1100.0,2794
1500.0,18,12,1,586.0,696.0,2200.0,3971
1440.0,18,7,1,552.0,161.0,2800.0,4246
490.0,12,12,0,552.0,339.0,2000.0,2356
770.0,12,13,1,466.0,357.0,2100.0,3219
1000.0,14,16,1,586.0,518.0,1200.0,2810
1390.0,17,9,1,603.0,554.0,3600.0,4427
590.0,17,8,0,448.0,643.0,2100.0,2618
840.0,12,11,1,448.0,518.0,2700.0,3610
1100.0,12,11,1,414.0,500.0,4100.0,4471
650.0,13,5,1,310.0,554.0,2800.0,3610
980.0,12,18,1,707.0,446.0,3500.0,3757
730.0,12,13,1,483.0,464.0,2300.0,3247
840.0,14,12,1,586.0,482.0,3500.0,3750
1440.0,16,14,1,466.0,625.0,3700.0,4622
1080.0,16,13,1,552.0,464.0,3800.0,4147
1460.0,16,7,1,655.0,571.0,2400.0,4015
1240.0,15,13,1,345.0,571.0,1900.0,3771
990.0,16,15,1,569.0,625.0,1500.0,2994
1390.0,14,9,1,621.0,571.0,3100.0,4257
1310.0,12,16,1,655.0,411.0,3200.0,4115
2070.0,17,6,1,603.0,571.0,5900.0,5968
720.0,12,13,1,414.0,268.0,1600.0,2946
590.0,11,16,1,362.0,518.0,2300.0,3179
1680.0,16,12,1,569.0,625.0,6000.0,5509
1520.0,13,13,1,655.0,589.0,3200.0,4388
1480.0,13,3,1,672.0,554.0,2300.0,4047
830.0,12,10,1,431.0,464.0,1700.0,3145
1100.0,12,12,1,586.0,661.0,4500.0,4413
940.0,14,8,1,414.0,571.0,4000.0,4255
1200.0,16,10,1,621.0,607.0,3300.0,4076
1370.0,16,10,1,397.0,482.0,3800.0,4680
850.0,12,16,1,603.0,500.0,2900.0,3498
