balance,prime_card,pv,tau,categ
4900.0,0,416.091,699.9999999999999,complier
8700.0,1,1022.824,300.0,always-takers
3000.0,0,528.997,699.9999999999999,complier
2300.0,0,569.087,200.0,never-taker
3400.0,1,280.679,300.0,always-takers
13700.0,1,717.808,300.0,always-takers
5100.0,1,884.558,300.0,always-takers
3000.0,0,293.918,700.0,complier
3200.0,1,643.8589999999999,299.99999999999994,always-takers
8900.0,1,1574.75,700.0,complier
11100.0,1,377.524,300.0,always-takers
6400.0,1,253.338,300.0,always-takers
11800.0,1,448.653,300.0,always-takers
6300.0,1,798.146,299.99999999999994,always-takers
4600.0,1,54.155,300.0,always-takers
5400.0,0,1000.518,200.0,never-taker
6700.0,1,747.602,300.0,always-takers
6600.0,0,551.293,200.0,never-taker
5700.0,1,1068.753,700.0,complier
3200.0,0,611.027,200.0,never-taker
2500.0,0,265.394,700.0,complier
8700.0,0,923.621,200.0000000000001,never-taker
4700.0,1,555.977,300.0,always-takers
5200.0,1,430.61400000000003,300.0,always-takers
3900.0,1,670.7950000000001,300.00000000000006,always-takers
8200.0,1,1260.345,700.0,complier
13000.0,1,1267.219,300.0,always-takers
3000.0,1,653.2239999999999,299.99999999999994,always-takers
1200.0,0,675.766,700.0000000000001,complier
13700.0,1,1466.21,700.0,complier
14200.0,1,2188.8810000000003,700.0000000000002,complier
7900.0,0,1037.535,200.0,never-taker
6300.0,1,333.942,300.0,always-takers
2700.0,0,-10.994,700.0,complier
8600.0,1,383.543,300.0,always-takers
5000.0,1,240.196,300.0,always-takers
6900.0,1,867.338,300.0,always-takers
6800.0,0,694.579,200.0,never-taker
8800.0,1,727.188,300.0,always-takers
11700.0,1,677.36,300.0,always-takers
8500.0,1,1038.347,700.0,complier
9000.0,1,1801.941,700.0,complier
2800.0,0,627.36,200.0,never-taker
10400.0,1,618.0219999999999,299.99999999999994,always-takers
4000.0,0,1244.56,200.0,never-taker
4800.0,0,1075.544,700.0,complier
6200.0,0,1072.497,200.0,never-taker
6600.0,1,401.415,300.0,always-takers
3400.0,0,666.34,200.0,never-taker
6200.0,1,350.332,300.0,always-takers
7500.0,1,844.879,300.0,always-takers
4300.0,1,143.378,300.0,always-takers
7300.0,1,511.562,300.0,always-takers
8600.0,1,1326.158,699.9999999999999,complier
2800.0,1,376.462,300.0,always-takers
3900.0,1,406.569,300.0,always-takers
3800.0,0,343.577,700.0,complier
6000.0,1,478.198,300.0,always-takers
4200.0,0,334.283,699.9999999999999,complier
9900.0,1,519.688,300.0,always-takers
6900.0,1,1302.275,700.0000000000001,complier
8700.0,1,1848.914,700.0,complier
8100.0,0,759.551,200.0,never-taker
5900.0,1,1083.66,700.0,complier
5600.0,1,1373.665,700.0,complier
4000.0,1,739.404,300.0,always-takers
8000.0,1,621.281,299.99999999999994,always-takers
9200.0,1,920.414,300.0,always-takers
5300.0,1,1432.8600000000001,700.0000000000001,complier
10000.0,1,339.45799999999997,300.0,always-takers
3600.0,0,498.29,700.0,complier
5700.0,1,1326.839,699.9999999999999,complier
11300.0,1,929.947,300.0,always-takers
4400.0,0,695.126,200.0,never-taker
1500.0,0,883.191,700.0,complier
1900.0,1,83.061,300.0,always-takers
4800.0,0,676.585,700.0,complier
7000.0,0,539.745,200.0,never-taker
5700.0,1,1314.071,699.9999999999999,complier
6000.0,1,766.192,300.0,always-takers
5500.0,1,1273.683,700.0,complier
5500.0,1,1443.393,700.0,complier
9400.0,1,702.398,300.0,always-takers
9100.0,1,557.265,300.0,always-takers
4200.0,0,603.378,700.0000000000001,complier
4600.0,0,1017.344,200.0,never-taker
4800.0,1,323.612,300.0,always-takers
4300.0,1,96.082,300.0,always-takers
2100.0,0,505.632,700.0,complier
7100.0,1,1079.554,700.0000000000001,complier
7600.0,1,848.753,300.0,always-takers
1300.0,0,792.841,699.9999999999999,complier
7900.0,1,218.49099999999999,300.0,always-takers
7000.0,1,51.929,300.0,always-takers
8800.0,1,1764.14,700.0,complier
4900.0,1,346.795,300.0,always-takers
14700.0,1,1591.069,700.0,complier
4000.0,1,243.71,300.0,always-takers
2300.0,1,17.456999999999994,300.0,always-takers
8300.0,1,1292.074,700.0000000000001,complier
2700.0,0,289.284,700.0,complier
4800.0,1,690.213,299.99999999999994,always-takers
5700.0,1,490.996,300.0,always-takers
5500.0,1,1460.613,700.0,complier
2800.0,0,440.576,700.0,complier
12800.0,1,926.448,300.0,always-takers
3600.0,0,584.433,700.0,complier
8600.0,1,507.378,300.0,always-takers
5900.0,0,993.796,200.0,never-taker
14600.0,1,1891.54,700.0,complier
7100.0,1,413.014,300.0,always-takers
10400.0,1,835.363,300.0,always-takers
4900.0,0,811.212,200.0,never-taker
6300.0,1,316.242,300.0,always-takers
3900.0,0,84.417,700.0,complier
7400.0,1,1767.099,700.0,complier
9800.0,1,1422.0720000000001,700.0000000000001,complier
12800.0,1,756.812,300.0,always-takers
5800.0,1,987.575,700.0,complier
4100.0,0,1102.523,200.0,never-taker
9900.0,1,1043.534,700.0000000000001,complier
6900.0,1,556.567,300.0,always-takers
1900.0,0,-133.141,700.0,complier
5000.0,1,84.65700000000001,300.0,always-takers
4100.0,0,1131.12,200.0,never-taker
4700.0,0,582.842,700.0000000000001,complier
7100.0,1,231.684,300.0,always-takers
10300.0,1,756.931,300.00000000000006,always-takers
9900.0,1,808.637,299.99999999999994,always-takers
10000.0,1,1246.635,700.0,complier
5900.0,1,1464.346,700.0,complier
8700.0,1,236.188,300.0,always-takers
12900.0,1,986.349,300.0,always-takers
3300.0,0,758.917,699.9999999999999,complier
10900.0,1,1006.729,300.0,always-takers
3900.0,0,825.71,200.0,never-taker
9400.0,1,717.512,299.99999999999994,always-takers
4600.0,0,1080.727,200.0,never-taker
9900.0,1,1544.329,700.0,complier
9800.0,1,1631.854,700.0,complier
3800.0,1,565.432,300.0,always-takers
4400.0,0,248.691,700.0,complier
4500.0,0,605.024,699.9999999999999,complier
9600.0,1,1483.54,700.0,complier
7900.0,1,1450.1860000000001,700.0000000000001,complier
7400.0,0,714.21,200.0,never-taker
12800.0,1,1816.715,700.0,complier
8500.0,1,304.024,300.0,always-takers
5700.0,1,445.025,300.0,always-takers
4900.0,0,750.678,699.9999999999999,complier
4700.0,1,586.52,300.0,always-takers
7400.0,1,1354.0639999999999,699.9999999999999,complier
4200.0,0,-68.041,700.0,complier
4100.0,0,264.281,700.0,complier
8200.0,1,753.838,299.99999999999994,always-takers
10200.0,1,500.36199999999997,300.0,always-takers
12500.0,1,525.36,300.0,always-takers
5700.0,1,453.14099999999996,300.0,always-takers
8000.0,1,1104.864,700.0,complier
4900.0,0,803.583,700.0000000000001,complier
7400.0,1,1643.5030000000002,700.0000000000001,complier
7700.0,1,1334.882,700.0000000000001,complier
1800.0,0,251.852,700.0,complier
2400.0,0,953.683,200.0,never-taker
6200.0,1,962.6279999999999,700.0,complier
5300.0,1,747.979,700.0,complier
6600.0,1,650.615,300.0,always-takers
4500.0,0,188.732,700.0,complier
6300.0,0,672.384,200.0,never-taker
12400.0,1,673.038,300.0,always-takers
6600.0,1,1565.415,700.0,complier
8200.0,1,1484.152,700.0,complier
4100.0,0,575.344,700.0,complier
6500.0,1,276.66700000000003,300.0,always-takers
9800.0,1,1530.781,700.0,complier
6400.0,1,1656.714,699.9999999999999,complier
12800.0,1,889.292,300.0,always-takers
10700.0,1,655.5889999999999,299.99999999999994,always-takers
4400.0,0,360.682,700.0,complier
12100.0,1,795.731,300.0,always-takers
4000.0,0,678.56,200.0,never-taker
5300.0,1,818.93,300.0,always-takers
7200.0,1,1469.887,700.0,complier
8200.0,1,1626.585,700.0,complier
5000.0,1,302.884,300.0,always-takers
4900.0,0,642.605,200.0,never-taker
4200.0,0,402.847,700.0,complier
1800.0,0,584.02,200.0,never-taker
2400.0,1,479.249,300.0,always-takers
10700.0,1,437.22900000000004,300.0,always-takers
3300.0,0,837.831,200.0000000000001,never-taker
9400.0,1,997.493,300.0,always-takers
2800.0,1,265.744,300.0,always-takers
5400.0,1,882.047,300.0,always-takers
11400.0,1,1215.231,300.0,always-takers
8800.0,1,1060.527,700.0,complier
5600.0,1,951.5699999999999,700.0,complier
2500.0,0,368.478,700.0,complier
27000.0,1,1637.675,300.0,always-takers
8100.0,1,1326.211,700.0,complier
6300.0,0,1044.573,200.0,never-taker
4800.0,1,654.938,300.0,always-takers
8100.0,1,1661.164,700.0,complier
6400.0,1,700.7660000000001,300.00000000000006,always-takers
7600.0,1,1176.426,700.0,complier
7100.0,1,1473.324,700.0000000000001,complier
5600.0,1,571.322,300.0,always-takers
5500.0,1,1450.5720000000001,700.0000000000001,complier
9800.0,1,690.606,300.0,always-takers
3400.0,1,338.26800000000003,300.0,always-takers
5800.0,1,386.454,300.0,always-takers
10100.0,1,1303.833,700.0000000000001,complier
5900.0,1,1393.038,700.0,complier
6400.0,1,296.081,300.0,always-takers
4500.0,0,310.292,700.0,complier
5200.0,1,300.279,300.0,always-takers
7600.0,1,1629.551,699.9999999999999,complier
12500.0,1,570.0889999999999,299.99999999999994,always-takers
8100.0,1,360.581,300.0,always-takers
9300.0,1,710.937,300.0,always-takers
3500.0,1,434.77,300.0,always-takers
7500.0,1,1402.998,700.0,complier
2800.0,1,470.131,300.0,always-takers
4600.0,0,175.302,700.0,complier
3000.0,1,113.792,300.0,always-takers
11400.0,1,245.644,300.0,always-takers
8600.0,1,1685.7089999999998,699.9999999999999,complier
4300.0,1,275.692,300.0,always-takers
10300.0,1,792.491,300.0,always-takers
3500.0,1,187.22899999999998,300.0,always-takers
7200.0,1,1701.933,700.0,complier
2200.0,0,456.927,200.0,never-taker
9000.0,1,1681.635,700.0,complier
6600.0,0,966.7,200.0,never-taker
8400.0,1,395.462,300.0,always-takers
2700.0,1,347.12,300.0,always-takers
5900.0,1,862.633,300.0,always-takers
5400.0,1,1212.768,700.0,complier
4500.0,1,458.28,300.0,always-takers
7600.0,1,1437.476,700.0000000000001,complier
9300.0,1,1614.1799999999998,699.9999999999999,complier
9700.0,1,1472.9189999999999,699.9999999999999,complier
3500.0,0,586.171,200.0,never-taker
8400.0,1,1258.895,700.0,complier
4700.0,1,193.125,300.0,always-takers
5500.0,1,447.801,300.0,always-takers
11900.0,1,1263.617,700.0,complier
10200.0,1,1009.027,300.0,always-takers
9700.0,1,249.47899999999998,300.0,always-takers
6100.0,1,1264.8809999999999,699.9999999999999,complier
5700.0,1,1345.828,700.0,complier
1200.0,1,-43.08300000000003,300.0,always-takers
8200.0,0,799.243,200.0,never-taker
4700.0,1,294.801,300.0,always-takers
3500.0,0,1041.986,200.0,never-taker
7000.0,1,1875.753,700.0,complier
7300.0,1,158.798,300.0,always-takers
8900.0,1,562.601,300.0,always-takers
7000.0,1,84.94800000000001,300.0,always-takers
5900.0,1,730.961,700.0,complier
7200.0,1,1272.154,700.0,complier
3600.0,1,303.926,300.0,always-takers
13600.0,1,1340.252,300.0,always-takers
2900.0,0,519.237,200.0,never-taker
8500.0,0,1187.956,200.0,never-taker
6400.0,1,1236.2640000000001,700.0000000000001,complier
3700.0,0,385.824,700.0,complier
5500.0,0,731.254,200.0,never-taker
5300.0,1,1332.2849999999999,699.9999999999999,complier
5600.0,1,1247.3310000000001,700.0000000000001,complier
3300.0,1,349.006,300.0,always-takers
4800.0,0,346.948,699.9999999999999,complier
5800.0,1,217.95600000000002,300.0,always-takers
11300.0,1,620.572,300.0,always-takers
3000.0,1,-112.19900000000001,300.0,always-takers
10700.0,1,422.589,300.0,always-takers
4500.0,1,617.241,300.0,always-takers
1700.0,0,1069.181,200.0,never-taker
6900.0,1,514.74,300.0,always-takers
11500.0,1,924.643,300.0,always-takers
6900.0,0,879.751,200.0,never-taker
5500.0,0,1098.642,200.0,never-taker
9200.0,0,587.354,200.0,never-taker
4700.0,0,850.646,200.0,never-taker
6100.0,1,1477.96,700.0,complier
6300.0,1,788.2629999999999,299.99999999999994,always-takers
6100.0,1,482.235,300.0,always-takers
9300.0,1,1084.92,700.0,complier
8400.0,1,1548.415,700.0,complier
5000.0,1,817.896,700.0,complier
3600.0,1,324.867,300.0,always-takers
3200.0,0,944.111,199.9999999999999,never-taker
2600.0,0,369.434,700.0,complier
4400.0,1,385.764,300.0,always-takers
7700.0,0,987.687,199.9999999999999,never-taker
6000.0,1,1488.841,699.9999999999999,complier
11700.0,1,389.05,300.0,always-takers
6000.0,0,854.541,200.0000000000001,never-taker
10600.0,1,752.375,300.0,always-takers
4800.0,0,998.945,700.0000000000001,complier
3700.0,0,647.03,200.0,never-taker
4200.0,1,412.73699999999997,300.0,always-takers
11700.0,1,1584.995,699.9999999999999,complier
3300.0,0,402.536,700.0,complier
3400.0,1,82.36699999999999,300.0,always-takers
12500.0,1,1646.759,700.0,complier
7600.0,0,1213.547,200.0,never-taker
6700.0,1,83.79400000000001,300.0,always-takers
5000.0,1,1490.216,699.9999999999999,complier
9200.0,1,977.792,300.0,always-takers
6300.0,1,426.109,300.0,always-takers
3900.0,1,481.581,300.0,always-takers
3700.0,1,431.947,300.0,always-takers
8200.0,1,1186.325,700.0,complier
3400.0,1,793.6179999999999,299.99999999999994,always-takers
5000.0,0,699.059,200.0,never-taker
7600.0,1,1445.525,700.0000000000001,complier
4000.0,1,249.386,300.0,always-takers
6100.0,1,1468.688,700.0000000000001,complier
4500.0,0,259.762,700.0,complier
8900.0,1,1028.446,699.9999999999999,complier
7300.0,1,525.906,299.99999999999994,always-takers
6100.0,1,1211.459,700.0,complier
9800.0,1,755.952,300.0,always-takers
4200.0,1,-155.611,300.0,always-takers
8700.0,1,1617.682,700.0,complier
8600.0,1,1629.325,700.0,complier
5700.0,1,1140.915,700.0,complier
5300.0,1,1220.08,699.9999999999999,complier
4100.0,1,177.22199999999998,300.0,always-takers
13200.0,1,1494.1190000000001,700.0000000000001,complier
4500.0,0,881.16,199.9999999999999,never-taker
3500.0,0,309.607,700.0,complier
16100.0,1,868.171,300.0,always-takers
6700.0,1,1135.49,700.0,complier
5100.0,1,658.427,300.0,always-takers
5900.0,0,804.717,200.0,never-taker
5700.0,1,238.31,300.0,always-takers
4300.0,0,320.085,200.00000000000006,never-taker
3500.0,0,720.384,700.0,complier
5800.0,1,1337.505,700.0000000000001,complier
5900.0,1,942.296,700.0,complier
4500.0,1,670.174,300.0,always-takers
6400.0,0,1045.652,200.0,never-taker
7800.0,1,825.11,300.0,always-takers
5600.0,0,684.625,200.0,never-taker
9100.0,1,1407.062,699.9999999999999,complier
4800.0,1,419.031,300.0,always-takers
6600.0,1,1336.502,700.0,complier
11500.0,1,703.992,299.99999999999994,always-takers
8200.0,1,578.168,300.0,always-takers
7900.0,1,1531.25,700.0,complier
15600.0,1,528.6759999999999,299.99999999999994,always-takers
5400.0,1,1018.1859999999999,700.0,complier
9500.0,1,1409.088,700.0,complier
7600.0,1,1175.051,700.0,complier
4700.0,0,345.53,700.0,complier
8200.0,1,852.587,300.0,always-takers
16300.0,1,1149.395,300.0,always-takers
8000.0,1,1759.298,700.0,complier
5100.0,1,1344.909,700.0000000000001,complier
7500.0,0,1109.808,200.0,never-taker
2900.0,0,421.781,700.0,complier
6800.0,1,1153.98,700.0,complier
5300.0,1,1436.909,700.0000000000001,complier
9600.0,1,468.39599999999996,300.0,always-takers
2400.0,1,-99.928,300.0,always-takers
6100.0,1,1173.762,700.0,complier
8100.0,1,791.379,300.0,always-takers
6500.0,0,971.902,200.0,never-taker
8600.0,1,1425.392,700.0,complier
6300.0,0,1074.62,200.0,never-taker
6200.0,1,182.69400000000002,300.0,always-takers
4800.0,0,582.243,699.9999999999999,complier
12500.0,1,1060.759,300.0,always-takers
7200.0,0,1054.163,200.0,never-taker
5500.0,1,1676.704,700.0,complier
2600.0,1,393.945,300.0,always-takers
7800.0,1,52.42500000000001,300.0,always-takers
7500.0,0,1221.027,200.0,never-taker
2700.0,0,475.472,700.0,complier
8000.0,1,678.8299999999999,299.99999999999994,always-takers
8400.0,1,752.754,300.0,always-takers
13600.0,1,474.413,300.0,always-takers
4400.0,0,653.013,699.9999999999999,complier
10100.0,1,1195.145,300.0,always-takers
9700.0,1,876.839,300.0,always-takers
8500.0,1,1570.452,700.0,complier
8300.0,1,1334.674,700.0,complier
4900.0,1,637.156,299.99999999999994,always-takers
3300.0,1,-29.055000000000007,300.0,always-takers
11000.0,1,755.533,300.0,always-takers
7900.0,1,469.78999999999996,300.0,always-takers
5200.0,1,730.256,300.0,always-takers
3900.0,0,871.6,699.9999999999999,complier
12100.0,1,1080.529,300.0,always-takers
8900.0,1,1484.696,699.9999999999999,complier
5400.0,1,288.776,300.0,always-takers
2600.0,1,291.821,300.0,always-takers
9100.0,1,687.761,299.99999999999994,always-takers
9200.0,1,436.56,300.0,always-takers
9700.0,1,1060.95,700.0,complier
5400.0,1,1573.759,700.0,complier
6400.0,1,1209.54,700.0,complier
2800.0,1,275.216,300.0,always-takers
10300.0,1,552.31,299.99999999999994,always-takers
3300.0,1,184.372,300.0,always-takers
5500.0,1,183.30200000000002,300.0,always-takers
6700.0,1,1917.589,700.0,complier
3700.0,1,839.123,300.0,always-takers
4900.0,0,764.164,200.0,never-taker
7400.0,1,1609.31,700.0,complier
9900.0,1,1251.545,700.0000000000001,complier
5100.0,1,209.986,300.0,always-takers
3100.0,1,408.449,300.0,always-takers
6200.0,1,1482.1680000000001,700.0000000000001,complier
7000.0,1,113.029,300.0,always-takers
3800.0,0,278.729,700.0,complier
3900.0,1,354.522,300.0,always-takers
1700.0,1,320.451,300.0,always-takers
1300.0,0,724.732,200.0,never-taker
4900.0,0,293.061,700.0,complier
7800.0,1,663.394,300.0,always-takers
3700.0,1,532.169,300.0,always-takers
5500.0,1,1099.1,699.9999999999999,complier
5400.0,1,493.255,300.0,always-takers
4600.0,1,103.811,300.0,always-takers
4900.0,1,295.124,300.0,always-takers
7200.0,1,587.113,300.00000000000006,always-takers
8300.0,1,228.906,300.0,always-takers
1700.0,0,260.521,700.0,complier
5800.0,1,738.876,300.0,always-takers
5600.0,1,886.013,700.0,complier
2700.0,0,405.576,700.0,complier
3900.0,0,538.446,699.9999999999999,complier
7800.0,1,561.485,300.0,always-takers
11600.0,1,1927.033,700.0,complier
2900.0,0,137.994,700.0,complier
9900.0,1,1562.1019999999999,699.9999999999999,complier
11800.0,1,1626.408,699.9999999999999,complier
5300.0,1,951.6990000000001,700.0,complier
2100.0,1,186.261,300.0,always-takers
3300.0,1,36.521000000000015,300.0,always-takers
5400.0,0,598.336,200.0,never-taker
4700.0,0,307.265,700.0,complier
6100.0,1,259.02,300.0,always-takers
14100.0,1,1153.036,300.0000000000001,always-takers
7200.0,1,572.7909999999999,299.99999999999994,always-takers
5000.0,1,446.779,300.0,always-takers
10100.0,1,1312.996,700.0000000000001,complier
4400.0,0,786.089,699.9999999999999,complier
17100.0,1,1374.332,300.0,always-takers
4800.0,0,129.999,700.0,complier
1800.0,0,902.675,200.0,never-taker
7900.0,1,1422.733,700.0,complier
2600.0,1,365.093,300.0,always-takers
2600.0,0,727.37,200.0,never-taker
12000.0,1,1629.3609999999999,699.9999999999999,complier
3800.0,0,391.93,700.0,complier
2100.0,0,1058.12,200.0,never-taker
4500.0,1,560.4110000000001,300.00000000000006,always-takers
8800.0,1,500.81100000000004,300.0,always-takers
12200.0,1,508.29499999999996,300.0,always-takers
7300.0,1,290.001,300.0,always-takers
6600.0,1,1070.455,700.0,complier
5300.0,1,461.6,300.0,always-takers
5600.0,1,450.014,300.0,always-takers
4300.0,1,-35.88900000000001,300.0,always-takers
6800.0,0,921.65,200.0000000000001,never-taker
5300.0,1,1237.403,700.0,complier
3900.0,0,536.958,200.0,never-taker
11800.0,1,1885.918,700.0,complier
16000.0,1,899.864,300.0,always-takers
10100.0,1,537.785,300.0,always-takers
9900.0,1,415.394,300.0,always-takers
8000.0,1,1376.596,700.0,complier
6500.0,1,904.45,300.0,always-takers
12100.0,1,1727.881,700.0,complier
4900.0,1,351.276,300.0,always-takers
5400.0,1,999.903,700.0,complier
6000.0,1,707.521,299.99999999999994,always-takers
11000.0,1,1258.9569999999999,699.9999999999999,complier
6700.0,1,1708.827,700.0,complier
5500.0,0,680.811,200.0,never-taker
5000.0,1,429.214,300.0,always-takers
10000.0,1,510.899,300.0,always-takers
7100.0,0,1190.533,200.0,never-taker
5600.0,1,1530.8339999999998,699.9999999999999,complier
13900.0,1,940.206,300.0,always-takers
7100.0,1,1675.646,700.0,complier
5400.0,0,706.389,200.0,never-taker
2300.0,0,158.901,700.0,complier
5200.0,1,531.552,300.0,always-takers
4200.0,1,533.468,300.0,always-takers
9900.0,1,1401.144,700.0,complier
7400.0,1,697.517,300.00000000000006,always-takers
5400.0,0,882.852,199.9999999999999,never-taker
1700.0,0,747.703,200.0,never-taker
7000.0,1,1456.421,700.0,complier
4200.0,1,630.0640000000001,300.00000000000006,always-takers
10000.0,1,837.483,300.0,always-takers
1500.0,0,110.599,700.0,complier
8700.0,1,730.404,300.0,always-takers
6800.0,1,1800.482,700.0,complier
5300.0,1,214.19299999999998,300.0,always-takers
5700.0,1,335.019,300.0,always-takers
5300.0,1,684.803,300.0,always-takers
2300.0,0,860.482,200.0,never-taker
5500.0,1,1429.412,700.0,complier
6900.0,1,1115.183,700.0,complier
4800.0,1,610.922,300.0,always-takers
5300.0,0,939.369,200.0000000000001,never-taker
8900.0,1,1329.153,700.0,complier
7600.0,1,1312.658,699.9999999999999,complier
5300.0,1,234.096,300.0,always-takers
3200.0,0,-42.14,700.0,complier
7800.0,1,700.6890000000001,300.00000000000006,always-takers
3900.0,0,620.501,700.0,complier
5700.0,1,164.539,300.0,always-takers
8200.0,1,608.6469999999999,299.99999999999994,always-takers
12800.0,1,1301.517,300.0,always-takers
5000.0,0,794.191,200.0,never-taker
6300.0,0,1245.473,200.0,never-taker
4000.0,0,90.577,700.0,complier
4200.0,0,352.974,700.0,complier
4400.0,1,604.979,300.00000000000006,always-takers
6000.0,1,1356.0320000000002,700.0000000000001,complier
3500.0,0,627.285,699.9999999999999,complier
3700.0,0,210.095,700.0,complier
5900.0,1,1468.961,700.0,complier
13500.0,1,664.3620000000001,300.00000000000006,always-takers
4200.0,0,993.127,200.0,never-taker
4900.0,1,720.1569999999999,299.99999999999994,always-takers
3600.0,0,632.285,699.9999999999999,complier
3700.0,0,523.048,700.0,complier
3000.0,1,-0.5860000000000127,300.0,always-takers
5300.0,1,22.16500000000002,300.0,always-takers
6300.0,0,741.739,200.0,never-taker
7000.0,1,1181.16,700.0,complier
7100.0,1,519.146,300.0,always-takers
3600.0,1,-112.11000000000001,300.0,always-takers
6000.0,1,1227.471,700.0,complier
4200.0,1,335.02,300.0,always-takers
4300.0,0,72.55,700.0,complier
2800.0,1,318.054,300.0,always-takers
4600.0,0,275.196,700.0,complier
8100.0,1,352.051,300.0,always-takers
6500.0,1,289.129,300.0,always-takers
5800.0,1,1457.4180000000001,700.0000000000001,complier
15200.0,1,715.643,300.00000000000006,always-takers
4600.0,1,423.747,300.0,always-takers
7800.0,1,640.619,300.0,always-takers
13600.0,1,520.054,300.0,always-takers
4900.0,0,790.021,700.0,complier
4500.0,1,345.118,300.0,always-takers
6800.0,1,492.962,300.0,always-takers
4500.0,1,411.48,300.0,always-takers
