mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
0,78.73,38.0,0.0,137.28,0,2,2,0,0,0,0,3,0,1,3,1,0,1,0,1,0,0,1,1,2,1
1,1717.84,32.0,0.0,228.41,0,2,1,2,1,0,1,1,0,1,0,1,2,0,2,4,1,1,1,1,4,4
0,87.11,35.0,0.0,145.36,0,0,0,1,0,4,2,4,1,4,0,2,3,0,0,0,2,4,0,1,0,2
1,1282.45,32.0,1.0,92.1,2,0,2,0,0,1,0,2,1,5,0,0,3,0,2,2,0,0,2,1,1,2
0,26.52,27.0,0.0,97.76,0,1,1,0,0,1,1,3,2,2,3,1,3,2,1,1,0,2,1,1,2,3
0,165.21,25.0,0.0,102.0,0,2,1,1,1,3,0,1,1,3,0,0,1,0,2,4,1,0,1,0,1,1
1,1163.76,53.0,0.0,97.21,0,1,1,0,2,2,3,0,2,0,1,0,3,1,1,2,0,2,1,1,0,1
0,81.08,23.0,0.0,158.25,0,2,4,1,1,1,1,2,2,6,1,1,3,1,0,2,0,1,1,1,0,5
0,42.31,51.0,1.0,51.98,0,1,0,1,0,0,0,3,2,2,1,3,4,1,1,4,1,2,1,3,2,0
0,70.54,48.0,0.0,156.53,0,2,3,0,2,2,1,2,0,5,0,1,1,0,0,5,1,1,1,2,1,3
0,20.63,41.0,0.0,63.42,0,1,0,2,0,1,1,2,1,3,3,0,2,0,0,3,0,4,2,0,1,1
0,23.91,20.0,0.0,22.97,0,0,0,1,3,1,0,3,1,6,2,0,9,2,2,2,2,3,0,1,2,3
1,1411.61,23.0,0.0,92.37,0,1,1,0,0,1,1,0,2,3,0,2,2,1,0,3,1,1,1,2,0,4
1,2096.15,23.0,0.0,39.17,0,3,2,4,1,1,3,3,2,4,0,1,5,2,1,4,3,3,1,0,1,1
1,1650.06,50.0,0.0,18.59,0,1,0,1,0,2,2,1,1,2,1,2,4,2,3,2,2,2,1,0,4,2
1,1160.36,45.0,1.0,22.76,0,2,1,1,3,1,0,1,1,1,1,0,2,1,0,1,0,0,2,2,1,2
1,1283.42,41.0,1.0,170.36,0,2,2,0,2,0,0,0,0,7,0,2,0,0,0,3,0,1,0,2,3,2
1,1308.0,41.0,0.0,22.51,0,1,0,1,3,0,1,1,1,0,1,4,1,3,0,5,0,4,0,4,1,2
1,1168.19,35.0,0.0,5.26,0,0,1,0,0,1,0,0,2,2,1,4,4,2,1,5,1,2,0,1,0,3
0,499.25,36.0,2.0,153.48,1,1,1,0,1,1,0,2,0,4,1,2,1,0,2,3,1,2,1,2,3,3
1,1534.23,42.0,1.0,50.73,0,1,1,1,3,2,0,0,2,2,0,0,2,1,0,5,2,2,1,0,1,3
0,88.29,44.0,1.0,63.43,0,0,1,3,0,0,1,1,0,3,0,2,3,2,0,1,1,1,2,1,0,3
1,966.75,36.0,0.0,281.89,0,0,0,2,0,0,0,1,0,3,2,1,1,0,2,3,2,0,0,3,0,2
1,1810.28,43.0,1.0,87.15,0,1,0,0,1,1,0,1,0,11,1,1,1,2,2,3,0,1,1,0,1,6
1,1161.44,80.0,1.0,235.53,0,3,1,0,0,2,0,3,0,4,1,1,3,1,3,0,0,3,1,1,0,2
1,1356.13,68.0,1.0,90.04,0,1,2,0,1,0,0,0,0,3,0,0,3,2,1,1,0,3,2,1,1,4
0,24.95,54.0,1.0,11.63,0,3,0,2,2,0,1,0,2,1,0,1,3,0,1,2,0,0,1,1,0,1
1,1091.32,24.0,0.0,7.75,0,0,0,1,1,3,1,3,1,1,1,0,3,1,2,2,2,1,0,1,0,1
1,1710.62,38.0,0.0,79.37,0,4,0,2,1,3,0,0,1,3,0,0,2,2,0,1,2,1,0,1,3,2
0,8.83,40.0,0.0,50.59,0,1,3,0,0,2,0,2,1,0,0,0,1,0,0,6,1,2,0,2,1,2
1,877.47,50.0,0.0,118.87,0,0,0,0,0,3,1,2,0,1,0,1,2,0,0,2,0,2,1,0,1,2
0,51.77,40.0,1.0,62.86,0,0,1,0,1,1,0,1,2,6,1,3,0,6,1,4,0,3,0,0,1,3
0,306.44,29.0,2.0,90.6,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,2,1,0,1,0,0,2
1,1445.42,30.0,1.0,109.59,0,2,1,0,2,0,0,2,0,3,1,2,2,1,0,3,2,3,0,3,1,3
0,66.79,22.0,1.0,82.89,0,3,2,0,0,2,1,1,4,4,1,1,0,2,0,3,0,2,0,4,1,0
1,1261.9,41.0,3.0,84.35,0,0,0,0,0,1,3,0,3,2,1,0,0,1,2,3,1,4,2,1,1,2
0,9.31,23.0,0.0,40.33,0,0,2,2,2,0,1,2,2,1,0,2,1,1,0,2,1,5,1,0,0,2
0,36.3,52.0,0.0,120.95,0,2,0,1,1,2,2,0,0,4,1,0,1,0,4,3,0,2,1,0,0,1
0,107.81,54.0,0.0,18.22,0,1,1,1,1,2,1,1,0,3,2,0,2,1,3,0,0,5,1,2,2,2
0,306.86,31.0,1.0,113.02,0,0,2,2,0,0,1,2,0,2,0,3,2,1,2,2,2,0,0,1,0,0
1,1100.61,38.0,0.0,33.66,0,1,3,0,0,2,2,0,0,1,2,2,3,0,1,1,0,0,0,1,3,0
0,16.4,43.0,0.0,133.87,0,0,2,1,2,1,3,4,1,2,1,1,4,1,1,5,1,2,0,0,1,0
1,1374.76,21.0,0.0,12.86,1,2,1,0,2,1,0,3,1,3,2,1,0,1,1,0,1,2,3,1,0,1
0,33.03,32.0,0.0,175.34,0,1,0,1,1,2,3,0,2,3,1,1,1,0,2,1,2,0,0,0,1,1
1,1468.95,26.0,0.0,36.77,0,0,1,2,0,0,3,1,0,3,1,1,0,1,1,2,2,4,1,1,1,3
0,6.12,70.0,0.0,18.36,0,1,1,1,6,0,4,2,2,4,1,2,1,2,2,2,1,1,0,1,0,2
1,1003.87,18.0,0.0,1.3,0,0,0,2,0,2,0,1,1,4,0,0,2,1,0,2,0,1,0,0,1,3
1,1422.34,56.0,0.0,220.07,0,2,1,0,0,0,1,3,0,1,3,0,2,2,0,1,1,4,1,1,2,0
1,1690.72,49.0,0.0,34.08,0,0,2,3,2,0,0,4,0,1,0,2,3,3,1,0,1,3,1,1,1,4
1,2058.79,48.0,0.0,99.52,0,0,2,0,1,2,3,2,2,4,0,1,1,4,3,3,0,2,3,2,2,3
0,39.07,38.0,0.0,48.97,0,0,2,0,1,0,1,1,3,1,3,2,0,1,2,0,0,1,1,1,0,1
1,1330.17,37.0,1.0,27.67,0,1,0,1,1,2,1,1,0,4,1,3,1,2,2,1,1,1,2,3,0,3
1,1021.48,39.0,0.0,5.01,0,2,0,0,1,0,1,3,1,3,1,0,4,0,0,1,1,1,0,0,0,2
1,1519.58,21.0,1.0,88.64,0,1,0,1,0,2,2,6,1,3,0,1,2,0,2,4,1,3,2,0,1,2
0,147.38,30.0,1.0,140.46,1,0,0,2,0,1,0,3,2,4,0,1,3,1,4,3,0,4,2,0,1,2
0,162.28,36.0,1.0,127.12,0,0,2,3,1,0,0,2,2,2,2,1,3,0,0,1,0,0,1,2,0,1
1,748.01,25.0,0.0,24.32,0,1,0,1,0,0,0,1,0,4,0,1,2,0,1,0,0,2,1,1,0,2
1,1120.02,47.0,0.0,67.92,0,1,1,2,2,0,1,2,0,2,1,0,1,1,0,4,0,3,1,1,1,1
0,34.2,36.0,0.0,18.08,0,0,2,1,2,1,2,3,1,2,3,1,6,2,1,4,0,1,0,0,0,0
1,1536.9,25.0,1.0,83.12,0,1,0,0,0,0,1,3,0,2,2,1,3,1,2,1,2,0,0,3,0,5
0,169.11,27.0,0.0,209.99,0,0,1,0,2,1,3,2,2,4,3,1,0,3,0,4,0,4,0,2,1,1
1,1886.06,26.0,0.0,19.43,1,1,0,1,3,0,2,3,2,0,1,1,0,2,2,4,1,5,0,0,2,5
1,836.94,35.0,1.0,64.37,0,1,2,0,0,1,0,0,0,1,1,1,0,1,2,3,1,2,0,0,0,3
1,2172.99,44.0,1.0,114.8,0,1,2,1,5,2,4,1,0,2,2,3,2,3,0,4,0,0,0,1,1,3
1,1992.11,39.0,0.0,176.98,0,2,0,1,1,1,3,4,0,7,2,0,5,0,1,0,2,2,1,0,0,5
1,1516.45,37.0,0.0,81.62,0,0,1,2,0,1,2,1,1,2,2,0,1,0,1,2,0,0,0,2,0,4
1,1736.34,29.0,1.0,0.27,0,0,1,0,1,0,1,2,1,4,2,1,2,1,2,2,0,1,3,1,2,5
1,1487.89,27.0,0.0,100.24,0,3,0,1,1,2,0,2,0,3,1,1,3,1,0,3,3,2,3,0,2,1
1,1195.71,59.0,1.0,2.9,0,3,2,3,2,0,0,1,1,0,0,1,2,0,0,0,1,2,1,1,1,1
0,131.12,20.0,2.0,261.91,0,0,1,0,0,1,0,0,1,4,0,0,4,2,1,1,1,4,4,0,2,2
0,311.87,40.0,1.0,140.62,0,3,1,1,2,1,0,4,1,4,0,4,0,1,0,1,0,1,3,0,1,2
1,1411.32,37.0,0.0,135.08,1,1,0,0,1,0,3,4,1,3,1,2,2,0,1,2,0,2,0,1,1,3
0,233.12,30.0,2.0,458.28,0,0,1,1,1,0,2,4,1,5,1,2,2,0,0,1,1,1,0,1,3,2
1,1204.34,53.0,0.0,24.74,0,1,0,1,1,1,1,3,1,3,1,2,5,1,0,2,0,3,0,1,0,2
1,1488.71,32.0,1.0,94.73,0,0,1,0,1,1,3,0,1,1,1,4,0,3,1,2,2,2,0,0,3,2
1,1618.84,41.0,0.0,130.64,0,0,4,0,1,1,1,0,1,2,2,1,1,3,0,1,1,4,2,2,0,2
1,1571.25,37.0,0.0,25.16,1,0,2,1,2,0,0,2,1,5,0,2,3,2,1,3,1,3,0,2,0,2
1,1318.8,18.0,0.0,125.13,1,0,0,2,3,0,0,2,2,0,1,1,1,0,1,4,0,1,3,1,2,1
0,118.33,35.0,0.0,59.83,0,2,0,0,1,0,1,2,2,3,0,1,2,3,0,0,1,3,4,1,1,1
1,1927.93,25.0,0.0,207.54,0,0,3,2,1,0,3,3,2,2,0,0,4,3,0,3,1,2,2,1,0,3
0,148.81,37.0,0.0,186.52,0,2,1,0,0,0,2,1,1,3,1,1,2,2,0,2,2,3,0,0,1,2
0,13.44,58.0,1.0,173.64,0,1,1,0,0,1,2,2,0,4,1,2,3,1,0,3,0,0,2,2,2,3
1,1592.42,32.0,0.0,144.66,0,2,2,2,3,0,2,3,0,1,3,0,2,2,0,4,2,2,1,1,0,0
0,1.61,44.0,0.0,17.98,0,3,1,1,0,2,1,2,0,1,1,0,2,1,0,0,1,2,1,1,2,3
1,1096.28,67.0,0.0,56.67,0,0,3,1,1,2,0,0,0,1,0,3,1,0,0,6,0,3,1,2,2,2
0,27.06,46.0,1.0,34.69,0,1,1,0,1,3,3,1,0,3,0,1,1,0,1,3,2,2,1,0,0,2
1,1630.33,58.0,0.0,87.41,0,0,2,5,0,2,1,3,0,2,0,1,2,2,1,4,0,1,0,1,2,4
0,155.12,54.0,0.0,101.73,0,2,2,0,3,1,0,1,0,2,1,0,0,0,1,4,1,3,1,1,1,3
0,26.98,43.0,0.0,199.24,0,0,4,0,3,2,1,0,1,4,1,2,1,0,0,1,0,0,2,1,1,1
1,1082.51,35.0,0.0,20.16,0,1,1,0,1,1,0,3,0,3,1,0,2,3,1,1,1,2,0,0,1,1
1,1586.79,58.0,2.0,111.83,0,0,1,3,2,3,2,4,2,3,1,0,3,0,1,1,1,1,2,1,1,1
1,1349.49,25.0,0.0,419.87,0,3,0,0,1,0,2,0,1,3,0,0,1,1,0,1,5,3,0,2,1,0
0,111.91,58.0,2.0,340.17,1,0,0,1,0,1,1,2,0,5,1,1,2,0,2,3,0,7,0,0,2,0
1,1183.03,36.0,1.0,60.69,0,3,1,3,1,0,0,3,0,3,0,1,2,0,0,4,0,3,2,0,1,1
1,1787.81,30.0,0.0,308.82,0,0,1,2,2,2,1,3,1,0,0,1,2,0,3,4,3,3,0,0,3,3
1,1020.23,43.0,0.0,54.21,0,1,0,0,0,4,2,1,2,2,0,0,3,1,0,2,0,2,2,1,0,2
0,10.35,50.0,1.0,80.12,0,0,2,1,0,2,0,1,1,5,0,1,1,0,0,4,0,3,0,2,2,2
0,24.09,35.0,1.0,1.52,0,0,1,0,1,0,2,2,0,2,0,0,3,1,0,2,0,1,0,0,0,1
0,4.48,23.0,0.0,115.59,0,1,0,0,1,2,0,2,0,1,0,0,1,3,3,1,1,1,0,2,1,2
0,21.28,25.0,0.0,57.12,0,1,0,0,0,2,1,1,2,2,0,1,1,0,1,4,0,4,1,1,0,1
0,66.39,27.0,0.0,81.1,0,2,1,1,1,0,0,1,1,2,2,1,2,2,0,4,0,1,1,2,1,1
1,1412.22,57.0,0.0,46.01,0,2,0,0,0,0,3,0,0,1,3,2,1,5,1,2,1,1,3,2,0,2
0,55.97,32.0,0.0,204.66,0,0,1,1,1,1,2,2,2,3,2,1,2,0,2,1,2,1,1,0,3,2
1,655.33,44.0,0.0,57.3,0,0,1,1,0,2,2,0,0,1,1,1,1,1,0,3,1,0,0,0,1,0
1,1525.65,32.0,0.0,23.86,0,1,0,1,0,0,1,2,0,5,0,1,2,1,1,4,4,2,2,1,2,1
0,116.51,46.0,1.0,199.5,0,1,0,1,2,1,1,2,1,3,1,1,2,1,0,1,0,0,0,1,2,0
1,1390.56,34.0,0.0,161.34,0,0,0,1,0,1,2,1,1,7,0,1,0,0,3,2,1,3,1,1,2,2
0,284.59,46.0,1.0,94.6,0,0,0,0,3,1,2,0,4,2,3,1,1,1,1,1,1,3,2,2,0,0
0,19.07,26.0,1.0,39.33,0,5,0,0,2,1,2,0,2,3,1,1,1,1,0,1,1,3,0,0,1,3
0,313.82,39.0,1.0,210.46,1,0,1,1,1,2,2,1,0,1,0,1,0,0,0,2,1,3,1,1,1,1
1,1530.55,32.0,1.0,8.17,0,1,2,1,1,1,1,3,1,2,1,0,2,1,2,3,2,0,2,1,0,3
0,23.07,30.0,0.0,119.39,0,2,1,1,0,0,1,2,0,6,2,0,1,0,1,3,2,2,0,5,0,1
0,88.05,63.0,1.0,131.17,0,1,2,0,1,0,0,3,3,2,0,0,0,0,1,2,2,4,0,0,0,1
0,54.77,22.0,1.0,109.54,1,1,0,1,0,1,1,3,0,2,1,1,2,1,2,2,1,3,2,0,2,4
1,1426.6,32.0,0.0,82.59,0,1,0,1,2,2,0,3,1,3,2,0,1,2,2,1,2,0,0,0,2,2
1,1267.0,30.0,0.0,134.08,0,0,0,1,2,1,1,2,2,3,0,0,2,0,4,0,1,0,0,3,2,1
1,1065.95,55.0,0.0,57.11,0,2,1,1,1,0,2,3,1,0,1,2,1,1,0,5,0,2,0,1,0,2
0,172.5,50.0,2.0,152.29,1,0,1,0,0,2,2,3,0,2,0,0,0,0,1,2,3,4,3,1,1,1
1,1119.16,32.0,0.0,62.11,0,2,3,0,0,0,0,0,0,2,1,1,1,1,0,2,0,2,2,1,1,3
0,10.11,30.0,0.0,171.52,0,0,1,2,2,1,0,2,1,4,0,1,1,1,0,3,1,2,1,1,2,4
1,1035.06,57.0,0.0,15.52,1,2,1,0,0,1,1,0,0,4,0,0,0,1,0,3,1,2,0,1,0,4
1,1693.26,63.0,0.0,189.98,0,3,1,0,2,2,0,4,2,2,0,1,5,0,2,1,0,7,3,0,1,2
0,25.42,32.0,0.0,0.04,0,1,1,1,4,0,1,1,4,4,1,0,4,0,1,0,2,0,0,3,3,1
1,1233.24,47.0,1.0,0.54,0,1,1,1,2,0,0,0,0,4,0,2,1,1,0,4,2,1,3,1,1,1
0,19.26,35.0,2.0,84.27,1,0,2,0,1,0,3,2,1,3,0,2,1,0,1,2,0,2,1,1,2,0
0,85.54,20.0,1.0,104.71,0,1,0,0,2,0,5,3,1,2,0,3,1,1,1,1,2,2,1,0,2,3
1,1710.7,23.0,0.0,139.18,0,2,0,3,1,0,2,4,0,4,1,1,3,1,0,2,4,3,1,1,1,1
1,1132.19,23.0,2.0,8.04,0,0,2,0,2,1,0,1,1,4,3,1,3,0,0,2,0,0,1,1,0,1
1,1568.85,47.0,0.0,3.17,1,1,1,1,3,0,1,1,2,2,5,1,2,0,1,1,0,2,1,1,2,0
0,48.97,46.0,0.0,74.8,1,2,2,0,0,2,0,3,0,3,1,1,1,1,2,0,1,1,2,1,0,2
0,2.68,74.0,0.0,119.78,0,0,2,1,0,2,0,3,1,0,2,1,1,0,1,3,1,1,1,0,1,1
1,1114.27,40.0,0.0,95.12,0,3,1,0,2,0,0,0,0,1,1,0,1,2,1,2,1,2,1,0,0,4
0,102.63,43.0,0.0,117.25,0,1,1,0,0,0,3,1,0,2,0,1,3,2,0,2,0,4,1,1,0,2
0,15.21,40.0,1.0,22.63,1,1,2,0,4,3,2,1,0,3,1,0,4,3,0,1,2,1,2,1,0,0
1,1541.21,35.0,0.0,16.68,0,0,2,1,1,1,2,3,2,3,0,2,2,0,2,0,3,4,1,0,0,1
1,1018.1,59.0,0.0,18.69,0,0,0,1,0,0,1,2,0,2,1,1,1,1,2,1,1,2,0,0,1,3
0,35.27,30.0,0.0,12.66,0,1,1,1,2,1,1,4,0,1,2,0,2,1,2,0,0,2,2,3,1,2
0,46.18,35.0,0.0,86.76,0,2,0,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1
1,1526.45,31.0,0.0,242.09,0,2,1,2,2,1,0,3,1,4,0,1,0,0,1,4,0,3,2,1,2,1
1,798.3,33.0,0.0,71.56,0,1,2,0,0,0,2,0,0,0,2,0,0,1,0,2,1,1,0,1,1,1
0,3.6,38.0,1.0,18.95,1,1,1,0,2,1,1,0,1,4,0,1,3,1,1,2,0,1,0,1,2,1
1,799.2,25.0,1.0,5.35,0,1,0,1,1,3,1,1,0,2,0,1,3,1,0,1,1,0,0,0,2,0
0,109.93,24.0,0.0,115.34,0,2,0,1,2,2,1,2,1,1,2,2,4,2,0,2,1,2,1,1,2,1
1,1199.42,22.0,0.0,24.72,0,0,1,1,2,2,2,0,0,0,0,1,1,1,2,3,1,4,2,2,1,1
0,25.53,51.0,1.0,31.73,1,2,1,2,4,0,0,1,0,4,1,0,0,3,0,3,1,2,2,2,2,2
0,33.06,60.0,2.0,51.79,0,4,0,2,0,0,3,2,1,7,4,0,1,3,0,3,0,2,1,0,3,3
1,1406.06,57.0,0.0,116.54,0,0,2,3,1,1,1,1,2,4,0,2,4,0,1,3,0,3,0,1,1,0
0,100.7,45.0,0.0,87.37,0,0,1,2,1,1,0,1,1,1,1,0,1,1,1,0,1,3,0,0,1,1
0,69.5,58.0,0.0,39.59,0,1,1,1,1,0,0,1,0,2,2,3,2,1,3,3,1,1,1,0,0,2
0,22.82,37.0,0.0,76.84,0,2,0,1,0,0,2,0,2,2,1,1,4,0,0,0,3,1,4,1,1,2
0,55.03,28.0,1.0,218.58,0,2,2,1,0,2,0,1,2,1,2,2,2,2,1,2,1,2,2,1,2,4
0,23.16,41.0,1.0,25.71,0,2,1,0,0,0,0,3,0,1,3,1,1,2,2,0,0,3,0,0,1,1
1,1180.62,24.0,0.0,59.93,0,0,2,1,0,3,0,2,1,2,0,1,2,1,2,1,0,2,3,2,0,2
0,15.56,31.0,1.0,68.93,0,1,1,1,0,2,1,3,0,3,0,2,1,0,1,4,1,1,0,0,0,2
1,1322.73,46.0,0.0,326.32,0,0,1,1,2,0,1,3,0,2,0,2,1,2,0,1,3,0,0,0,0,3
1,1248.72,48.0,1.0,28.2,1,1,1,0,0,1,1,2,2,2,2,3,0,0,2,2,2,1,1,0,2,0
0,117.87,60.0,2.0,81.76,0,1,1,2,1,0,1,2,2,4,0,1,1,2,3,0,1,3,0,1,1,1
0,49.03,48.0,0.0,350.12,0,1,1,2,2,0,0,3,3,2,0,0,2,2,0,2,2,6,0,0,1,2
0,136.13,25.0,0.0,23.47,0,1,0,0,1,1,1,1,0,4,2,0,3,1,2,2,1,3,1,1,1,7
0,71.18,36.0,1.0,113.9,0,0,2,2,1,0,1,1,2,2,1,0,3,1,1,0,2,2,3,0,0,6
1,1224.97,40.0,1.0,3.15,0,0,0,1,0,2,1,0,0,2,1,1,2,3,2,1,1,6,1,3,0,2
1,1437.06,48.0,0.0,225.68,0,0,3,2,1,0,1,1,1,2,0,0,3,2,0,1,0,3,0,2,1,2
1,1503.38,72.0,0.0,175.14,0,2,0,0,1,0,2,4,2,5,2,1,2,1,1,2,2,1,0,0,1,2
1,1768.59,44.0,1.0,120.36,0,1,0,1,1,2,1,6,0,2,1,1,5,1,0,3,1,3,1,0,2,2
0,5.87,28.0,0.0,82.84,0,5,1,0,1,1,1,4,0,2,2,0,1,1,0,0,2,4,0,1,0,3
0,128.92,34.0,1.0,252.08,0,1,1,0,0,1,0,0,0,0,0,1,2,1,3,3,1,7,0,3,1,0
1,1270.17,26.0,0.0,9.49,0,0,0,1,1,2,2,4,0,3,1,2,1,0,0,2,2,0,1,0,0,3
1,1286.29,29.0,0.0,2.4,0,3,1,1,1,0,0,1,2,3,0,3,2,1,1,1,1,2,1,1,1,2
0,290.35,22.0,1.0,55.61,1,0,0,1,0,0,1,3,1,3,0,1,2,2,0,1,1,2,1,1,1,1
0,266.85,45.0,0.0,63.88,0,1,0,1,2,2,0,2,1,5,0,0,1,0,2,2,0,1,2,1,1,1
1,1514.25,32.0,0.0,207.43,2,1,0,2,1,2,0,5,0,2,0,0,0,2,0,1,2,3,0,0,1,3
0,417.36,41.0,1.0,139.58,1,1,2,0,0,2,0,3,2,4,2,1,5,1,1,4,0,4,3,0,1,4
1,1918.33,51.0,0.0,13.13,1,1,4,4,0,0,0,0,1,3,0,1,3,1,4,1,0,3,1,0,4,4
0,27.33,36.0,0.0,2.72,0,2,0,0,2,0,0,3,1,2,0,0,0,2,1,0,2,4,1,2,1,6
0,92.85,32.0,0.0,267.95,0,0,0,1,0,0,1,4,1,3,0,0,1,0,1,4,1,2,2,1,4,1
0,413.55,47.0,1.0,223.91,0,0,1,2,0,1,1,1,2,3,2,0,2,0,1,4,1,1,0,0,1,2
1,1131.26,42.0,0.0,28.0,0,2,1,0,1,2,2,2,0,3,2,1,1,0,2,1,1,1,0,2,1,1
0,2.04,30.0,0.0,13.03,0,1,1,0,0,5,3,1,0,4,0,0,2,1,2,2,1,1,0,1,3,1
0,94.4,28.0,0.0,176.05,0,1,1,3,2,0,1,2,3,3,1,1,1,0,2,2,1,5,1,1,0,2
1,15321.12,29.0,1.0,11570.23,0,0,0,2,1,2,2,0,0,2,2,1,5,0,1,4,5,3,1,1,0,3
0,36.56,30.0,1.0,235.7,0,0,0,0,2,0,0,2,0,4,2,0,3,0,0,1,0,2,1,3,1,2
0,278.51,36.0,1.0,97.07,1,0,1,2,1,0,0,2,4,1,2,0,1,1,1,1,0,2,2,1,2,0
1,1508.94,25.0,0.0,29.96,0,1,2,0,2,2,1,2,3,1,1,2,0,1,2,2,1,3,2,1,0,2
0,39.63,29.0,0.0,3.37,0,1,1,1,1,0,0,2,1,3,2,1,2,2,0,4,1,0,1,1,0,1
0,81.59,52.0,1.0,74.55,0,2,0,2,2,0,2,2,3,6,1,0,1,3,0,4,1,3,1,1,0,3
0,13.48,58.0,1.0,79.81,0,1,2,1,2,0,0,5,2,4,1,0,3,2,3,2,1,3,2,3,0,3
1,1210.51,28.0,1.0,0.43,1,0,0,1,1,1,1,0,2,3,0,1,0,1,2,2,1,2,1,0,4,0
0,153.54,43.0,0.0,125.36,0,0,0,1,1,0,1,3,1,4,0,1,1,1,0,1,2,0,1,0,1,3
0,72.17,25.0,0.0,14.09,0,3,1,0,1,1,0,1,2,2,0,3,0,0,2,5,0,1,0,0,0,2
1,942.92,27.0,1.0,8.81,1,0,0,2,1,2,1,1,0,2,1,1,2,1,2,1,1,1,1,0,0,0
0,15.54,48.0,1.0,5.93,0,1,1,1,1,0,1,2,0,0,0,0,3,2,0,3,2,3,1,0,3,3
0,6.49,40.0,0.0,152.49,0,3,0,1,0,1,0,0,1,3,1,2,3,1,3,0,1,1,1,2,0,3
0,58.09,43.0,1.0,138.31,0,1,2,1,2,1,0,0,0,2,1,0,0,0,0,2,2,3,0,0,1,1
0,35.52,31.0,0.0,16.25,0,0,0,1,0,0,2,0,0,1,0,0,5,1,0,2,3,1,1,0,1,3
0,18.05,26.0,1.0,96.15,0,1,2,1,2,1,0,5,1,3,0,3,3,3,3,4,3,2,0,2,0,0
1,1927.74,46.0,0.0,288.01,0,1,1,1,0,1,2,0,2,6,3,0,4,2,0,1,3,4,1,0,1,2
