store,weeks_to_xmas,avg_week_sales,is_on_sale,weekly_amount_sold
31,2,18.7,0,41.41
31,1,18.7,0,0.0
31,0,18.7,1,13.4
32,3,26.93,1,222.3
32,2,26.93,1,147.26
32,1,26.93,0,54.1
32,0,26.93,1,67.04
33,3,23.7,1,160.81
33,2,23.7,0,69.51
33,1,23.7,1,90.1
33,0,23.7,1,26.8
34,3,19.05,1,139.04
34,2,19.05,0,40.06
34,1,19.05,1,49.55
34,0,19.05,0,0.0
35,3,13.26,1,105.0
35,2,13.26,0,12.24
35,1,13.26,1,45.97
35,0,13.26,0,0.0
36,3,42.96,1,340.51
36,2,42.96,1,248.49
36,1,42.96,1,167.35
36,0,42.96,1,91.38
37,3,22.69,1,134.13
37,2,22.69,0,38.52
37,1,22.69,1,37.3
37,0,22.69,1,5.49
38,3,20.15,0,139.36
38,2,20.15,1,155.85
38,1,20.15,0,70.08
38,0,20.15,1,69.1
39,3,17.7,1,252.23
39,2,17.7,0,165.81
39,1,17.7,0,122.79
39,0,17.7,0,108.51
40,3,22.66,1,234.57
40,2,22.66,0,122.69
40,1,22.66,1,153.78
40,0,22.66,1,104.43
41,3,20.3,1,182.05
41,2,20.3,1,136.92
41,1,20.3,1,99.29
41,0,20.3,0,0.0
42,3,22.03,1,156.08
42,2,22.03,1,108.96
42,1,22.03,0,24.1
42,0,22.03,1,0.0
43,3,21.37,0,99.56
43,2,21.37,1,115.46
43,1,21.37,0,10.74
43,0,21.37,0,0.0
44,3,19.02,1,255.1
44,2,19.02,1,210.21
44,1,19.02,1,178.06
44,0,19.02,0,88.33
45,3,18.86,1,151.65
45,2,18.86,1,125.63
45,1,18.86,1,86.75
45,0,18.86,0,13.0
46,3,24.96,1,200.96
46,2,24.96,1,124.51
46,1,24.96,0,29.01
46,0,24.96,1,32.11
47,3,15.13,1,165.05
47,2,15.13,1,120.46
47,1,15.13,1,111.71
47,0,15.13,0,1.33
48,3,19.37,1,281.93
48,2,19.37,1,230.06
48,1,19.37,1,194.48
48,0,19.37,1,166.23
49,3,25.28,1,234.07
49,2,25.28,1,167.0
49,1,25.28,1,123.27
49,0,25.28,1,75.97
50,3,19.54,0,161.51
50,2,19.54,1,168.65
50,1,19.54,0,79.88
50,0,19.54,0,42.28
51,3,20.3,1,193.35
51,2,20.3,0,98.05
51,1,20.3,0,68.81
51,0,20.3,0,30.87
52,3,10.49,0,43.76
52,2,10.49,0,18.38
52,1,10.49,0,19.19
52,0,10.49,0,0.0
53,3,17.14,1,104.21
53,2,17.14,0,25.03
53,1,17.14,0,0.0
53,0,17.14,0,0.0
54,3,18.33,0,102.28
54,2,18.33,1,129.24
54,1,18.33,0,26.28
54,0,18.33,0,0.0
55,3,22.02,1,175.74
55,2,22.02,0,76.97
55,1,22.02,0,44.61
55,0,22.02,1,53.78
56,3,28.27,1,270.4
56,2,28.27,1,224.97
56,1,28.27,0,125.06
56,0,28.27,1,89.09
57,3,22.75,1,249.27
57,2,22.75,1,184.94
57,1,22.75,1,143.8
57,0,22.75,1,117.3
58,3,24.37,1,279.62
58,2,24.37,1,203.51
58,1,24.37,1,156.95
58,0,24.37,1,115.57
59,3,15.28,0,113.34
59,2,15.28,1,135.11
59,1,15.28,0,38.78
59,0,15.28,0,16.81
60,3,21.95,0,198.08
60,2,21.95,1,188.82
60,1,21.95,1,139.28
60,0,21.95,1,115.44
61,3,13.87,1,114.21
61,2,13.87,0,0.0
61,1,13.87,0,0.0
61,0,13.87,0,0.0
62,3,17.46,1,216.47
62,2,17.46,0,142.52
62,1,17.46,1,157.97
62,0,17.46,0,73.21
63,3,14.27,0,113.9
63,2,14.27,1,134.35
63,1,14.27,1,125.91
63,0,14.27,0,20.31
64,3,26.94,1,223.79
64,2,26.94,1,187.78
64,1,26.94,1,115.08
64,0,26.94,1,69.66
65,3,23.36,1,232.71
65,2,23.36,1,164.75
65,1,23.36,0,86.33
65,0,23.36,0,39.63
66,3,16.86,1,171.05
66,2,16.86,0,75.66
66,1,16.86,0,43.07
66,0,16.86,0,3.5
67,3,25.62,0,226.26
67,2,25.62,1,231.46
67,1,25.62,1,176.71
67,0,25.62,1,112.66
68,3,15.35,1,232.0
68,2,15.35,1,189.42
68,1,15.35,0,120.94
68,0,15.35,0,77.07
69,3,21.46,1,285.75
69,2,21.46,1,265.48
69,1,21.46,1,196.78
69,0,21.46,0,128.53
70,3,12.64,0,0.0
70,2,12.64,0,0.0
70,1,12.64,0,0.0
70,0,12.64,0,0.0
71,3,23.86,0,76.19
71,2,23.86,1,95.02
71,1,23.86,1,6.55
71,0,23.86,1,0.0
72,3,20.52,0,100.49
72,2,20.52,1,118.06
72,1,20.52,0,18.79
72,0,20.52,0,0.0
73,3,23.15,0,163.72
73,2,23.15,0,110.7
73,1,23.15,1,126.03
73,0,23.15,0,26.38
74,3,13.7,0,125.87
74,2,13.7,0,103.95
74,1,13.7,1,122.44
74,0,13.7,0,67.88
75,3,19.49,0,131.53
75,2,19.49,0,116.3
75,1,19.49,1,115.05
75,0,19.49,0,18.41
76,3,18.67,1,70.65
76,2,18.67,1,21.01
76,1,18.67,0,0.0
76,0,18.67,0,0.0
77,3,17.15,0,91.2
77,2,17.15,1,114.81
77,1,17.15,0,29.61
77,0,17.15,0,0.0
78,3,22.02,1,238.1
78,2,22.02,0,154.01
78,1,22.02,1,149.54
78,0,22.02,0,56.21
79,3,24.37,1,208.39
79,2,24.37,1,183.04
79,1,24.37,1,115.47
79,0,24.37,1,72.61
80,3,24.81,1,256.28
80,2,24.81,1,213.01
80,1,24.81,0,114.81
80,0,24.81,0,49.7
81,3,15.41,0,91.72
81,2,15.41,0,49.13
81,1,15.41,0,43.33
81,0,15.41,0,0.0
82,3,23.1,1,186.99
82,2,23.1,0,78.19
82,1,23.1,0,60.29
82,0,23.1,1,61.42
83,3,17.49,1,157.3
83,2,17.49,1,140.62
83,1,17.49,1,99.06
83,0,17.49,1,74.64
84,3,18.94,1,187.69
84,2,18.94,1,129.58
84,1,18.94,1,126.81
84,0,18.94,1,68.68
85,3,27.51,1,238.04
85,2,27.51,1,184.98
85,1,27.51,1,113.7
85,0,27.51,1,68.7
86,3,25.52,0,166.61
86,2,25.52,1,176.86
86,1,25.52,1,112.15
86,0,25.52,1,88.36
87,3,24.8,1,176.74
87,2,24.8,0,79.41
87,1,24.8,1,83.01
87,0,24.8,1,12.2
88,3,19.85,0,154.8
88,2,19.85,0,109.38
88,1,19.85,1,125.78
88,0,19.85,0,43.25
89,3,19.2,0,118.64
89,2,19.2,1,146.11
89,1,19.2,0,57.66
89,0,19.2,0,19.92
90,3,9.7,0,113.56
90,2,9.7,1,143.33
90,1,9.7,0,64.6
90,0,9.7,0,53.71
91,3,22.9,1,266.01
91,2,22.9,1,218.52
91,1,22.9,1,181.97
91,0,22.9,0,69.39
92,3,17.62,1,182.28
92,2,17.62,1,147.75
92,1,17.62,1,101.84
92,0,17.62,0,16.77
93,3,15.37,1,120.3
93,2,15.37,0,44.92
93,1,15.37,0,1.05
93,0,15.37,0,0.0
94,3,21.1,0,107.35
94,2,21.1,0,49.32
94,1,21.1,1,101.41
94,0,21.1,1,26.39
95,3,21.54,1,204.26
95,2,21.54,1,172.73
95,1,21.54,0,83.13
95,0,21.54,0,37.22
96,3,23.73,1,188.81
96,2,23.73,1,170.49
96,1,23.73,1,92.01
96,0,23.73,0,38.62
97,3,21.11,0,124.87
97,2,21.11,1,140.41
97,1,21.11,1,90.54
97,0,21.11,0,19.01
98,3,19.58,1,179.77
98,2,19.58,0,87.13
98,1,19.58,1,113.09
98,0,19.58,1,57.14
99,3,21.48,0,125.7
99,2,21.48,1,125.63
99,1,21.48,0,29.15
99,0,21.48,0,0.0
100,3,15.57,1,180.51
100,2,15.57,1,141.41
100,1,15.57,0,70.57
100,0,15.57,1,94.88
101,3,29.47,1,223.35
101,2,29.47,1,176.93
101,1,29.47,1,95.58
101,0,29.47,1,56.53
102,3,14.12,0,148.0
102,2,14.12,1,178.9
102,1,14.12,1,137.2
102,0,14.12,0,84.93
103,3,23.19,0,162.6
103,2,23.19,1,190.44
103,1,23.19,0,82.44
103,0,23.19,1,96.53
104,3,20.3,0,155.53
104,2,20.3,1,142.53
104,1,20.3,1,137.86
104,0,20.3,0,36.45
105,3,15.84,1,95.38
105,2,15.84,1,86.67
105,1,15.84,0,0.0
105,0,15.84,0,0.0
106,3,18.87,0,131.24
106,2,18.87,1,162.43
106,1,18.87,1,87.26
106,0,18.87,0,21.51
107,3,18.5,1,205.7
107,2,18.5,0,120.24
107,1,18.5,0,68.65
107,0,18.5,1,87.33
108,3,19.09,1,119.99
108,2,19.09,0,44.3
108,1,19.09,0,8.63
108,0,19.09,0,0.0
109,3,14.88,1,138.21
109,2,14.88,1,91.58
109,1,14.88,0,33.1
109,0,14.88,0,0.0
110,3,17.7,1,177.52
110,2,17.7,1,142.68
110,1,17.7,0,50.27
110,0,17.7,0,6.02
111,3,19.4,0,47.13
111,2,19.4,1,72.84
111,1,19.4,0,0.0
111,0,19.4,0,0.0
112,3,26.82,1,244.61
112,2,26.82,1,165.02
112,1,26.82,1,154.35
112,0,26.82,1,78.73
113,3,14.27,0,122.46
113,2,14.27,0,104.87
113,1,14.27,0,82.73
113,0,14.27,0,43.91
114,3,26.03,1,166.67
114,2,26.03,1,145.03
114,1,26.03,1,63.58
114,0,26.03,0,0.0
115,3,17.15,1,186.79
115,2,17.15,0,90.46
115,1,17.15,0,44.27
115,0,17.15,0,18.1
116,3,11.11,0,0.0
116,2,11.11,1,39.24
116,1,11.11,0,0.0
116,0,11.11,0,0.0
117,3,20.97,0,136.19
117,2,20.97,0,105.2
117,1,20.97,1,97.82
117,0,20.97,0,0.0
118,3,27.09,1,140.84
118,2,27.09,1,88.98
118,1,27.09,1,37.71
118,0,27.09,1,0.0
119,3,21.08,0,213.67
119,2,21.08,1,203.36
119,1,21.08,1,168.71
119,0,21.08,0,50.14
120,3,18.82,0,156.61
120,2,18.82,0,86.1
120,1,18.82,1,120.81
120,0,18.82,1,79.62
121,3,24.17,1,190.54
121,2,24.17,0,101.04
121,1,24.17,1,116.87
121,0,24.17,1,58.64
122,3,17.52,0,73.55
122,2,17.52,1,95.33
122,1,17.52,0,0.0
122,0,17.52,1,20.64
123,3,19.75,1,240.46
123,2,19.75,1,195.57
123,1,19.75,0,112.58
123,0,19.75,1,140.22
124,3,20.15,1,272.73
124,2,20.15,1,240.82
124,1,20.15,0,148.09
124,0,20.15,0,101.77
125,3,19.8,1,86.64
125,2,19.8,0,0.0
125,1,19.8,0,0.0
125,0,19.8,1,0.0
126,3,24.27,0,224.34
126,2,24.27,1,217.11
126,1,24.27,1,173.4
126,0,24.27,0,73.44
127,3,23.06,0,221.76
127,2,23.06,1,229.86
127,1,23.06,1,180.86
127,0,23.06,0,87.99
128,3,18.03,0,118.64
128,2,18.03,1,141.78
128,1,18.03,0,73.2
128,0,18.03,0,18.86
129,3,15.5,1,84.51
129,2,15.5,0,9.72
129,1,15.5,0,0.0
129,0,15.5,0,0.0
130,3,9.96,1,158.38
130,2,9.96,1,125.66
130,1,9.96,1,117.69
130,0,9.96,0,35.7
131,3,14.76,0,86.86
131,2,14.76,0,47.85
131,1,14.76,0,14.8
131,0,14.76,0,9.92
132,3,13.54,0,44.29
132,2,13.54,0,19.28
132,1,13.54,0,0.0
132,0,13.54,0,0.0
133,3,17.07,1,79.08
133,2,17.07,0,12.35
133,1,17.07,0,0.0
133,0,17.07,0,0.0
134,3,22.12,1,226.08
134,2,22.12,1,178.54
134,1,22.12,0,92.5
134,0,22.12,0,39.04
135,3,19.68,0,170.22
135,2,19.68,1,174.21
135,1,19.68,0,92.65
135,0,19.68,0,52.66
136,3,27.3,0,163.69
136,2,27.3,0,108.58
136,1,27.3,1,92.41
136,0,27.3,1,25.3
137,3,19.67,1,187.64
137,2,19.67,0,109.99
137,1,19.67,1,120.89
137,0,19.67,0,50.54
138,3,25.98,1,144.3
138,2,25.98,1,92.15
138,1,25.98,1,58.99
138,0,25.98,1,22.63
139,3,17.78,1,199.9
139,2,17.78,0,126.73
139,1,17.78,1,123.71
139,0,17.78,1,81.98
140,3,15.74,0,102.79
140,2,15.74,1,108.9
140,1,15.74,0,75.15
140,0,15.74,0,7.52
141,3,16.71,1,129.94
141,2,16.71,0,74.84
141,1,16.71,0,42.34
141,0,16.71,0,0.0
142,3,27.31,1,227.66
142,2,27.31,1,174.45
142,1,27.31,0,67.63
142,0,27.31,1,53.2
143,3,15.0,0,138.41
143,2,15.0,0,116.54
143,1,15.0,1,130.25
143,0,15.0,0,66.27
144,3,15.22,0,125.08
144,2,15.22,1,135.63
144,1,15.22,0,81.78
144,0,15.22,0,31.89
145,3,28.21,0,220.89
145,2,28.21,1,198.11
145,1,28.21,0,97.31
145,0,28.21,1,77.49
146,3,21.96,1,219.5
146,2,21.96,1,134.4
146,1,21.96,0,62.37
146,0,21.96,0,3.95
147,3,20.74,0,140.88
147,2,20.74,0,102.07
147,1,20.74,0,48.34
147,0,20.74,1,68.96
148,3,11.61,1,165.74
148,2,11.61,0,71.67
148,1,11.61,1,111.4
148,0,11.61,0,38.97
149,3,18.07,0,145.04
149,2,18.07,1,140.04
149,1,18.07,1,110.86
149,0,18.07,0,30.21
150,3,24.21,1,254.77
150,2,24.21,0,137.88
150,1,24.21,0,102.58
150,0,24.21,1,103.89
151,3,20.09,1,165.18
151,2,20.09,0,88.17
151,1,20.09,0,40.32
151,0,20.09,1,38.44
152,3,16.1,0,0.0
152,2,16.1,0,0.0
152,1,16.1,0,0.0
152,0,16.1,1,0.0
153,3,15.81,1,216.01
153,2,15.81,1,171.83
153,1,15.81,1,139.04
153,0,15.81,0,63.66
154,3,22.83,0,255.64
154,2,22.83,1,265.16
154,1,22.83,1,232.45
154,0,22.83,0,120.37
155,3,15.16,0,127.25
155,2,15.16,0,87.92
155,1,15.16,1,100.36
155,0,15.16,0,38.75
156,3,18.12,1,170.79
156,2,18.12,0,81.04
156,1,18.12,0,30.77
156,0,18.12,0,3.77
157,3,21.99,1,191.78
157,2,21.99,1,117.73
157,1,21.99,0,58.39
157,0,21.99,1,46.48
158,3,16.3,0,97.53
158,2,16.3,0,56.66
158,1,16.3,0,32.4
158,0,16.3,0,0.0
159,3,19.89,1,160.83
159,2,19.89,0,97.57
159,1,19.89,0,64.68
159,0,19.89,0,13.2
160,3,17.14,1,104.37
160,2,17.14,1,65.52
160,1,17.14,0,0.0
160,0,17.14,0,0.0
161,3,23.74,1,181.28
161,2,23.74,1,143.72
161,1,23.74,1,81.79
161,0,23.74,0,0.0
162,3,21.62,0,91.64
162,2,21.62,1,97.81
162,1,21.62,1,69.66
162,0,21.62,0,0.0
163,3,19.89,1,206.33
163,2,19.89,0,106.11
163,1,19.89,1,97.21
163,0,19.89,1,77.47
164,3,25.0,0,142.43
164,2,25.0,1,151.04
164,1,25.0,0,28.58
164,0,25.0,0,0.72
165,3,16.71,1,194.59
165,2,16.71,1,142.43
165,1,16.71,1,115.1
165,0,16.71,0,38.93
166,3,23.5,1,190.71
166,2,23.5,1,127.83
166,1,23.5,0,51.61
166,0,23.5,1,47.65
167,3,23.33,1,249.49
167,2,23.33,1,210.54
167,1,23.33,1,167.44
167,0,23.33,0,59.03
168,3,19.26,0,147.44
168,2,19.26,0,95.29
168,1,19.26,0,59.62
168,0,19.26,0,3.96
169,3,18.63,0,232.07
169,2,18.63,0,164.69
169,1,18.63,1,205.66
169,0,18.63,1,156.92
170,3,16.5,0,30.73
170,2,16.5,1,27.0
170,1,16.5,1,2.4
170,0,16.5,0,0.0
171,3,29.07,1,222.93
171,2,29.07,1,148.6
171,1,29.07,1,76.81
171,0,29.07,1,34.83
172,3,17.25,1,213.76
172,2,17.25,0,104.13
172,1,17.25,0,84.0
172,0,17.25,0,49.67
173,3,15.32,0,214.29
173,2,15.32,1,253.91
173,1,15.32,0,146.28
173,0,15.32,0,133.91
174,3,32.28,0,228.9
174,2,32.28,1,200.44
174,1,32.28,0,69.71
174,0,32.28,1,50.69
175,3,20.78,1,198.79
175,2,20.78,0,76.74
175,1,20.78,1,113.31
175,0,20.78,0,10.5
176,3,18.26,1,134.84
176,2,18.26,0,72.86
176,1,18.26,0,27.94
176,0,18.26,1,49.32
177,3,19.53,0,206.54
177,2,19.53,1,193.04
177,1,19.53,0,125.54
177,0,19.53,1,127.14
178,3,19.13,0,99.65
178,2,19.13,0,54.51
178,1,19.13,0,33.01
178,0,19.13,0,2.62
179,3,16.8,1,203.17
179,2,16.8,0,101.24
179,1,16.8,0,74.11
179,0,16.8,0,44.03
180,3,15.3,1,120.06
180,2,15.3,0,51.33
180,1,15.3,0,28.5
180,0,15.3,0,0.0
181,3,19.33,0,74.71
181,2,19.33,1,83.97
181,1,19.33,0,0.0
181,0,19.33,1,0.0
182,3,19.59,1,179.68
182,2,19.59,0,96.67
182,1,19.59,0,71.17
182,0,19.59,1,68.16
183,3,17.12,1,186.97
183,2,17.12,1,151.24
183,1,17.12,0,77.03
183,0,17.12,0,25.12
184,3,20.32,1,252.69
184,2,20.32,1,202.05
184,1,20.32,0,105.11
184,0,20.32,1,109.08
185,3,22.31,1,195.03
185,2,22.31,0,77.2
185,1,22.31,0,39.27
185,0,22.31,0,0.0
186,3,19.01,0,99.44
186,2,19.01,0,41.55
186,1,19.01,0,18.8
186,0,19.01,0,0.0
187,3,24.01,1,237.13
187,2,24.01,1,183.83
187,1,24.01,0,93.42
187,0,24.01,1,96.23
188,3,17.79,1,162.49
188,2,17.79,0,102.33
188,1,17.79,0,62.87
188,0,17.79,1,84.5
189,3,20.5,1,208.65
189,2,20.5,1,151.09
189,1,20.5,1,133.59
189,0,20.5,1,76.47
190,3,27.07,1,217.03
190,2,27.07,1,191.3
190,1,27.07,0,61.86
190,0,27.07,1,38.79
191,3,22.82,1,277.32
191,2,22.82,1,208.23
191,1,22.82,0,106.29
191,0,22.82,0,68.77
192,3,22.48,1,219.71
192,2,22.48,1,178.38
192,1,22.48,0,89.51
192,0,22.48,1,87.13
193,3,31.69,1,358.41
193,2,31.69,1,286.82
193,1,31.69,1,221.62
193,0,31.69,1,170.02
194,3,18.73,1,222.5
194,2,18.73,1,187.1
194,1,18.73,1,156.84
194,0,18.73,0,56.71
195,3,24.55,1,253.83
195,2,24.55,1,189.26
195,1,24.55,0,90.59
195,0,24.55,1,89.27
196,3,22.09,0,59.43
196,2,22.09,0,5.39
196,1,22.09,0,0.0
196,0,22.09,0,0.0
197,3,17.63,1,189.82
197,2,17.63,1,171.28
197,1,17.63,1,135.12
197,0,17.63,0,41.68
198,3,22.8,1,217.44
198,2,22.8,1,169.21
198,1,22.8,0,68.51
198,0,22.8,0,12.76
199,3,32.52,1,301.33
199,2,32.52,1,239.9
199,1,32.52,1,187.12
199,0,32.52,0,49.83
200,3,22.52,1,262.92
200,2,22.52,0,151.67
200,1,22.52,1,159.24
200,0,22.52,0,65.89
201,3,18.16,0,107.03
201,2,18.16,0,65.86
201,1,18.16,0,12.62
201,0,18.16,0,0.0
202,3,21.92,1,231.78
202,2,21.92,0,147.24
202,1,21.92,1,136.75
202,0,21.92,1,109.04
203,3,14.11,0,52.09
203,2,14.11,0,21.88
203,1,14.11,0,0.0
203,0,14.11,0,0.0
204,3,20.87,1,286.28
204,2,20.87,1,238.55
204,1,20.87,0,159.49
204,0,20.87,1,177.1
205,3,18.53,0,54.25
205,2,18.53,0,21.25
205,1,18.53,0,0.0
205,0,18.53,1,0.0
206,3,24.75,0,74.8
206,2,24.75,0,44.23
206,1,24.75,0,0.0
206,0,24.75,0,0.0
207,3,13.01,1,58.71
207,2,13.01,1,22.22
207,1,13.01,0,0.0
207,0,13.01,1,0.0
208,3,19.89,0,70.47
208,2,19.89,0,33.78
208,1,19.89,1,61.4
208,0,19.89,0,0.0
209,3,22.69,1,164.86
209,2,22.69,1,86.5
209,1,22.69,0,11.34
209,0,22.69,1,14.07
210,3,20.41,0,237.4
210,2,20.41,0,197.1
210,1,20.41,0,145.89
210,0,20.41,1,161.35
211,3,23.32,1,196.03
211,2,23.32,1,156.51
211,1,23.32,0,28.11
211,0,23.32,1,53.01
212,3,20.09,0,68.69
212,2,20.09,0,36.02
212,1,20.09,1,34.55
212,0,20.09,0,0.0
213,3,20.03,1,233.85
213,2,20.03,1,198.76
213,1,20.03,0,115.8
213,0,20.03,0,55.17
214,3,17.7,1,139.43
214,2,17.7,0,53.08
214,1,17.7,0,23.77
214,0,17.7,0,0.0
215,3,28.24,1,182.68
215,2,28.24,1,113.02
215,1,28.24,1,49.56
215,0,28.24,1,15.7
216,3,21.49,1,225.26
216,2,21.49,1,208.81
216,1,21.49,1,151.05
216,0,21.49,0,51.3
217,3,18.83,1,207.05
217,2,18.83,0,115.11
217,1,18.83,1,143.38
217,0,18.83,0,44.07
218,3,13.55,1,106.9
218,2,13.55,0,44.14
218,1,13.55,0,10.71
218,0,13.55,0,0.0
219,3,22.35,1,267.92
219,2,22.35,1,237.77
219,1,22.35,1,178.11
219,0,22.35,1,131.73
220,3,21.94,1,199.19
220,2,21.94,1,162.03
220,1,21.94,0,76.08
220,0,21.94,0,13.77
221,3,13.76,0,176.94
221,2,13.76,0,144.67
221,1,13.76,1,147.35
221,0,13.76,0,87.47
222,3,22.51,1,226.32
222,2,22.51,1,181.63
222,1,22.51,1,134.22
222,0,22.51,1,77.23
223,3,23.16,1,268.96
223,2,23.16,0,179.88
223,1,23.16,0,145.61
223,0,23.16,1,135.86
224,3,29.49,0,220.32
224,2,29.49,1,194.61
224,1,29.49,1,135.21
224,0,29.49,1,69.68
225,3,17.1,1,89.89
225,2,17.1,1,65.1
225,1,17.1,0,0.0
225,0,17.1,0,0.0
226,3,25.28,1,337.43
226,2,25.28,1,293.57
226,1,25.28,1,253.08
226,0,25.28,1,191.15
227,3,24.8,1,191.66
227,2,24.8,1,136.66
227,1,24.8,0,42.41
227,0,24.8,1,31.96
228,3,23.21,0,153.54
228,2,23.21,0,82.57
228,1,23.21,0,56.67
228,0,23.21,0,0.0
229,3,22.94,1,179.07
229,2,22.94,1,116.2
229,1,22.94,1,73.18
229,0,22.94,0,0.0
230,3,17.97,1,151.76
230,2,17.97,0,53.49
230,1,17.97,1,56.7
230,0,17.97,1,43.07
231,3,14.91,1,146.28
231,2,14.91,0,81.18
231,1,14.91,0,45.19
231,0,14.91,0,8.19
232,3,26.44,1,235.91
232,2,26.44,1,201.37
232,1,26.44,1,139.41
232,0,26.44,1,76.25
233,3,22.46,1,247.65
233,2,22.46,1,195.13
233,1,22.46,0,94.76
233,0,22.46,0,54.76
234,3,18.42,1,244.59
234,2,18.42,1,237.39
234,1,18.42,0,132.98
234,0,18.42,1,153.41
235,3,16.05,0,86.63
235,2,16.05,1,98.57
235,1,16.05,0,18.31
235,0,16.05,0,0.0
236,3,27.83,1,171.77
236,2,27.83,1,122.69
236,1,27.83,1,71.13
236,0,27.83,1,1.99
237,3,23.74,0,98.82
237,2,23.74,1,108.84
237,1,23.74,1,57.59
237,0,23.74,1,0.3
238,3,18.68,0,77.34
238,2,18.68,0,47.38
238,1,18.68,0,0.0
238,0,18.68,0,0.0
239,3,13.51,1,51.9
239,2,13.51,0,0.0
239,1,13.51,0,0.0
239,0,13.51,0,0.0
240,3,24.09,0,220.25
240,2,24.09,0,131.62
240,1,24.09,1,148.96
240,0,24.09,1,86.98
241,3,24.19,0,143.04
241,2,24.19,1,129.98
241,1,24.19,0,29.8
241,0,24.19,0,4.71
242,3,24.8,1,204.38
242,2,24.8,0,98.08
242,1,24.8,1,104.21
242,0,24.8,1,64.71
243,3,18.75,1,169.15
243,2,18.75,0,76.76
243,1,18.75,0,58.54
243,0,18.75,0,16.93
244,3,20.29,0,71.47
244,2,20.29,1,102.69
244,1,20.29,0,0.0
244,0,20.29,0,0.0
245,3,14.02,1,101.02
245,2,14.02,0,25.25
245,1,14.02,0,0.0
245,0,14.02,0,0.0
246,3,25.59,1,243.71
246,2,25.59,1,191.16
246,1,25.59,1,173.67
246,0,25.59,0,56.0
247,3,15.05,0,119.66
247,2,15.05,0,102.69
247,1,15.05,0,77.39
247,0,15.05,0,30.3
248,3,18.83,1,127.26
248,2,18.83,0,73.3
248,1,18.83,1,75.0
248,0,18.83,0,0.0
249,3,20.72,1,275.24
249,2,20.72,0,185.23
