age,income,credit_score,prime_elegible,prime_card,pv,tau,categ
42.0,825.0,278.0,1,1,1156.72,700.0,complier
51.6,5803.0,503.0,0,0,3335.95,700.0,complier
43.7,7422.0,209.0,1,0,3384.79,200.0,never-taker
45.9,6069.0,511.0,0,0,3310.7,700.0,complier
51.0,2652.0,85.0,1,0,2371.63,200.0,never-taker
36.8,657.0,240.0,1,0,1043.42,200.0,never-taker
37.8,1474.0,11.0,1,0,1246.2,200.0,never-taker
49.0,2704.0,512.0,1,1,3051.67,700.0,complier
38.8,24856.0,154.0,1,0,10521.96,200.0,never-taker
42.1,3973.0,382.0,0,0,1634.36,699.9999999999998,complier
46.3,4564.0,93.0,0,0,1693.47,200.0,never-taker
45.6,1610.0,64.0,1,0,1305.56,200.0,never-taker
49.0,8832.0,72.0,0,0,3822.81,200.0,never-taker
48.0,526.0,303.0,0,0,836.97,700.0,complier
46.3,5415.0,634.0,1,1,3959.7,700.0,complier
38.9,2383.0,626.0,1,1,1973.83,700.0,complier
45.2,5178.0,304.0,1,0,3022.5,200.0,never-taker
43.3,1815.0,1.0,1,0,1154.78,200.0,never-taker
36.7,8092.0,398.0,1,1,4305.639999999999,699.9999999999995,complier
47.7,4170.0,120.0,1,0,2769.89,200.0,never-taker
45.2,2064.0,12.0,1,0,1900.56,200.0,never-taker
42.2,3512.0,57.0,1,0,2112.09,200.0,never-taker
41.1,7050.0,449.0,1,1,3634.21,700.0,complier
37.2,8522.0,759.0,0,0,3906.94,700.0000000000005,complier
42.8,8458.0,269.0,0,0,4441.53,200.0,never-taker
43.9,9086.0,201.0,0,0,4455.22,200.0,never-taker
38.7,8063.0,867.0,1,1,4171.93,700.0000000000005,complier
46.6,1437.0,120.0,0,0,1580.04,200.0,never-taker
37.6,4364.0,112.0,0,0,1825.31,200.0,never-taker
33.5,1482.0,186.0,0,0,735.13,700.0000000000001,complier
46.2,3355.0,31.0,0,0,1870.24,199.99999999999977,never-taker
40.4,11502.0,153.0,1,0,5572.37,200.0,never-taker
41.5,5547.0,70.0,0,0,2562.2,200.0,never-taker
38.6,2483.0,256.0,1,1,2159.59,700.0000000000002,complier
35.6,1112.0,562.0,1,1,1933.87,700.0,complier
47.0,6053.0,176.0,1,0,3345.96,200.0,never-taker
39.2,4277.0,148.0,0,0,2772.56,200.0,never-taker
48.6,5577.0,361.0,1,1,3540.2,700.0,complier
45.2,2736.0,124.0,0,0,1428.38,200.0,never-taker
40.7,684.0,421.0,0,0,1240.31,700.0,complier
37.7,6919.0,138.0,0,0,3680.59,200.0,never-taker
39.1,6331.0,196.0,1,0,2974.58,200.0,never-taker
37.1,3805.0,308.0,0,0,2484.42,700.0,complier
50.3,2055.0,195.0,1,0,1951.92,200.0,never-taker
42.7,2390.0,81.0,1,0,1789.74,200.0,never-taker
46.6,4467.0,308.0,0,0,1831.53,699.9999999999998,complier
36.9,10599.0,264.0,0,0,4766.81,700.0,complier
42.7,5525.0,146.0,0,0,3139.97,200.0,never-taker
46.7,1933.0,43.0,0,0,1065.48,200.0,never-taker
40.7,1032.0,97.0,1,0,1460.24,200.0,never-taker
46.1,8159.0,481.0,0,0,4078.84,700.0,complier
37.7,3620.0,140.0,0,0,1844.29,200.0,never-taker
36.5,1763.0,140.0,0,0,605.35,200.0,never-taker
43.5,1970.0,243.0,0,0,760.97,700.0,complier
40.5,9785.0,228.0,1,0,5087.73,200.0,never-taker
44.6,15711.0,129.0,1,0,7006.75,200.0,never-taker
34.1,1653.0,450.0,1,1,2136.95,699.9999999999998,complier
44.8,4000.0,570.0,0,0,2051.2,700.0,complier
52.4,1016.0,246.0,0,0,992.1,199.9999999999999,never-taker
41.9,3855.0,276.0,1,0,2634.74,200.0,never-taker
42.1,4237.0,89.0,1,0,1937.69,200.0,never-taker
42.7,944.0,13.0,0,0,1236.3,200.0,never-taker
34.6,11045.0,247.0,0,0,5539.31,200.0,never-taker
43.7,6487.0,118.0,1,0,3436.58,200.0,never-taker
35.6,1017.0,524.0,1,1,1537.69,700.0,complier
40.3,9425.0,870.0,1,1,4688.110000000001,700.0000000000005,complier
47.0,1998.0,678.0,0,0,1535.45,699.9999999999998,complier
39.1,4546.0,303.0,0,0,2223.76,700.0,complier
44.0,4174.0,80.0,0,0,2443.98,200.0,never-taker
46.1,2298.0,16.0,1,0,1689.23,200.0,never-taker
43.1,3680.0,162.0,1,0,1967.93,200.00000000000023,never-taker
36.5,5967.0,115.0,1,0,2890.65,200.0,never-taker
40.7,13697.0,426.0,0,0,5741.01,700.0,complier
49.8,1183.0,161.0,1,0,1148.37,200.0,never-taker
33.9,2801.0,215.0,0,0,1360.28,699.9999999999998,complier
40.9,15458.0,615.0,1,1,7411.13,700.0,complier
39.8,2684.0,166.0,1,0,1790.49,200.0,never-taker
42.5,5130.0,336.0,0,0,2487.67,700.0,complier
45.0,4754.0,299.0,0,0,2143.55,700.0,complier
48.4,2831.0,485.0,0,0,1578.39,700.0000000000002,complier
40.9,6817.0,267.0,0,0,3745.09,200.0,never-taker
45.2,619.0,52.0,1,0,892.58,199.9999999999999,never-taker
44.0,15007.0,398.0,1,1,7661.12,700.0,complier
43.9,4025.0,133.0,1,0,2516.56,200.0,never-taker
39.7,837.0,377.0,1,1,1026.03,700.0,complier
38.0,6283.0,39.0,1,0,3356.88,200.0,never-taker
37.6,4246.0,91.0,0,0,2213.22,200.0,never-taker
39.0,558.0,623.0,0,0,333.99,700.0,complier
43.3,5261.0,198.0,1,0,2667.04,200.0,never-taker
45.0,2723.0,34.0,1,0,1360.02,200.0,never-taker
43.3,661.0,450.0,1,1,1575.83,699.9999999999999,complier
39.8,1145.0,246.0,1,0,1075.04,200.0,never-taker
49.2,2701.0,125.0,1,0,1275.05,200.0,never-taker
48.1,16087.0,113.0,0,0,6888.78,200.0,never-taker
40.6,15207.0,466.0,1,1,7389.11,700.0,complier
38.7,4926.0,273.0,0,0,2804.94,700.0,complier
42.5,10079.0,632.0,0,0,4598.07,700.0,complier
47.1,16890.0,160.0,1,0,7380.45,200.0,never-taker
43.3,788.0,715.0,0,0,1625.71,700.0,complier
44.2,4539.0,168.0,0,0,2663.96,200.0,never-taker
41.2,10608.0,375.0,0,0,4960.9,700.0,complier
43.8,9777.0,229.0,1,0,4604.08,200.0,never-taker
48.2,4524.0,72.0,1,0,1996.45,199.99999999999977,never-taker
41.0,2788.0,671.0,1,1,1491.45,700.0,complier
42.6,2283.0,487.0,0,0,1056.49,700.0,complier
43.0,7310.0,319.0,0,0,3631.55,700.0,complier
43.1,8515.0,493.0,0,0,4802.26,700.0,complier
36.4,1078.0,139.0,1,0,716.18,200.0,never-taker
34.5,1931.0,190.0,1,1,1886.15,700.0,complier
37.9,2228.0,59.0,0,0,861.56,200.0,never-taker
42.7,5711.0,134.0,0,0,2496.72,200.0,never-taker
44.2,2077.0,177.0,1,0,1442.29,200.0,never-taker
39.9,3891.0,452.0,1,1,3268.36,700.0,complier
47.5,9514.0,241.0,1,0,4964.89,200.0,never-taker
41.4,1639.0,513.0,1,1,2610.76,700.0000000000002,complier
42.1,3823.0,102.0,0,0,2031.61,199.99999999999977,never-taker
41.2,1792.0,5.0,0,0,1410.41,200.0,never-taker
42.5,5375.0,13.0,0,0,2566.54,200.0,never-taker
44.8,7331.0,13.0,0,0,2702.12,200.0,never-taker
44.7,1981.0,245.0,0,0,1635.49,200.0,never-taker
38.4,1419.0,158.0,0,0,1639.15,200.0,never-taker
48.1,5905.0,100.0,1,0,3371.65,200.0,never-taker
37.6,8695.0,229.0,0,0,3810.71,700.0,complier
42.3,2282.0,183.0,1,0,1419.65,200.0,never-taker
40.9,4702.0,171.0,0,0,2783.83,200.0,never-taker
37.8,2296.0,323.0,1,1,2682.96,700.0,complier
41.7,1673.0,151.0,0,0,1297.7,200.0,never-taker
39.0,2279.0,286.0,0,0,1138.57,700.0,complier
42.3,1174.0,417.0,1,1,2188.26,700.0000000000002,complier
43.6,1546.0,46.0,0,0,1298.54,200.0,never-taker
47.9,3811.0,122.0,0,0,2387.77,200.0,never-taker
43.2,6216.0,279.0,1,0,3398.46,200.0,never-taker
39.6,835.0,196.0,1,0,560.83,200.0,never-taker
40.4,2411.0,222.0,0,0,1586.48,200.0,never-taker
42.6,875.0,176.0,1,0,923.0,200.0,never-taker
42.4,6888.0,101.0,0,0,3567.08,200.0,never-taker
47.8,10548.0,127.0,1,0,4632.46,200.0,never-taker
47.6,7357.0,11.0,0,0,3294.44,200.0,never-taker
40.6,5382.0,107.0,1,0,1982.84,200.00000000000023,never-taker
39.8,1168.0,19.0,0,0,1245.46,200.0,never-taker
31.8,5936.0,234.0,1,0,2931.29,200.0,never-taker
39.8,12144.0,86.0,0,0,5465.4,200.0,never-taker
38.1,4175.0,368.0,0,0,1501.1,700.0,complier
40.6,652.0,254.0,1,1,1729.9,700.0,complier
43.6,895.0,76.0,0,0,398.43,200.00000000000006,never-taker
42.7,1410.0,360.0,0,0,1350.97,700.0000000000002,complier
41.9,845.0,411.0,0,0,766.6,699.9999999999999,complier
42.8,1088.0,170.0,0,0,903.68,199.9999999999999,never-taker
41.5,1049.0,80.0,0,0,1043.99,200.0,never-taker
42.8,4594.0,61.0,0,0,2304.1,200.0,never-taker
29.1,2893.0,162.0,0,0,1922.25,200.0,never-taker
40.9,3876.0,48.0,0,0,2414.97,200.0,never-taker
41.6,18413.0,57.0,1,0,8360.24,200.0,never-taker
40.6,2362.0,289.0,1,1,1821.09,700.0,complier
41.1,2816.0,249.0,1,0,1628.99,200.0,never-taker
44.8,4167.0,421.0,1,1,3142.59,700.0,complier
39.6,3766.0,218.0,0,0,1887.36,199.99999999999977,never-taker
50.8,4798.0,114.0,1,0,2525.66,200.0,never-taker
44.8,7058.0,195.0,1,0,4015.58,200.0,never-taker
42.0,15662.0,60.0,0,0,7396.78,200.0,never-taker
41.2,504.0,467.0,1,1,1175.87,699.9999999999999,complier
41.7,5353.0,226.0,1,1,2838.99,700.0,complier
38.3,5870.0,132.0,0,0,3311.92,200.0,never-taker
41.6,23537.0,217.0,1,0,10268.49,200.0,never-taker
43.1,5410.0,132.0,1,0,2224.23,200.0,never-taker
44.3,843.0,41.0,1,0,1053.46,200.0,never-taker
44.3,3064.0,82.0,0,0,2212.3,200.0,never-taker
40.9,6228.0,604.0,0,0,3401.74,700.0,complier
36.3,801.0,389.0,0,0,640.41,699.9999999999999,complier
39.3,818.0,59.0,0,0,949.34,200.0000000000001,never-taker
48.4,12107.0,28.0,0,0,5912.96,200.0,never-taker
45.6,968.0,284.0,0,0,649.51,700.0,complier
43.5,1044.0,211.0,0,0,965.01,200.0,never-taker
39.0,3855.0,85.0,1,0,1738.68,200.0,never-taker
42.0,2131.0,29.0,1,0,1086.24,200.0,never-taker
37.0,20581.0,31.0,0,0,8859.47,200.0,never-taker
39.8,2188.0,728.0,0,0,1206.49,700.0,complier
41.0,1595.0,112.0,1,0,1183.89,200.0,never-taker
40.6,3412.0,433.0,0,0,1593.21,700.0,complier
45.8,4853.0,582.0,1,1,3485.2,700.0,complier
36.3,12498.0,531.0,0,0,5393.79,700.0,complier
38.5,570.0,212.0,0,0,514.87,200.0,never-taker
36.5,636.0,363.0,0,0,1071.71,700.0,complier
37.1,554.0,423.0,0,0,1407.71,700.0,complier
42.5,1615.0,602.0,1,1,2299.6099999999997,699.9999999999998,complier
35.6,2376.0,61.0,0,0,1927.87,200.0,never-taker
45.0,6031.0,119.0,1,0,3373.68,200.0,never-taker
41.0,3194.0,318.0,1,1,2320.62,700.0,complier
42.3,2947.0,588.0,0,0,2533.3,700.0,complier
43.3,5110.0,341.0,0,0,2550.45,700.0,complier
40.3,12763.0,192.0,1,0,6311.95,200.0,never-taker
46.1,6474.0,142.0,1,0,3658.1,200.0,never-taker
41.2,1114.0,12.0,1,0,1578.15,200.0,never-taker
44.4,668.0,49.0,0,0,257.14,200.0,never-taker
41.2,848.0,323.0,0,0,1362.68,200.0,never-taker
43.2,2050.0,57.0,1,0,1039.0,200.0,never-taker
43.1,3182.0,377.0,1,1,2737.08,700.0,complier
43.0,6759.0,123.0,0,0,3166.74,200.0,never-taker
38.1,705.0,505.0,1,1,1604.9,700.0000000000001,complier
43.7,5354.0,57.0,1,0,2339.76,200.0,never-taker
40.7,3013.0,96.0,1,0,1162.73,200.0,never-taker
44.5,2022.0,233.0,1,0,1486.76,200.0,never-taker
33.4,8325.0,504.0,0,0,4371.06,700.0,complier
36.1,2741.0,258.0,0,0,2039.4,200.0,never-taker
43.5,860.0,426.0,0,0,1243.7,700.0,complier
49.5,9893.0,158.0,0,0,4688.36,200.0,never-taker
45.3,7112.0,428.0,1,1,3997.31,700.0,complier
39.3,8548.0,337.0,1,1,4318.13,700.0,complier
35.2,2640.0,348.0,0,0,1583.72,700.0000000000002,complier
45.0,2197.0,529.0,0,0,1348.7,699.9999999999998,complier
41.7,1714.0,422.0,0,0,1410.6,700.0,complier
44.4,1722.0,30.0,1,0,1960.19,200.0,never-taker
42.5,3886.0,195.0,0,0,1862.53,699.9999999999998,complier
42.1,4779.0,566.0,0,0,2570.41,700.0,complier
53.8,2300.0,397.0,0,0,1395.26,700.0000000000002,complier
42.0,10292.0,125.0,0,0,5017.63,200.0,never-taker
41.4,1344.0,121.0,0,0,1826.65,200.0,never-taker
41.5,893.0,624.0,1,1,1924.78,700.0,complier
39.7,5742.0,146.0,0,0,2828.13,200.0,never-taker
46.0,1521.0,96.0,1,0,982.36,200.0000000000001,never-taker
40.6,1962.0,110.0,1,0,1283.56,200.0,never-taker
44.5,2369.0,827.0,0,0,1606.31,700.0,complier
43.1,2669.0,29.0,0,0,1955.16,199.99999999999977,never-taker
46.9,7174.0,135.0,0,0,3792.14,200.0,never-taker
43.7,2403.0,285.0,1,0,1567.52,200.0,never-taker
37.1,818.0,365.0,0,0,1126.67,700.0,complier
36.7,3603.0,693.0,0,0,2653.63,700.0,complier
47.6,6256.0,222.0,0,0,2571.45,700.0,complier
39.6,880.0,199.0,0,0,864.98,200.0,never-taker
36.7,1515.0,174.0,0,0,954.72,700.0,complier
39.3,14698.0,563.0,0,0,6723.05,700.0,complier
47.1,13776.0,182.0,0,0,6092.38,200.0,never-taker
36.3,6458.0,235.0,0,0,3093.7,200.0,never-taker
38.5,7837.0,315.0,1,1,4552.8099999999995,699.9999999999995,complier
39.3,1117.0,170.0,0,0,1220.32,200.0,never-taker
37.0,726.0,424.0,1,1,1788.05,700.0,complier
37.3,1267.0,128.0,0,0,1370.09,200.0,never-taker
35.9,3183.0,380.0,1,1,2733.08,700.0,complier
40.2,2834.0,183.0,1,0,1577.16,200.0,never-taker
40.6,5114.0,355.0,1,1,2979.76,700.0,complier
39.3,13213.0,5.0,1,0,5407.36,200.0,never-taker
35.4,697.0,241.0,1,1,1212.53,700.0,complier
47.0,1679.0,95.0,1,0,1475.27,200.0,never-taker
36.7,10631.0,129.0,0,0,4965.99,200.0,never-taker
43.1,698.0,188.0,0,0,660.35,200.0,never-taker
37.7,2013.0,255.0,0,0,879.02,700.0,complier
44.7,5425.0,410.0,1,1,3384.6,700.0,complier
45.8,6218.0,572.0,0,0,2691.22,700.0,complier
38.5,2225.0,299.0,1,1,1804.8,700.0,complier
34.3,1077.0,20.0,0,0,1019.04,200.0,never-taker
44.8,1794.0,4.0,0,0,1218.92,200.0,never-taker
49.5,16844.0,173.0,1,0,7800.51,200.0,never-taker
43.7,660.0,208.0,0,0,1323.59,200.0,never-taker
42.6,18747.0,562.0,1,1,8413.21,699.9999999999991,complier
45.3,8923.0,270.0,0,0,3932.45,200.0,never-taker
45.1,681.0,866.0,1,1,1755.32,700.0,complier
38.7,7962.0,605.0,1,1,4371.96,700.0,complier
39.4,1586.0,2.0,1,0,1075.19,200.0,never-taker
44.4,1973.0,395.0,1,1,2379.05,700.0000000000002,complier
41.4,8050.0,4.0,0,0,4000.28,200.00000000000045,never-taker
47.3,4331.0,99.0,0,0,2833.85,200.0,never-taker
39.2,6249.0,607.0,1,1,3450.86,700.0,complier
45.0,1104.0,80.0,1,0,1343.67,200.0,never-taker
43.4,4403.0,334.0,0,0,1988.29,700.0,complier
41.5,16880.0,162.0,0,0,7435.08,200.0,never-taker
46.7,7080.0,590.0,0,0,3452.58,700.0,complier
44.7,6074.0,144.0,0,0,3002.75,200.0,never-taker
38.0,4482.0,86.0,0,0,2724.44,200.0,never-taker
44.6,6277.0,54.0,0,0,2820.68,200.0,never-taker
47.5,3069.0,169.0,1,0,2054.02,200.0,never-taker
41.5,4332.0,158.0,0,0,2545.08,200.0,never-taker
41.0,862.0,185.0,0,0,1079.82,200.0,never-taker
39.3,2222.0,439.0,0,0,973.89,699.9999999999999,complier
41.9,14485.0,217.0,1,0,6694.82,200.0,never-taker
44.7,1533.0,235.0,0,0,1562.95,200.0,never-taker
38.7,4904.0,15.0,1,0,2541.83,200.0,never-taker
36.6,1045.0,113.0,1,0,695.26,200.0,never-taker
40.5,4096.0,217.0,0,0,1898.73,200.0,never-taker
36.5,3040.0,2.0,1,0,1799.95,200.0,never-taker
44.1,947.0,510.0,1,1,2404.9300000000003,700.0000000000002,complier
40.3,876.0,435.0,0,0,778.08,699.9999999999999,complier
35.0,2207.0,121.0,1,0,1050.12,200.0,never-taker
40.6,2854.0,167.0,0,0,1750.58,200.0,never-taker
41.2,4621.0,60.0,1,0,2766.39,200.0,never-taker
43.8,6079.0,489.0,0,0,3406.44,700.0000000000005,complier
41.4,1159.0,143.0,0,0,831.08,199.9999999999999,never-taker
49.5,1770.0,4.0,0,0,1104.74,200.0,never-taker
39.9,6210.0,158.0,0,0,3290.52,200.0,never-taker
41.8,1646.0,31.0,0,0,1413.34,200.0,never-taker
41.6,3369.0,210.0,0,0,2243.8,200.0,never-taker
40.9,4505.0,294.0,1,0,2719.1,200.0,never-taker
42.6,2515.0,196.0,0,0,1562.38,200.0,never-taker
44.2,1820.0,610.0,0,0,1742.2,699.9999999999998,complier
47.4,15713.0,382.0,0,0,6805.26,700.0,complier
35.7,5076.0,97.0,1,0,2713.14,200.0,never-taker
40.0,626.0,47.0,1,0,828.31,200.0,never-taker
40.2,11598.0,88.0,0,0,5618.06,200.0,never-taker
45.8,2924.0,142.0,1,0,2247.86,200.0,never-taker
40.6,1373.0,188.0,0,0,1406.79,200.0,never-taker
34.4,1173.0,157.0,1,1,1018.3399999999999,700.0,complier
42.4,18929.0,245.0,0,0,7934.65,700.0,complier
41.9,3946.0,455.0,1,1,2862.99,700.0,complier
42.7,1294.0,219.0,0,0,1370.35,200.0,never-taker
37.8,2337.0,294.0,0,0,1637.6,700.0,complier
48.9,8762.0,12.0,0,0,4629.16,200.0,never-taker
40.7,6278.0,45.0,0,0,2732.71,200.0,never-taker
41.2,1395.0,23.0,1,0,1326.55,200.0,never-taker
38.4,1718.0,224.0,1,1,1857.52,700.0,complier
38.3,1942.0,201.0,1,0,973.69,200.0,never-taker
37.1,4040.0,206.0,1,1,2790.99,700.0,complier
40.4,659.0,41.0,0,0,517.95,200.0,never-taker
38.2,8056.0,240.0,1,1,3982.52,700.0,complier
50.2,6619.0,379.0,1,1,3931.72,700.0,complier
34.4,5096.0,394.0,0,0,2906.77,700.0,complier
37.5,3932.0,43.0,0,0,2639.65,200.0,never-taker
40.4,525.0,305.0,1,1,1610.5,700.0,complier
44.7,5470.0,322.0,1,0,3356.0,200.0,never-taker
40.3,4672.0,85.0,0,0,2075.82,200.0,never-taker
44.7,6508.0,15.0,0,0,2874.5,200.0,never-taker
38.1,13976.0,328.0,0,0,6201.61,700.0,complier
42.2,586.0,185.0,1,0,443.01,200.0,never-taker
49.0,3496.0,164.0,0,0,1751.66,200.0,never-taker
38.1,3322.0,92.0,1,0,1771.45,200.0,never-taker
43.7,612.0,370.0,1,1,1938.25,700.0,complier
42.8,2190.0,393.0,1,1,1731.31,700.0,complier
33.0,3127.0,65.0,0,0,2557.38,200.0,never-taker
39.6,523.0,14.0,1,0,1327.97,200.0,never-taker
46.5,1895.0,333.0,0,0,1339.58,700.0,complier
42.5,816.0,126.0,0,0,1250.11,200.0,never-taker
37.2,9355.0,11.0,0,0,3985.9,199.99999999999955,never-taker
44.8,4081.0,480.0,0,0,2425.4,700.0,complier
40.1,6102.0,20.0,1,0,2713.7,200.0,never-taker
43.4,6041.0,165.0,1,0,3524.53,200.0,never-taker
43.5,4729.0,113.0,0,0,2101.02,200.0,never-taker
37.5,4593.0,133.0,0,0,2439.93,200.0,never-taker
45.2,17040.0,98.0,1,0,7310.04,200.0,never-taker
38.0,1119.0,576.0,0,0,806.04,700.0,complier
36.8,11033.0,272.0,1,1,5585.29,700.0,complier
38.5,1300.0,257.0,1,0,1492.11,200.0,never-taker
40.6,1647.0,157.0,1,1,1142.42,700.0,complier
42.4,1406.0,428.0,1,1,2212.31,700.0,complier
38.9,2165.0,160.0,0,0,2231.3,200.0,never-taker
45.0,1067.0,399.0,0,0,716.98,700.0,complier
43.0,1187.0,415.0,1,1,2446.8199999999997,699.9999999999998,complier
39.2,13495.0,300.0,1,1,6622.05,700.0,complier
45.6,2499.0,235.0,1,1,2436.73,700.0,complier
46.6,7978.0,47.0,1,0,3429.85,200.0,never-taker
41.6,1350.0,62.0,0,0,666.71,200.0,never-taker
41.1,4919.0,461.0,0,0,2751.28,700.0,complier
34.9,2272.0,155.0,1,0,1441.39,200.0,never-taker
40.4,572.0,0.0,0,0,403.84,199.99999999999994,never-taker
40.8,2925.0,230.0,0,0,2028.84,200.00000000000023,never-taker
43.0,3887.0,212.0,0,0,1990.97,700.0000000000002,complier
41.3,6522.0,345.0,0,0,3064.57,700.0,complier
43.0,4714.0,16.0,0,0,3114.55,200.0,never-taker
48.1,2024.0,275.0,0,0,1503.99,200.0,never-taker
39.9,1588.0,196.0,1,0,1062.79,200.0,never-taker
40.0,4970.0,273.0,0,0,2192.53,700.0,complier
36.8,2039.0,69.0,1,0,1197.36,200.0,never-taker
42.0,6190.0,321.0,1,1,3534.56,700.0,complier
45.9,2932.0,280.0,1,1,2599.73,700.0,complier
35.0,4149.0,20.0,0,0,2827.93,200.0,never-taker
39.3,6621.0,184.0,0,0,2994.81,200.0,never-taker
42.1,796.0,648.0,1,1,1804.66,700.0,complier
45.4,3767.0,323.0,0,0,1765.3,700.0000000000002,complier
43.5,1829.0,415.0,0,0,1470.85,700.0,complier
43.3,8993.0,120.0,0,0,4198.92,200.0,never-taker
41.1,2015.0,68.0,0,0,1329.04,200.0,never-taker
43.9,7002.0,187.0,1,0,3745.4,200.0,never-taker
46.1,13462.0,110.0,1,0,6065.5,200.0,never-taker
35.2,1420.0,300.0,1,1,1170.57,700.0,complier
44.9,1340.0,774.0,0,0,982.48,700.0,complier
41.6,17343.0,99.0,1,0,7373.85,200.0,never-taker
39.9,4872.0,304.0,1,1,3129.85,700.0,complier
32.2,1114.0,83.0,1,0,1072.04,200.0,never-taker
36.5,1859.0,141.0,0,0,1064.93,200.0,never-taker
48.8,3078.0,492.0,1,1,2412.27,700.0,complier
39.2,6446.0,48.0,0,0,2794.96,200.0,never-taker
37.7,2878.0,359.0,0,0,1149.35,700.0,complier
40.2,7519.0,282.0,1,1,4839.35,700.0,complier
39.0,5962.0,175.0,1,0,2810.24,200.0,never-taker
42.5,1202.0,95.0,1,0,854.95,200.0,never-taker
48.1,3703.0,65.0,0,0,1337.02,200.0,never-taker
39.7,3679.0,23.0,0,0,2249.94,200.0,never-taker
42.6,4290.0,9.0,0,0,2041.66,199.99999999999977,never-taker
37.4,6594.0,146.0,1,0,3192.61,200.0,never-taker
48.1,984.0,182.0,0,0,1342.8,200.0,never-taker
42.8,5921.0,35.0,0,0,2696.67,200.0,never-taker
37.7,2575.0,124.0,1,0,1329.89,200.0,never-taker
45.6,9933.0,227.0,1,0,4552.58,200.0,never-taker
46.8,8081.0,56.0,0,0,4207.03,200.0,never-taker
42.6,653.0,16.0,1,0,1106.33,200.0,never-taker
35.4,3279.0,3.0,1,0,2052.22,200.0,never-taker
49.1,8818.0,15.0,0,0,3544.51,200.0,never-taker
43.2,604.0,237.0,1,1,1285.3200000000002,700.0000000000001,complier
46.7,7140.0,521.0,0,0,4036.13,700.0,complier
39.8,18763.0,59.0,1,0,8038.17,200.0,never-taker
40.4,848.0,350.0,1,1,1822.16,700.0,complier
42.4,4443.0,111.0,1,0,2888.36,200.0,never-taker
46.5,614.0,122.0,1,0,111.67,200.0,never-taker
42.6,7605.0,83.0,0,0,3984.83,200.0,never-taker
37.0,3102.0,150.0,1,0,1651.47,200.0,never-taker
43.0,2109.0,356.0,1,1,2400.8599999999997,699.9999999999998,complier
48.5,1917.0,335.0,1,1,2218.04,700.0,complier
42.3,19458.0,182.0,0,0,9037.59,200.0,never-taker
42.5,7092.0,327.0,0,0,3496.86,700.0000000000005,complier
36.9,1125.0,465.0,0,0,1362.27,700.0,complier
36.4,905.0,62.0,1,0,464.09,199.99999999999994,never-taker
39.4,7850.0,128.0,1,0,3390.69,200.0,never-taker
