wage,educ,exper,married,credit_score1,credit_score1_buckets,credit_limit,spend
910.0,12,4,1,267.0,200,1100.0,3067
740.0,13,10,1,500.0,400,5800.0,3269
1100.0,14,9,1,700.0,800,5100.0,3488
1540.0,12,19,1,500.0,400,3500.0,4253
720.0,16,7,1,800.0,800,4400.0,3071
2230.0,18,10,1,633.0,600,5300.0,4084
1020.0,12,13,1,733.0,800,7100.0,3310
1390.0,11,19,1,667.0,600,5400.0,4434
370.0,12,9,1,567.0,600,3900.0,2695
610.0,12,6,1,467.0,400,5100.0,2603
480.0,12,15,1,800.0,800,7000.0,2399
1210.0,12,13,1,567.0,600,7700.0,4439
1570.0,17,7,1,733.0,800,5100.0,3690
440.0,17,8,0,567.0,600,4400.0,1525
720.0,18,4,1,333.0,400,2600.0,2092
1190.0,16,13,1,633.0,600,6700.0,2549
1290.0,12,5,1,733.0,800,5500.0,3990
540.0,12,4,1,500.0,400,3200.0,2944
1200.0,13,21,1,567.0,600,4300.0,3746
1000.0,12,17,1,967.0,1000,7700.0,4347
950.0,18,1,1,967.0,1000,6300.0,2994
2790.0,18,6,1,600.0,600,5400.0,5310
790.0,15,16,1,700.0,800,5500.0,1968
1230.0,14,18,1,700.0,800,5600.0,3237
1340.0,11,19,1,1033.0,1000,6600.0,4367
1090.0,16,8,1,667.0,600,2200.0,2716
920.0,16,10,1,433.0,400,7100.0,2733
690.0,13,10,1,933.0,1000,7700.0,4254
1230.0,18,13,1,867.0,800,4900.0,3577
790.0,11,7,1,433.0,400,5500.0,3188
730.0,12,14,1,800.0,800,5900.0,3113
610.0,12,11,0,433.0,400,3800.0,1602
770.0,12,4,0,367.0,400,6500.0,2405
1040.0,12,17,0,467.0,400,5500.0,3623
1060.0,12,14,1,300.0,400,6400.0,3034
1010.0,12,10,1,700.0,800,4300.0,3924
570.0,12,7,0,767.0,800,6800.0,2612
710.0,13,9,1,733.0,800,4700.0,3637
870.0,12,11,1,467.0,400,3600.0,1972
950.0,10,13,1,567.0,600,6100.0,3125
810.0,12,6,1,633.0,600,7600.0,2606
1260.0,12,18,1,800.0,800,4200.0,3579
1010.0,16,7,1,867.0,800,4400.0,3065
680.0,12,17,1,800.0,800,6900.0,3651
930.0,13,12,1,567.0,600,5600.0,3753
760.0,12,7,0,600.0,600,6500.0,3388
1290.0,15,15,1,500.0,400,6400.0,3902
1240.0,9,18,1,500.0,400,5300.0,2785
980.0,13,15,1,900.0,800,7100.0,3872
440.0,12,16,1,500.0,400,5300.0,1935
290.0,10,11,1,667.0,600,4100.0,2585
1240.0,18,10,1,633.0,600,6000.0,2569
1100.0,10,15,1,467.0,400,1300.0,3032
1810.0,15,8,1,167.0,200,3300.0,3702
1930.0,16,16,1,467.0,400,4300.0,4194
930.0,16,9,0,567.0,600,5200.0,4121
1220.0,16,9,1,467.0,400,5200.0,4685
700.0,11,17,1,367.0,400,6500.0,3370
710.0,15,12,1,667.0,600,5700.0,3199
1040.0,12,4,1,400.0,400,4700.0,3305
1210.0,12,14,1,633.0,600,6800.0,2951
1440.0,16,15,1,633.0,600,5700.0,4077
2660.0,12,21,1,867.0,800,4600.0,5305
880.0,16,9,0,667.0,600,7100.0,3120
1490.0,17,7,1,167.0,200,3100.0,3922
750.0,12,13,1,167.0,200,1100.0,2517
620.0,12,11,1,800.0,800,6000.0,3376
1240.0,12,11,1,700.0,800,5300.0,3277
820.0,13,1,1,633.0,600,5100.0,4147
770.0,10,23,1,667.0,600,6300.0,2666
610.0,11,7,1,833.0,800,6800.0,3327
870.0,18,7,0,533.0,600,5600.0,3666
1000.0,13,4,1,233.0,200,3400.0,2680
1900.0,16,9,1,433.0,400,4300.0,4396
1150.0,12,11,1,700.0,800,5400.0,3495
500.0,12,10,0,567.0,600,5500.0,2249
1970.0,18,13,1,533.0,600,5500.0,4653
1060.0,10,19,1,900.0,800,7100.0,2071
1370.0,12,16,1,400.0,400,5100.0,3136
780.0,13,16,1,667.0,600,4100.0,3149
1280.0,16,10,1,467.0,400,5600.0,2827
710.0,18,6,1,333.0,400,5700.0,1962
1030.0,12,14,1,800.0,800,7800.0,4179
600.0,12,12,1,433.0,400,6500.0,3858
750.0,14,7,1,600.0,600,6900.0,3957
830.0,12,16,1,933.0,1000,7000.0,3910
900.0,16,10,1,767.0,800,5300.0,3181
2410.0,14,1,1,633.0,600,5600.0,4262
840.0,12,11,1,467.0,400,6300.0,3149
1050.0,16,9,1,733.0,800,6200.0,2610
1510.0,15,6,1,600.0,600,3600.0,3837
1330.0,16,11,1,333.0,400,4300.0,3346
1190.0,14,13,1,367.0,400,6400.0,4365
880.0,12,13,1,500.0,400,4000.0,2089
1030.0,10,14,1,400.0,400,4400.0,3613
830.0,17,7,1,500.0,400,6500.0,2535
1260.0,14,18,1,367.0,400,5800.0,3854
1070.0,12,12,1,500.0,400,2000.0,3077
780.0,11,10,1,67.0,0,300.0,2732
1460.0,16,11,1,767.0,800,5600.0,3102
740.0,17,12,1,433.0,400,9100.0,3896
370.0,16,7,1,533.0,600,6500.0,2468
1370.0,12,19,1,567.0,600,4700.0,2964
1080.0,18,8,1,833.0,800,7700.0,3746
820.0,12,11,1,400.0,400,3600.0,2933
730.0,14,9,1,767.0,800,5600.0,3236
1470.0,13,8,1,800.0,800,6000.0,3875
840.0,11,15,1,567.0,600,6800.0,3700
590.0,12,16,1,667.0,600,8100.0,2005
800.0,17,8,1,1067.0,1000,6800.0,4855
990.0,17,4,1,633.0,600,5400.0,2384
1820.0,17,10,1,633.0,600,5900.0,4161
780.0,12,17,1,567.0,600,4600.0,3315
380.0,15,6,0,500.0,400,3300.0,1367
1040.0,12,15,1,600.0,600,4200.0,4852
2190.0,16,12,1,767.0,800,5600.0,5484
880.0,12,11,1,467.0,400,4600.0,3442
790.0,12,13,1,900.0,800,3400.0,2417
760.0,16,8,0,733.0,800,4600.0,1552
660.0,13,8,1,500.0,400,5500.0,2186
560.0,10,11,0,700.0,800,4900.0,1738
1460.0,15,15,1,467.0,400,3600.0,3290
1190.0,11,15,1,733.0,800,7700.0,3652
1270.0,13,11,1,567.0,600,6700.0,3769
1490.0,16,9,1,467.0,400,5400.0,4257
650.0,12,12,1,967.0,1000,7100.0,3378
900.0,12,10,1,533.0,600,4900.0,2931
940.0,12,15,1,800.0,800,5500.0,3358
1420.0,12,17,1,800.0,800,8200.0,4830
560.0,15,8,1,900.0,800,6000.0,3184
550.0,13,20,1,533.0,600,5900.0,2691
1500.0,16,11,1,667.0,600,5300.0,4718
430.0,15,6,0,767.0,800,5700.0,2239
1980.0,11,22,1,567.0,600,7600.0,5050
1580.0,17,1,1,700.0,800,6200.0,2560
1030.0,16,9,1,867.0,800,7000.0,2770
1130.0,12,17,1,433.0,400,3600.0,3171
1180.0,15,13,1,767.0,800,6500.0,2358
620.0,12,18,1,300.0,400,2300.0,962
980.0,12,17,0,467.0,400,6100.0,3117
710.0,12,10,0,667.0,600,4800.0,2906
840.0,10,23,1,700.0,800,8100.0,4290
2030.0,18,13,1,933.0,1000,7400.0,5381
930.0,16,5,1,600.0,600,7400.0,2723
930.0,18,7,1,500.0,400,2100.0,2968
1090.0,15,8,1,433.0,400,2600.0,2543
1100.0,12,13,1,467.0,400,5700.0,3957
400.0,12,4,1,667.0,600,5700.0,2304
1030.0,11,16,1,367.0,400,3800.0,3431
740.0,15,14,1,733.0,800,6900.0,2764
710.0,12,20,1,533.0,600,7500.0,4044
980.0,12,16,1,867.0,800,7100.0,3182
1390.0,17,1,1,633.0,600,4200.0,3666
1330.0,12,13,1,833.0,800,7100.0,2975
1690.0,12,5,1,933.0,1000,7300.0,3941
490.0,10,12,1,533.0,600,6400.0,2806
990.0,12,6,0,600.0,600,5100.0,2360
750.0,12,8,0,433.0,400,2500.0,2133
670.0,12,18,1,767.0,800,6800.0,2971
860.0,11,16,1,700.0,800,5500.0,3082
670.0,12,13,1,533.0,600,5100.0,3341
1140.0,12,16,1,200.0,200,4200.0,3070
1240.0,13,20,1,533.0,600,7900.0,3266
630.0,11,17,1,667.0,600,4900.0,3407
960.0,11,19,1,500.0,400,2000.0,2913
620.0,13,8,1,833.0,800,7100.0,3156
1840.0,12,10,0,300.0,400,3200.0,4647
1330.0,18,14,1,700.0,800,6000.0,3728
1830.0,16,14,1,700.0,800,6200.0,4717
2340.0,13,8,1,433.0,400,6800.0,5253
680.0,16,8,0,1000.0,1000,7600.0,2778
1210.0,12,18,1,267.0,200,3000.0,2561
1630.0,18,10,1,500.0,400,2700.0,3515
1190.0,16,9,0,467.0,400,3200.0,2131
770.0,12,13,0,500.0,400,5200.0,1829
1140.0,12,16,1,733.0,800,5600.0,2585
1350.0,13,10,1,633.0,600,4300.0,3590
910.0,13,15,1,633.0,600,7400.0,3140
1200.0,14,9,1,533.0,600,3200.0,2823
1500.0,16,10,1,500.0,400,4100.0,2468
1560.0,16,9,0,367.0,400,2500.0,3511
1330.0,12,10,1,633.0,600,6200.0,4867
1090.0,12,11,1,600.0,600,3200.0,2821
1400.0,17,13,0,333.0,400,2000.0,2300
1210.0,13,13,1,467.0,400,4300.0,3813
1320.0,18,7,1,600.0,600,4600.0,3201
890.0,12,16,1,600.0,600,6500.0,2782
430.0,12,14,1,367.0,400,3500.0,1890
910.0,12,16,1,1000.0,1000,5800.0,4005
1130.0,12,13,1,467.0,400,3900.0,2970
1090.0,12,16,1,733.0,800,7400.0,2687
1880.0,16,8,1,467.0,400,3600.0,4136
1180.0,12,4,1,433.0,400,2900.0,3138
1040.0,16,7,1,433.0,400,3900.0,3656
780.0,12,17,1,533.0,600,6600.0,3133
1520.0,13,3,1,767.0,800,4100.0,3687
730.0,12,17,1,567.0,600,6600.0,3065
830.0,11,17,1,467.0,400,5200.0,3495
530.0,11,16,1,400.0,400,6000.0,3721
910.0,12,17,1,767.0,800,5800.0,3694
1150.0,12,11,1,600.0,600,7900.0,3783
910.0,16,8,0,667.0,600,5700.0,1834
960.0,13,14,1,733.0,800,3900.0,3123
900.0,12,16,1,567.0,600,5200.0,3094
1090.0,11,9,1,567.0,600,2600.0,3574
860.0,12,20,1,833.0,800,7000.0,3139
930.0,14,9,1,633.0,600,6400.0,4424
690.0,9,15,1,500.0,400,4800.0,2708
400.0,12,7,1,333.0,400,3800.0,2378
1650.0,18,7,1,533.0,600,4500.0,4352
640.0,12,8,1,567.0,600,7400.0,3755
1330.0,10,13,1,533.0,600,3600.0,3464
850.0,14,9,1,800.0,800,4400.0,2409
870.0,9,19,1,733.0,800,7600.0,3258
950.0,18,8,1,600.0,600,6800.0,4708
1270.0,12,16,1,700.0,800,7600.0,4024
580.0,10,20,1,467.0,400,6500.0,3166
1750.0,18,8,1,533.0,600,4600.0,4684
570.0,12,11,1,400.0,400,4500.0,2714
600.0,13,10,1,733.0,800,5600.0,2844
680.0,12,14,1,400.0,400,6300.0,4093
1290.0,14,16,1,633.0,600,6200.0,3716
1470.0,16,7,1,700.0,800,5500.0,4097
1170.0,15,8,1,867.0,800,7500.0,4338
890.0,18,8,1,400.0,400,6900.0,3697
1450.0,18,12,1,867.0,800,5300.0,4251
1110.0,13,11,1,633.0,600,4800.0,2707
1050.0,13,11,1,733.0,800,6900.0,4382
910.0,12,15,1,400.0,400,5700.0,3272
620.0,16,8,1,700.0,800,5300.0,3720
990.0,16,7,1,933.0,1000,7700.0,3544
350.0,12,9,1,667.0,600,5900.0,2422
1210.0,12,17,1,500.0,400,5900.0,2773
1400.0,15,15,1,567.0,600,6300.0,3709
610.0,9,15,1,733.0,800,6600.0,2787
810.0,12,16,1,633.0,600,6600.0,3418
530.0,12,4,1,367.0,400,5000.0,2559
650.0,18,6,1,333.0,400,5200.0,3893
700.0,12,6,1,667.0,600,4700.0,3109
1300.0,12,16,1,800.0,800,6700.0,3296
740.0,17,12,1,533.0,600,4500.0,3418
1000.0,18,8,1,667.0,600,2600.0,3625
1000.0,12,15,1,333.0,400,4900.0,4404
1450.0,12,12,1,900.0,800,5900.0,3483
1460.0,13,3,1,600.0,600,5000.0,3895
1130.0,12,20,1,833.0,800,5400.0,4242
530.0,12,15,1,433.0,400,5200.0,2034
1460.0,16,7,1,200.0,200,3300.0,3171
950.0,12,17,1,433.0,400,2400.0,2612
1350.0,13,13,1,600.0,600,6600.0,4239
830.0,12,15,1,600.0,600,5200.0,3357
810.0,14,7,1,733.0,800,2700.0,2150
1430.0,13,13,1,500.0,400,3300.0,4212
1000.0,17,8,1,633.0,600,6500.0,2925
830.0,12,17,1,467.0,400,4200.0,2642
790.0,16,10,0,500.0,400,4900.0,2846
730.0,10,14,1,400.0,400,4000.0,2987
870.0,12,16,1,467.0,400,5800.0,3937
1200.0,12,16,1,633.0,600,4400.0,3772
900.0,16,9,0,567.0,600,4100.0,2514
1000.0,16,11,1,467.0,400,6200.0,2209
950.0,14,8,1,500.0,400,2600.0,1988
1360.0,18,14,1,633.0,600,5000.0,3422
1390.0,12,11,0,367.0,400,4600.0,3371
750.0,12,7,1,500.0,400,6300.0,3900
1520.0,16,6,1,633.0,600,5900.0,3667
1380.0,14,10,1,733.0,800,4800.0,3787
700.0,12,12,1,533.0,600,4300.0,3423
1770.0,18,12,1,600.0,600,6600.0,3765
910.0,14,8,1,233.0,200,900.0,1970
840.0,13,14,1,500.0,400,6200.0,4255
920.0,10,13,1,567.0,600,6400.0,1971
700.0,12,12,1,600.0,600,5600.0,3493
1380.0,16,6,0,300.0,400,5200.0,2656
1670.0,12,16,1,733.0,800,6200.0,4622
1580.0,12,17,1,300.0,400,6400.0,3711
1080.0,12,16,1,867.0,800,6000.0,3633
930.0,12,6,0,667.0,600,5100.0,2445
1900.0,16,9,1,800.0,800,5900.0,4841
1540.0,17,8,1,533.0,600,5000.0,3759
890.0,15,1,1,667.0,600,6400.0,3097
1560.0,16,8,1,333.0,400,1600.0,3469
1020.0,13,11,1,667.0,600,2700.0,3022
1380.0,16,4,1,467.0,400,1500.0,3674
1160.0,14,6,1,433.0,400,4800.0,3189
1800.0,18,12,1,500.0,400,3600.0,3520
790.0,13,9,1,567.0,600,3400.0,2606
1270.0,13,10,1,367.0,400,5500.0,3432
650.0,17,8,0,467.0,400,3700.0,2853
1000.0,11,15,1,333.0,400,5900.0,4202
500.0,12,9,0,600.0,600,4900.0,1594
1600.0,12,15,1,400.0,400,2100.0,2725
1120.0,12,18,1,500.0,400,7300.0,3026
1650.0,16,12,1,867.0,800,5100.0,5121
1860.0,12,11,1,833.0,800,3900.0,3145
1250.0,12,17,1,833.0,800,6200.0,3994
980.0,10,15,1,700.0,800,6900.0,3243
890.0,11,16,1,533.0,600,4600.0,3032
1500.0,16,11,1,767.0,800,6900.0,4152
840.0,12,16,1,733.0,800,7500.0,3603
1470.0,12,19,1,567.0,600,5200.0,3835
600.0,14,9,1,700.0,800,6700.0,3330
440.0,12,21,1,567.0,600,7000.0,3337
1620.0,17,7,1,433.0,400,5200.0,4299
620.0,11,13,0,700.0,800,5700.0,1543
2610.0,12,21,1,800.0,800,7000.0,4828
730.0,12,16,1,667.0,600,7000.0,2715
710.0,13,9,1,700.0,800,5400.0,2972
1120.0,18,8,1,733.0,800,5800.0,4055
640.0,12,11,1,767.0,800,8200.0,3103
1090.0,12,17,1,667.0,600,5000.0,3266
870.0,12,9,1,867.0,800,5300.0,3759
960.0,12,17,1,600.0,600,4300.0,3258
2180.0,16,16,1,600.0,600,3200.0,3814
1040.0,16,7,1,400.0,400,4400.0,4380
1120.0,12,11,1,733.0,800,5400.0,3334
1030.0,12,17,1,500.0,400,4800.0,4396
840.0,11,16,1,567.0,600,6200.0,3063
1170.0,16,11,1,567.0,600,5500.0,2972
1000.0,12,15,1,567.0,600,5100.0,2904
840.0,12,11,1,600.0,600,8000.0,2584
440.0,12,16,1,467.0,400,4600.0,2531
1040.0,16,8,1,400.0,400,4000.0,4019
890.0,14,1,1,500.0,400,3700.0,3122
1720.0,15,9,0,667.0,600,7400.0,3150
1390.0,14,4,1,567.0,600,7000.0,3101
700.0,14,5,1,767.0,800,4800.0,4700
1190.0,18,11,1,733.0,800,5700.0,4213
640.0,9,15,1,867.0,800,5900.0,1855
550.0,12,5,1,400.0,400,4500.0,2881
460.0,10,7,1,467.0,400,3400.0,1687
580.0,16,8,1,933.0,1000,6300.0,3094
1600.0,12,16,1,400.0,400,5700.0,3711
710.0,18,8,0,800.0,800,7900.0,2708
490.0,12,13,1,67.0,0,1800.0,2875
1160.0,12,17,1,533.0,600,5300.0,3208
990.0,18,11,1,567.0,600,4800.0,3176
610.0,12,6,1,600.0,600,4000.0,2727
1050.0,16,6,1,333.0,400,4000.0,2565
860.0,10,17,1,767.0,800,6900.0,3988
440.0,12,12,1,767.0,800,4100.0,2380
860.0,12,13,1,800.0,800,6200.0,3613
1600.0,16,8,1,500.0,400,6800.0,4209
2200.0,13,8,1,533.0,600,1300.0,3825
1130.0,13,11,1,500.0,400,4700.0,3287
1550.0,16,15,1,533.0,600,6500.0,3160
870.0,12,15,1,900.0,800,3300.0,2949
1150.0,12,4,1,800.0,800,3800.0,3331
1530.0,17,15,1,600.0,600,5000.0,4187
550.0,16,6,1,567.0,600,4200.0,2325
750.0,12,7,1,733.0,800,6600.0,2930
1170.0,11,17,0,467.0,400,6200.0,2264
1060.0,14,16,1,333.0,400,6600.0,2788
1230.0,13,16,1,633.0,600,3700.0,4485
1130.0,11,15,1,700.0,800,5200.0,2801
790.0,16,10,1,567.0,600,7500.0,1441
960.0,15,4,0,567.0,600,2800.0,3505
1790.0,14,15,1,733.0,800,6700.0,4155
990.0,12,11,1,700.0,800,4600.0,3528
1430.0,16,8,1,467.0,400,3300.0,4185
920.0,12,16,1,467.0,400,3900.0,2120
1710.0,15,14,1,700.0,800,5700.0,4228
1500.0,17,7,1,733.0,800,5000.0,3801
1270.0,13,13,1,500.0,400,7300.0,3515
670.0,15,8,1,600.0,600,6300.0,3570
1490.0,18,14,1,933.0,1000,7700.0,3617
1880.0,16,9,1,433.0,400,3000.0,3594
1450.0,16,14,1,567.0,600,5400.0,4388
660.0,12,16,1,733.0,800,6000.0,2031
1370.0,12,17,1,733.0,800,6500.0,2865
510.0,12,9,1,533.0,600,7000.0,2779
1350.0,13,11,1,433.0,400,4400.0,3578
940.0,12,18,1,833.0,800,7700.0,3618
1290.0,16,11,1,500.0,400,6200.0,4009
840.0,13,9,1,833.0,800,5700.0,3086
1230.0,12,12,1,767.0,800,5600.0,3513
800.0,14,6,0,733.0,800,5100.0,2752
1080.0,16,6,1,733.0,800,5000.0,3665
860.0,10,17,1,600.0,600,5100.0,2767
1200.0,12,14,1,433.0,400,4800.0,2935
750.0,10,23,1,333.0,400,6100.0,2918
720.0,12,18,0,800.0,800,6600.0,3367
1160.0,12,4,1,367.0,400,3000.0,2373
700.0,10,13,0,700.0,800,5700.0,1947
700.0,13,4,1,600.0,600,7900.0,3619
760.0,14,5,1,733.0,800,4100.0,2514
1070.0,11,16,1,567.0,600,6900.0,4428
2300.0,15,9,1,600.0,600,6300.0,5450
570.0,10,20,1,600.0,600,3800.0,3320
1190.0,16,13,0,667.0,600,5700.0,2866
1120.0,12,19,1,367.0,400,5600.0,3604
1550.0,12,19,1,800.0,800,7500.0,4414
1140.0,12,11,1,633.0,600,7200.0,3543
1380.0,16,9,1,867.0,800,6700.0,3877
1680.0,14,16,1,367.0,400,5600.0,3223
880.0,12,14,1,933.0,1000,6500.0,3561
1200.0,13,10,1,600.0,600,3100.0,2545
1300.0,12,18,1,567.0,600,2900.0,3754
1090.0,12,17,1,467.0,400,2900.0,3482
1550.0,18,14,1,500.0,400,8100.0,4087
1410.0,16,14,1,400.0,400,5100.0,3956
1430.0,16,10,0,633.0,600,6600.0,3057
430.0,10,7,1,500.0,400,1300.0,2238
1250.0,11,12,1,467.0,400,6300.0,3535
1040.0,16,9,1,667.0,600,3000.0,2603
1090.0,16,13,0,600.0,600,7700.0,2652
750.0,13,9,1,267.0,200,2600.0,2712
440.0,10,12,1,633.0,600,4500.0,2092
1060.0,16,12,1,967.0,1000,5700.0,3843
760.0,12,16,1,700.0,800,4500.0,3050
1910.0,18,12,1,833.0,800,6600.0,4285
660.0,10,12,1,733.0,800,7500.0,2944
560.0,15,8,1,667.0,600,3100.0,4095
630.0,13,10,0,600.0,600,5300.0,3243
930.0,16,8,0,533.0,600,5100.0,3199
1100.0,13,11,1,233.0,200,5100.0,4317
1060.0,16,4,1,567.0,600,5200.0,3592
1580.0,12,14,1,433.0,400,6500.0,3998
680.0,12,11,1,733.0,800,6200.0,3050
1100.0,12,16,1,533.0,600,8300.0,5063
680.0,13,8,0,667.0,600,6100.0,2425
780.0,12,4,1,767.0,800,7700.0,3312
1680.0,17,7,1,567.0,600,5100.0,3251
570.0,16,8,1,300.0,400,5200.0,2735
710.0,10,20,1,567.0,600,2900.0,2876
990.0,9,17,1,567.0,600,5100.0,4377
510.0,14,10,1,800.0,800,6400.0,4897
840.0,16,10,1,433.0,400,3100.0,3025
820.0,13,10,1,700.0,800,6400.0,3295
420.0,14,4,1,333.0,400,3500.0,1873
940.0,16,10,0,733.0,800,4400.0,1335
1440.0,16,8,1,900.0,800,5600.0,4703
1020.0,16,11,1,600.0,600,6400.0,4046
1180.0,12,16,1,533.0,600,6700.0,3168
770.0,12,13,1,567.0,600,7600.0,2625
960.0,12,16,1,533.0,600,6800.0,3755
950.0,12,19,1,767.0,800,7000.0,3212
1070.0,13,13,1,867.0,800,4700.0,2614
1390.0,16,10,1,467.0,400,4900.0,4336
820.0,18,11,1,433.0,400,2200.0,2335
790.0,12,17,1,533.0,600,6000.0,3363
1410.0,15,6,1,400.0,400,3200.0,3785
1650.0,12,15,1,633.0,600,2500.0,3019
880.0,10,21,1,567.0,600,4100.0,3247
1040.0,12,16,1,533.0,600,6200.0,2664
1190.0,12,17,1,567.0,600,3800.0,3768
670.0,12,18,0,500.0,400,3600.0,2438
1850.0,18,12,1,400.0,400,3800.0,4805
840.0,12,4,1,833.0,800,4200.0,3084
970.0,12,19,1,633.0,600,4500.0,2926
1460.0,18,12,1,533.0,600,4400.0,3214
1330.0,18,7,1,633.0,600,4900.0,2694
570.0,12,12,0,700.0,800,6600.0,3549
840.0,12,13,1,667.0,600,6300.0,2163
1060.0,14,16,1,433.0,400,3400.0,3802
1390.0,17,9,1,667.0,600,4700.0,3853
