date,city,region,cohort,treated,tau,downloads,post
2021-07-02,1,W,2021-06-20,1,3.231684594779068,42.0,1
2021-07-03,1,W,2021-06-20,1,3.231684594779068,42.0,1
2021-07-04,1,W,2021-06-20,1,3.231684594779068,43.0,1
2021-07-05,1,W,2021-06-20,1,3.231684594779068,43.0,1
2021-07-06,1,W,2021-06-20,1,3.231684594779068,44.0,1
2021-07-07,1,W,2021-06-20,1,3.231684594779068,44.0,1
2021-07-08,1,W,2021-06-20,1,3.231684594779068,44.0,1
2021-07-09,1,W,2021-06-20,1,3.231684594779068,45.0,1
2021-07-10,1,W,2021-06-20,1,3.231684594779068,42.0,1
2021-07-11,1,W,2021-06-20,1,3.231684594779068,44.0,1
2021-07-12,1,W,2021-06-20,1,3.231684594779068,44.0,1
2021-07-13,1,W,2021-06-20,1,3.231684594779068,45.0,1
2021-07-14,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-15,1,W,2021-06-20,1,3.231684594779068,44.0,1
2021-07-16,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-17,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-18,1,W,2021-06-20,1,3.231684594779068,45.0,1
2021-07-19,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-20,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-21,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-22,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-23,1,W,2021-06-20,1,3.231684594779068,47.0,1
2021-07-24,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-25,1,W,2021-06-20,1,3.231684594779068,46.0,1
2021-07-26,1,W,2021-06-20,1,3.231684594779068,48.0,1
2021-07-27,1,W,2021-06-20,1,3.231684594779068,48.0,1
2021-07-28,1,W,2021-06-20,1,3.231684594779068,47.0,1
2021-07-29,1,W,2021-06-20,1,3.231684594779068,48.0,1
2021-07-30,1,W,2021-06-20,1,3.231684594779068,48.0,1
2021-07-31,1,W,2021-06-20,1,3.231684594779068,48.0,1
2021-05-01,2,N,2100-01-01,0,0.0,40.0,0
2021-05-02,2,N,2100-01-01,0,0.0,39.0,0
2021-05-03,2,N,2100-01-01,0,0.0,40.0,0
2021-05-04,2,N,2100-01-01,0,0.0,40.0,0
2021-05-05,2,N,2100-01-01,0,0.0,39.0,0
2021-05-06,2,N,2100-01-01,0,0.0,42.0,0
2021-05-07,2,N,2100-01-01,0,0.0,41.0,0
2021-05-08,2,N,2100-01-01,0,0.0,40.0,0
2021-05-09,2,N,2100-01-01,0,0.0,40.0,0
2021-05-10,2,N,2100-01-01,0,0.0,41.0,0
2021-05-11,2,N,2100-01-01,0,0.0,41.0,0
2021-05-12,2,N,2100-01-01,0,0.0,41.0,0
2021-05-13,2,N,2100-01-01,0,0.0,40.0,0
2021-05-14,2,N,2100-01-01,0,0.0,40.0,0
2021-05-15,2,N,2100-01-01,0,0.0,41.0,0
2021-05-16,2,N,2100-01-01,0,0.0,40.0,0
2021-05-17,2,N,2100-01-01,0,0.0,43.0,0
2021-05-18,2,N,2100-01-01,0,0.0,41.0,0
2021-05-19,2,N,2100-01-01,0,0.0,42.0,0
2021-05-20,2,N,2100-01-01,0,0.0,43.0,0
2021-05-21,2,N,2100-01-01,0,0.0,41.0,0
2021-05-22,2,N,2100-01-01,0,0.0,40.0,0
2021-05-23,2,N,2100-01-01,0,0.0,42.0,0
2021-05-24,2,N,2100-01-01,0,0.0,41.0,0
2021-05-25,2,N,2100-01-01,0,0.0,42.0,0
2021-05-26,2,N,2100-01-01,0,0.0,43.0,0
2021-05-27,2,N,2100-01-01,0,0.0,42.0,0
2021-05-28,2,N,2100-01-01,0,0.0,42.0,0
2021-05-29,2,N,2100-01-01,0,0.0,42.0,0
2021-05-30,2,N,2100-01-01,0,0.0,42.0,0
2021-05-31,2,N,2100-01-01,0,0.0,41.0,0
2021-06-01,2,N,2100-01-01,0,0.0,43.0,0
2021-06-02,2,N,2100-01-01,0,0.0,44.0,0
2021-06-03,2,N,2100-01-01,0,0.0,43.0,0
2021-06-04,2,N,2100-01-01,0,0.0,44.0,0
2021-06-05,2,N,2100-01-01,0,0.0,42.0,0
2021-06-06,2,N,2100-01-01,0,0.0,44.0,0
2021-06-07,2,N,2100-01-01,0,0.0,45.0,0
2021-06-08,2,N,2100-01-01,0,0.0,43.0,0
2021-06-09,2,N,2100-01-01,0,0.0,43.0,0
2021-06-10,2,N,2100-01-01,0,0.0,43.0,0
2021-06-11,2,N,2100-01-01,0,0.0,42.0,0
2021-06-12,2,N,2100-01-01,0,0.0,43.0,0
2021-06-13,2,N,2100-01-01,0,0.0,44.0,0
2021-06-14,2,N,2100-01-01,0,0.0,44.0,0
2021-06-15,2,N,2100-01-01,0,0.0,44.0,0
2021-06-16,2,N,2100-01-01,0,0.0,44.0,0
2021-06-17,2,N,2100-01-01,0,0.0,45.0,0
2021-06-18,2,N,2100-01-01,0,0.0,45.0,0
2021-06-19,2,N,2100-01-01,0,0.0,44.0,0
2021-06-20,2,N,2100-01-01,0,0.0,44.0,0
2021-06-21,2,N,2100-01-01,0,0.0,45.0,0
2021-06-22,2,N,2100-01-01,0,0.0,45.0,0
2021-06-23,2,N,2100-01-01,0,0.0,45.0,0
2021-06-24,2,N,2100-01-01,0,0.0,46.0,0
2021-06-25,2,N,2100-01-01,0,0.0,45.0,0
2021-06-26,2,N,2100-01-01,0,0.0,45.0,0
2021-06-27,2,N,2100-01-01,0,0.0,45.0,0
2021-06-28,2,N,2100-01-01,0,0.0,45.0,0
2021-06-29,2,N,2100-01-01,0,0.0,44.0,0
2021-06-30,2,N,2100-01-01,0,0.0,44.0,0
2021-07-01,2,N,2100-01-01,0,0.0,46.0,0
2021-07-02,2,N,2100-01-01,0,0.0,44.0,0
2021-07-03,2,N,2100-01-01,0,0.0,46.0,0
2021-07-04,2,N,2100-01-01,0,0.0,44.0,0
2021-07-05,2,N,2100-01-01,0,0.0,46.0,0
2021-07-06,2,N,2100-01-01,0,0.0,48.0,0
2021-07-07,2,N,2100-01-01,0,0.0,47.0,0
2021-07-08,2,N,2100-01-01,0,0.0,46.0,0
2021-07-09,2,N,2100-01-01,0,0.0,47.0,0
2021-07-10,2,N,2100-01-01,0,0.0,45.0,0
2021-07-11,2,N,2100-01-01,0,0.0,45.0,0
2021-07-12,2,N,2100-01-01,0,0.0,47.0,0
2021-07-13,2,N,2100-01-01,0,0.0,47.0,0
2021-07-14,2,N,2100-01-01,0,0.0,47.0,0
2021-07-15,2,N,2100-01-01,0,0.0,47.0,0
2021-07-16,2,N,2100-01-01,0,0.0,47.0,0
2021-07-17,2,N,2100-01-01,0,0.0,46.0,0
2021-07-18,2,N,2100-01-01,0,0.0,48.0,0
2021-07-19,2,N,2100-01-01,0,0.0,49.0,0
2021-07-20,2,N,2100-01-01,0,0.0,48.0,0
2021-07-21,2,N,2100-01-01,0,0.0,47.0,0
2021-07-22,2,N,2100-01-01,0,0.0,48.0,0
2021-07-23,2,N,2100-01-01,0,0.0,48.0,0
2021-07-24,2,N,2100-01-01,0,0.0,47.0,0
2021-07-25,2,N,2100-01-01,0,0.0,47.0,0
2021-07-26,2,N,2100-01-01,0,0.0,49.0,0
2021-07-27,2,N,2100-01-01,0,0.0,49.0,0
2021-07-28,2,N,2100-01-01,0,0.0,46.0,0
2021-07-29,2,N,2100-01-01,0,0.0,48.0,0
2021-07-30,2,N,2100-01-01,0,0.0,47.0,0
2021-07-31,2,N,2100-01-01,0,0.0,49.0,0
2021-05-01,3,W,2021-06-20,1,0.0,30.0,0
2021-05-02,3,W,2021-06-20,1,0.0,30.0,0
2021-05-03,3,W,2021-06-20,1,0.0,32.0,0
2021-05-04,3,W,2021-06-20,1,0.0,29.0,0
2021-05-05,3,W,2021-06-20,1,0.0,32.0,0
2021-05-06,3,W,2021-06-20,1,0.0,33.0,0
2021-05-07,3,W,2021-06-20,1,0.0,31.0,0
2021-05-08,3,W,2021-06-20,1,0.0,32.0,0
2021-05-09,3,W,2021-06-20,1,0.0,31.0,0
2021-05-10,3,W,2021-06-20,1,0.0,33.0,0
2021-05-11,3,W,2021-06-20,1,0.0,33.0,0
2021-05-12,3,W,2021-06-20,1,0.0,32.0,0
2021-05-13,3,W,2021-06-20,1,0.0,32.0,0
2021-05-14,3,W,2021-06-20,1,0.0,32.0,0
2021-05-15,3,W,2021-06-20,1,0.0,32.0,0
2021-05-16,3,W,2021-06-20,1,0.0,32.0,0
2021-05-17,3,W,2021-06-20,1,0.0,34.0,0
2021-05-18,3,W,2021-06-20,1,0.0,34.0,0
2021-05-19,3,W,2021-06-20,1,0.0,32.0,0
2021-05-20,3,W,2021-06-20,1,0.0,34.0,0
2021-05-21,3,W,2021-06-20,1,0.0,35.0,0
2021-05-22,3,W,2021-06-20,1,0.0,35.0,0
2021-05-23,3,W,2021-06-20,1,0.0,33.0,0
2021-05-24,3,W,2021-06-20,1,0.0,35.0,0
2021-05-25,3,W,2021-06-20,1,0.0,35.0,0
2021-05-26,3,W,2021-06-20,1,0.0,35.0,0
2021-05-27,3,W,2021-06-20,1,0.0,34.0,0
2021-05-28,3,W,2021-06-20,1,0.0,34.0,0
2021-05-29,3,W,2021-06-20,1,0.0,35.0,0
2021-05-30,3,W,2021-06-20,1,0.0,35.0,0
2021-05-31,3,W,2021-06-20,1,0.0,37.0,0
2021-06-01,3,W,2021-06-20,1,0.0,37.0,0
2021-06-02,3,W,2021-06-20,1,0.0,36.0,0
2021-06-03,3,W,2021-06-20,1,0.0,36.0,0
2021-06-04,3,W,2021-06-20,1,0.0,37.0,0
2021-06-05,3,W,2021-06-20,1,0.0,35.0,0
2021-06-06,3,W,2021-06-20,1,0.0,37.0,0
2021-06-07,3,W,2021-06-20,1,0.0,36.0,0
2021-06-08,3,W,2021-06-20,1,0.0,38.0,0
2021-06-09,3,W,2021-06-20,1,0.0,39.0,0
2021-06-10,3,W,2021-06-20,1,0.0,37.0,0
2021-06-11,3,W,2021-06-20,1,0.0,38.0,0
2021-06-12,3,W,2021-06-20,1,0.0,39.0,0
2021-06-13,3,W,2021-06-20,1,0.0,37.0,0
2021-06-14,3,W,2021-06-20,1,0.0,38.0,0
2021-06-15,3,W,2021-06-20,1,0.0,39.0,0
2021-06-16,3,W,2021-06-20,1,0.0,40.0,0
2021-06-17,3,W,2021-06-20,1,0.0,40.0,0
2021-06-18,3,W,2021-06-20,1,0.0,41.0,0
2021-06-19,3,W,2021-06-20,1,0.0,41.0,0
2021-06-20,3,W,2021-06-20,1,0.0,40.0,1
2021-06-21,3,W,2021-06-20,1,0.24204705939574467,40.0,1
2021-06-22,3,W,2021-06-20,1,0.48409411879148223,41.0,1
2021-06-23,3,W,2021-06-20,1,0.7261411781872269,41.0,1
2021-06-24,3,W,2021-06-20,1,0.9681882375829645,43.0,1
2021-06-25,3,W,2021-06-20,1,1.2102352969787091,42.0,1
2021-06-26,3,W,2021-06-20,1,1.2102352969787091,43.0,1
2021-06-27,3,W,2021-06-20,1,1.2102352969787091,43.0,1
2021-06-28,3,W,2021-06-20,1,1.2102352969787091,42.0,1
2021-06-29,3,W,2021-06-20,1,1.2102352969787091,42.0,1
2021-06-30,3,W,2021-06-20,1,1.2102352969787091,43.0,1
2021-07-01,3,W,2021-06-20,1,1.2102352969787091,43.0,1
2021-07-02,3,W,2021-06-20,1,1.2102352969787091,43.0,1
2021-07-03,3,W,2021-06-20,1,1.2102352969787091,42.0,1
2021-07-04,3,W,2021-06-20,1,1.2102352969787091,43.0,1
2021-07-05,3,W,2021-06-20,1,1.2102352969787091,44.0,1
2021-07-06,3,W,2021-06-20,1,1.2102352969787091,46.0,1
2021-07-07,3,W,2021-06-20,1,1.2102352969787091,45.0,1
2021-07-08,3,W,2021-06-20,1,1.2102352969787091,45.0,1
2021-07-09,3,W,2021-06-20,1,1.2102352969787091,44.0,1
2021-07-10,3,W,2021-06-20,1,1.2102352969787091,42.0,1
2021-07-11,3,W,2021-06-20,1,1.2102352969787091,45.0,1
2021-07-12,3,W,2021-06-20,1,1.2102352969787091,47.0,1
2021-07-13,3,W,2021-06-20,1,1.2102352969787091,46.0,1
2021-07-14,3,W,2021-06-20,1,1.2102352969787091,45.0,1
2021-07-15,3,W,2021-06-20,1,1.2102352969787091,46.0,1
2021-07-16,3,W,2021-06-20,1,1.2102352969787091,46.0,1
2021-07-17,3,W,2021-06-20,1,1.2102352969787091,46.0,1
2021-07-18,3,W,2021-06-20,1,1.2102352969787091,47.0,1
2021-07-19,3,W,2021-06-20,1,1.2102352969787091,47.0,1
2021-07-20,3,W,2021-06-20,1,1.2102352969787091,47.0,1
2021-07-21,3,W,2021-06-20,1,1.2102352969787091,48.0,1
2021-07-22,3,W,2021-06-20,1,1.2102352969787091,46.0,1
2021-07-23,3,W,2021-06-20,1,1.2102352969787091,48.0,1
2021-07-24,3,W,2021-06-20,1,1.2102352969787091,47.0,1
2021-07-25,3,W,2021-06-20,1,1.2102352969787091,47.0,1
2021-07-26,3,W,2021-06-20,1,1.2102352969787091,49.0,1
2021-07-27,3,W,2021-06-20,1,1.2102352969787091,50.0,1
2021-07-28,3,W,2021-06-20,1,1.2102352969787091,49.0,1
2021-07-29,3,W,2021-06-20,1,1.2102352969787091,50.0,1
2021-07-30,3,W,2021-06-20,1,1.2102352969787091,47.0,1
2021-07-31,3,W,2021-06-20,1,1.2102352969787091,48.0,1
2021-05-01,4,W,2021-06-04,1,0.0,26.0,0
2021-05-02,4,W,2021-06-04,1,0.0,27.0,0
2021-05-03,4,W,2021-06-04,1,0.0,28.0,0
2021-05-04,4,W,2021-06-04,1,0.0,27.0,0
2021-05-05,4,W,2021-06-04,1,0.0,27.0,0
2021-05-06,4,W,2021-06-04,1,0.0,28.0,0
2021-05-07,4,W,2021-06-04,1,0.0,28.0,0
2021-05-08,4,W,2021-06-04,1,0.0,26.0,0
2021-05-09,4,W,2021-06-04,1,0.0,27.0,0
2021-05-10,4,W,2021-06-04,1,0.0,28.0,0
2021-05-11,4,W,2021-06-04,1,0.0,29.0,0
2021-05-12,4,W,2021-06-04,1,0.0,30.0,0
2021-05-13,4,W,2021-06-04,1,0.0,29.0,0
2021-05-14,4,W,2021-06-04,1,0.0,28.0,0
2021-05-15,4,W,2021-06-04,1,0.0,29.0,0
2021-05-16,4,W,2021-06-04,1,0.0,28.0,0
2021-05-17,4,W,2021-06-04,1,0.0,31.0,0
2021-05-18,4,W,2021-06-04,1,0.0,30.0,0
2021-05-19,4,W,2021-06-04,1,0.0,31.0,0
2021-05-20,4,W,2021-06-04,1,0.0,31.0,0
2021-05-21,4,W,2021-06-04,1,0.0,30.0,0
2021-05-22,4,W,2021-06-04,1,0.0,31.0,0
2021-05-23,4,W,2021-06-04,1,0.0,31.0,0
2021-05-24,4,W,2021-06-04,1,0.0,31.0,0
2021-05-25,4,W,2021-06-04,1,0.0,32.0,0
2021-05-26,4,W,2021-06-04,1,0.0,33.0,0
2021-05-27,4,W,2021-06-04,1,0.0,32.0,0
2021-05-28,4,W,2021-06-04,1,0.0,32.0,0
2021-05-29,4,W,2021-06-04,1,0.0,32.0,0
2021-05-30,4,W,2021-06-04,1,0.0,32.0,0
2021-05-31,4,W,2021-06-04,1,0.0,32.0,0
2021-06-01,4,W,2021-06-04,1,0.0,32.0,0
2021-06-02,4,W,2021-06-04,1,0.0,34.0,0
2021-06-03,4,W,2021-06-04,1,0.0,33.0,0
2021-06-04,4,W,2021-06-04,1,0.0,33.0,1
2021-06-05,4,W,2021-06-04,1,0.18198019506831997,34.0,1
2021-06-06,4,W,2021-06-04,1,0.36396039013663994,35.0,1
2021-06-07,4,W,2021-06-04,1,0.5459405852049599,35.0,1
2021-06-08,4,W,2021-06-04,1,0.7279207802732799,36.0,1
2021-06-09,4,W,2021-06-04,1,0.9099009753415999,37.0,1
2021-06-10,4,W,2021-06-04,1,0.9099009753415999,36.0,1
2021-06-11,4,W,2021-06-04,1,0.9099009753415999,34.0,1
2021-06-12,4,W,2021-06-04,1,0.9099009753415999,34.0,1
2021-06-13,4,W,2021-06-04,1,0.9099009753415999,36.0,1
2021-06-14,4,W,2021-06-04,1,0.9099009753415999,37.0,1
2021-06-15,4,W,2021-06-04,1,0.9099009753415999,38.0,1
2021-06-16,4,W,2021-06-04,1,0.9099009753415999,36.0,1
2021-06-17,4,W,2021-06-04,1,0.9099009753415999,37.0,1
2021-06-18,4,W,2021-06-04,1,0.9099009753415999,36.0,1
2021-06-19,4,W,2021-06-04,1,0.9099009753415999,37.0,1
2021-06-20,4,W,2021-06-04,1,0.9099009753415999,38.0,1
2021-06-21,4,W,2021-06-04,1,0.9099009753415999,38.0,1
2021-06-22,4,W,2021-06-04,1,0.9099009753415999,39.0,1
2021-06-23,4,W,2021-06-04,1,0.9099009753415999,38.0,1
2021-06-24,4,W,2021-06-04,1,0.9099009753415999,38.0,1
2021-06-25,4,W,2021-06-04,1,0.9099009753415999,39.0,1
2021-06-26,4,W,2021-06-04,1,0.9099009753415999,38.0,1
2021-06-27,4,W,2021-06-04,1,0.9099009753415999,39.0,1
2021-06-28,4,W,2021-06-04,1,0.9099009753415999,40.0,1
2021-06-29,4,W,2021-06-04,1,0.9099009753415999,41.0,1
2021-06-30,4,W,2021-06-04,1,0.9099009753415999,39.0,1
2021-07-01,4,W,2021-06-04,1,0.9099009753415999,38.0,1
2021-07-02,4,W,2021-06-04,1,0.9099009753415999,39.0,1
2021-07-03,4,W,2021-06-04,1,0.9099009753415999,40.0,1
2021-07-04,4,W,2021-06-04,1,0.9099009753415999,40.0,1
2021-07-05,4,W,2021-06-04,1,0.9099009753415999,41.0,1
2021-07-06,4,W,2021-06-04,1,0.9099009753415999,40.0,1
2021-07-07,4,W,2021-06-04,1,0.9099009753415999,41.0,1
2021-07-08,4,W,2021-06-04,1,0.9099009753415999,42.0,1
2021-07-09,4,W,2021-06-04,1,0.9099009753415999,41.0,1
2021-07-10,4,W,2021-06-04,1,0.9099009753415999,39.0,1
2021-07-11,4,W,2021-06-04,1,0.9099009753415999,40.0,1
2021-07-12,4,W,2021-06-04,1,0.9099009753415999,42.0,1
2021-07-13,4,W,2021-06-04,1,0.9099009753415999,41.0,1
2021-07-14,4,W,2021-06-04,1,0.9099009753415999,43.0,1
2021-07-15,4,W,2021-06-04,1,0.9099009753415999,43.0,1
2021-07-16,4,W,2021-06-04,1,0.9099009753415999,43.0,1
2021-07-17,4,W,2021-06-04,1,0.9099009753415999,43.0,1
2021-07-18,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-19,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-20,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-21,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-22,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-23,4,W,2021-06-04,1,0.9099009753415999,45.0,1
2021-07-24,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-25,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-26,4,W,2021-06-04,1,0.9099009753415999,44.0,1
2021-07-27,4,W,2021-06-04,1,0.9099009753415999,46.0,1
2021-07-28,4,W,2021-06-04,1,0.9099009753415999,46.0,1
2021-07-29,4,W,2021-06-04,1,0.9099009753415999,45.0,1
2021-07-30,4,W,2021-06-04,1,0.9099009753415999,46.0,1
2021-07-31,4,W,2021-06-04,1,0.9099009753415999,45.0,1
2021-05-01,5,S,2100-01-01,0,0.0,51.0,0
2021-05-02,5,S,2100-01-01,0,0.0,51.0,0
2021-05-03,5,S,2100-01-01,0,0.0,51.0,0
2021-05-04,5,S,2100-01-01,0,0.0,50.0,0
2021-05-05,5,S,2100-01-01,0,0.0,49.0,0
2021-05-06,5,S,2100-01-01,0,0.0,51.0,0
2021-05-07,5,S,2100-01-01,0,0.0,51.0,0
2021-05-08,5,S,2100-01-01,0,0.0,50.0,0
2021-05-09,5,S,2100-01-01,0,0.0,52.0,0
2021-05-10,5,S,2100-01-01,0,0.0,51.0,0
2021-05-11,5,S,2100-01-01,0,0.0,51.0,0
2021-05-12,5,S,2100-01-01,0,0.0,50.0,0
2021-05-13,5,S,2100-01-01,0,0.0,51.0,0
2021-05-14,5,S,2100-01-01,0,0.0,50.0,0
2021-05-15,5,S,2100-01-01,0,0.0,50.0,0
2021-05-16,5,S,2100-01-01,0,0.0,49.0,0
2021-05-17,5,S,2100-01-01,0,0.0,52.0,0
2021-05-18,5,S,2100-01-01,0,0.0,50.0,0
2021-05-19,5,S,2100-01-01,0,0.0,49.0,0
2021-05-20,5,S,2100-01-01,0,0.0,51.0,0
2021-05-21,5,S,2100-01-01,0,0.0,50.0,0
2021-05-22,5,S,2100-01-01,0,0.0,49.0,0
2021-05-23,5,S,2100-01-01,0,0.0,50.0,0
2021-05-24,5,S,2100-01-01,0,0.0,51.0,0
2021-05-25,5,S,2100-01-01,0,0.0,51.0,0
2021-05-26,5,S,2100-01-01,0,0.0,51.0,0
2021-05-27,5,S,2100-01-01,0,0.0,50.0,0
2021-05-28,5,S,2100-01-01,0,0.0,49.0,0
2021-05-29,5,S,2100-01-01,0,0.0,50.0,0
2021-05-30,5,S,2100-01-01,0,0.0,50.0,0
2021-05-31,5,S,2100-01-01,0,0.0,51.0,0
2021-06-01,5,S,2100-01-01,0,0.0,50.0,0
2021-06-02,5,S,2100-01-01,0,0.0,50.0,0
2021-06-03,5,S,2100-01-01,0,0.0,50.0,0
2021-06-04,5,S,2100-01-01,0,0.0,52.0,0
2021-06-05,5,S,2100-01-01,0,0.0,49.0,0
2021-06-06,5,S,2100-01-01,0,0.0,50.0,0
2021-06-07,5,S,2100-01-01,0,0.0,50.0,0
2021-06-08,5,S,2100-01-01,0,0.0,51.0,0
2021-06-09,5,S,2100-01-01,0,0.0,51.0,0
2021-06-10,5,S,2100-01-01,0,0.0,51.0,0
2021-06-11,5,S,2100-01-01,0,0.0,50.0,0
2021-06-12,5,S,2100-01-01,0,0.0,50.0,0
2021-06-13,5,S,2100-01-01,0,0.0,50.0,0
2021-06-14,5,S,2100-01-01,0,0.0,52.0,0
2021-06-15,5,S,2100-01-01,0,0.0,50.0,0
2021-06-16,5,S,2100-01-01,0,0.0,50.0,0
2021-06-17,5,S,2100-01-01,0,0.0,50.0,0
2021-06-18,5,S,2100-01-01,0,0.0,52.0,0
2021-06-19,5,S,2100-01-01,0,0.0,51.0,0
2021-06-20,5,S,2100-01-01,0,0.0,50.0,0
2021-06-21,5,S,2100-01-01,0,0.0,51.0,0
2021-06-22,5,S,2100-01-01,0,0.0,51.0,0
2021-06-23,5,S,2100-01-01,0,0.0,51.0,0
2021-06-24,5,S,2100-01-01,0,0.0,51.0,0
2021-06-25,5,S,2100-01-01,0,0.0,51.0,0
2021-06-26,5,S,2100-01-01,0,0.0,50.0,0
2021-06-27,5,S,2100-01-01,0,0.0,49.0,0
2021-06-28,5,S,2100-01-01,0,0.0,51.0,0
2021-06-29,5,S,2100-01-01,0,0.0,50.0,0
2021-06-30,5,S,2100-01-01,0,0.0,49.0,0
2021-07-01,5,S,2100-01-01,0,0.0,51.0,0
2021-07-02,5,S,2100-01-01,0,0.0,50.0,0
2021-07-03,5,S,2100-01-01,0,0.0,49.0,0
2021-07-04,5,S,2100-01-01,0,0.0,50.0,0
2021-07-05,5,S,2100-01-01,0,0.0,53.0,0
2021-07-06,5,S,2100-01-01,0,0.0,51.0,0
2021-07-07,5,S,2100-01-01,0,0.0,51.0,0
2021-07-08,5,S,2100-01-01,0,0.0,50.0,0
2021-07-09,5,S,2100-01-01,0,0.0,51.0,0
2021-07-10,5,S,2100-01-01,0,0.0,50.0,0
2021-07-11,5,S,2100-01-01,0,0.0,50.0,0
2021-07-12,5,S,2100-01-01,0,0.0,52.0,0
2021-07-13,5,S,2100-01-01,0,0.0,50.0,0
2021-07-14,5,S,2100-01-01,0,0.0,51.0,0
