city,state,pop,hdi
sao_jose_dos_pinhais,parana,334620,758
guaruja,sao_paulo,324977,751
taubate,sao_paulo,320820,800
palmas,tocantins,313349,788
limeira,sao_paulo,310783,775
camacari,bahia,309208,694
santarem,para,308339,691
petropolis,rio_de_janeiro,307144,745
mossoro,rio_grande_do_norte,303792,720
suzano,sao_paulo,303397,765
taboao_da_serra,sao_paulo,297528,769
varzea_grande,mato_grosso,290383,734
sumare,sao_paulo,289875,762
maraba,para,287664,668
gravatai,rio_grande_do_sul,285564,736
santa_maria,rio_grande_do_sul,285159,784
governador_valadares,minas_gerais,282164,727
barueri,sao_paulo,279704,786
juazeiro_do_norte,ceara,278264,694
volta_redonda,rio_de_janeiro,274925,771
parnamirim,rio_grande_do_norte,272490,766
ipatinga,minas_gerais,267333,771
macae,rio_de_janeiro,266136,764
indaiatuba,sao_paulo,260690,788
imperatriz,maranhao,259980,731
foz_do_iguacu,parana,257971,751
cotia,sao_paulo,257882,780
viamao,rio_grande_do_sul,257330,717
sao_carlos,sao_paulo,256915,805
sao_jose,santa_catarina,253705,809
colombo,parana,249277,733
mage,rio_de_janeiro,247741,709
novo_hamburgo,rio_grande_do_sul,247303,747
rio_verde,goias,247259,754
itaborai,rio_de_janeiro,244416,693
americana,sao_paulo,244370,811
itapevi,sao_paulo,244131,735
sete_lagoas,minas_gerais,243950,760
divinopolis,minas_gerais,242505,764
marilia,sao_paulo,242249,798
araraquara,sao_paulo,240542,815
sao_leopoldo,rio_grande_do_sul,240378,739
rondonopolis,mato_grosso,239613,755
hortolandia,sao_paulo,237570,756
jacarei,sao_paulo,237119,777
arapiraca,alagoas,234309,649
cabo_frio,rio_de_janeiro,234077,735
presidente_prudente,sao_paulo,231953,806
maracanau,ceara,230986,686
dourados,mato_grosso_do_sul,227990,747
chapeco,santa_catarina,227587,790
itajai,santa_catarina,226617,795
aguas_lindas_de_goias,goias,222850,686
santa_luzia,minas_gerais,221705,715
juazeiro,bahia,219544,677
criciuma,santa_catarina,219393,788
parauapebas,para,218787,715
luziania,goias,214645,701
itabuna,bahia,214123,712
rio_grande,rio_grande_do_sul,212881,744
sobral,ceara,212437,714
alvorada,rio_grande_do_sul,212352,699
cachoeiro_de_itapemirim,espirito_santo,212172,746
cabo_de_santo_agostinho,pernambuco,210796,686
angra_dos_reis,rio_de_janeiro,210171,724
rio_claro,sao_paulo,209548,803
passo_fundo,rio_grande_do_sul,206103,776
castanhal,para,205667,673
lauro_de_freitas,bahia,204669,754
aracatuba,sao_paulo,199210,788
ferraz_de_vasconcelos,sao_paulo,198661,738
santa_barbara_d'oeste,sao_paulo,195278,781
nova_friburgo,rio_de_janeiro,191664,745
nossa_senhora_do_socorro,sergipe,187733,664
araguaina,tocantins,186245,752
teresopolis,rio_de_janeiro,185820,730
barra_mansa,rio_de_janeiro,185237,729
jaragua_do_sul,santa_catarina,184579,803
ibirite,minas_gerais,184030,704
guarapuava,parana,183755,731
sao_jose_de_ribamar,maranhao,180345,708
linhares,espirito_santo,179755,724
itapecerica_da_serra,sao_paulo,179574,742
francisco_morato,sao_paulo,179372,703
palhoca,santa_catarina,178679,757
itu,sao_paulo,177150,773
mesquita,rio_de_janeiro,177016,737
valparaiso_de_goias,goias,175720,746
braganca_paulista,sao_paulo,172346,776
pindamonhangaba,sao_paulo,171885,773
timon,maranhao,171317,649
pocos_de_caldas,minas_gerais,169838,779
marica,rio_de_janeiro,167668,765
itapetininga,sao_paulo,167106,763
caxias,maranhao,166159,624
teixeira_de_freitas,bahia,164290,685
nilopolis,rio_de_janeiro,162893,753
sao_caetano_do_sul,sao_paulo,162763,862
abaetetuba,para,160439,628
camaragibe,pernambuco,159945,692
rio_das_ostras,rio_de_janeiro,159529,773
franco_da_rocha,sao_paulo,158438,731
barreiras,bahia,158432,721
ilheus,bahia,157639,690
paranagua,parana,157378,750
lages,santa_catarina,157158,770
jequie,bahia,156277,665
patos_de_minas,minas_gerais,154641,765
pouso_alegre,minas_gerais,154293,774
mogi_guacu,sao_paulo,154146,774
parnaiba,piaui,153863,687
jau,sao_paulo,153463,778
alagoinhas,bahia,153023,683
porto_seguro,bahia,152529,676
queimados,rio_de_janeiro,152311,680
botucatu,sao_paulo,149718,800
balneario_camboriu,santa_catarina,149227,845
sinop,mato_grosso,148960,754
araucaria,parana,148522,740
atibaia,sao_paulo,145378,765
santana_de_parnaiba,sao_paulo,145073,814
toledo,parana,144601,768
sapucaia_do_sul,rio_grande_do_sul,142508,726
garanhuns,pernambuco,141347,664
teofilo_otoni,minas_gerais,141269,701
cameta,para,140814,577
brusque,santa_catarina,140597,795
vitoria_de_santo_antao,pernambuco,140389,640
barbacena,minas_gerais,139061,769
santa_rita,paraiba,138093,627
sabara,minas_gerais,137877,731
varginha,minas_gerais,137608,778
apucarana,parana,137438,748
simoes_filho,bahia,137117,675
araras,sao_paulo,136739,781
itaguai,rio_de_janeiro,136547,715
araruama,rio_de_janeiro,136109,718
marituba,para,135812,676
sao_felix_do_xingu,para,135732,594
campo_largo,parana,135678,745
pinhais,parana,134788,751
sao_mateus,espirito_santo,134629,735
crato,ceara,133913,713
resende,rio_de_janeiro,133244,768
valinhos,sao_paulo,133169,819
cubatao,sao_paulo,132521,737
santa_cruz_do_sul,rio_grande_do_sul,132271,773
cachoeirinha,rio_grande_do_sul,132144,757
trindade,goias,132006,699
vespasiano,minas_gerais,131849,688
itapipoca,ceara,131687,640
maranguape,ceara,131677,659
ji-parana,rondonia,131026,714
conselheiro_lafaiete,minas_gerais,130584,761
braganca,para,130122,600
barcarena,para,129333,662
guarapari,espirito_santo,128504,731
sertaozinho,sao_paulo,128432,761
jandira,sao_paulo,127734,760
uruguaiana,rio_grande_do_sul,126766,744
arapongas,parana,126545,748
birigui,sao_paulo,126094,780
formosa,goias,125705,744
paco_do_lumiar,maranhao,125265,724
ribeirao_pires,sao_paulo,125238,784
caraguatatuba,sao_paulo,125194,759
tres_lagoas,mato_grosso_do_sul,125137,744
santana,amapa,124808,692
votorantim,sao_paulo,124468,767
colatina,espirito_santo,124283,746
varzea_paulista,sao_paulo,124269,759
itatiba,sao_paulo,124254,778
tatui,sao_paulo,124134,752
barretos,sao_paulo,123546,789
codo,maranhao,123368,595
guaratingueta,sao_paulo,123192,798
catanduva,sao_paulo,123114,785
bento_goncalves,rio_grande_do_sul,123090,778
itabira,minas_gerais,121717,756
bage,rio_grande_do_sul,121518,740
senador_canedo,goias,121447,701
almirante_tamandare,parana,121420,699
salto,sao_paulo,120779,780
igarassu,pernambuco,119690,665
novo_gama,goias,119649,684
poa,sao_paulo,119221,771
paulo_afonso,bahia,119213,674
araguari,minas_gerais,118361,773
uba,minas_gerais,117995,724
altamira,para,117320,665
piraquara,parana,116852,700
tucurui,para,116605,666
parintins,amazonas,116439,658
passos,minas_gerais,115970,756
paragominas,para,115838,645
eunapolis,bahia,115360,677
ourinhos,sao_paulo,115139,778
sao_lourenco_da_mata,pernambuco,114910,653
paulinia,sao_paulo,114508,795
acailandia,maranhao,113783,672
umuarama,parana,113416,761
catalao,goias,113091,766
corumba,mato_grosso_do_sul,112669,700
santa_cruz_do_capibaribe,pernambuco,111812,648
tailandia,para,111554,588
ariquemes,rondonia,111148,702
coronel_fabriciano,minas_gerais,110709,755
muriae,minas_gerais,109997,734
patos,paraiba,108766,701
araxa,minas_gerais,108403,772
nova_serrana,minas_gerais,108241,715
cambe,parana,108126,734
tangara_da_serra,mato_grosso,107631,729
sao_pedro_da_aldeia,rio_de_janeiro,107556,712
erechim,rio_grande_do_sul,107368,776
tubarao,santa_catarina,107143,796
itumbiara,goias,106845,752
japeri,rio_de_janeiro,106296,659
lagarto,sergipe,106015,625
ituiutaba,minas_gerais,105818,739
assis,sao_paulo,105768,805
lavras,minas_gerais,105756,782
leme,sao_paulo,105273,744
bacabal,maranhao,105094,651
aracruz,espirito_santo,104942,752
sao_goncalo_do_amarante,rio_grande_do_norte,104919,661
vilhena,rondonia,104517,731
itaperuna,rio_de_janeiro,104354,730
itanhaem,sao_paulo,104351,745
breves,para,104280,503
itacoatiara,amazonas,104046,644
caieiras,sao_paulo,104044,781
fazenda_rio_grande,parana,103750,720
mairipora,sao_paulo,103645,788
iguatu,ceara,103633,677
jatai,goias,103221,757
santo_antonio_de_jesus,bahia,103204,700
itaituba,para,101541,640
barra_do_pirai,rio_de_janeiro,101139,733
abreu_e_lima,pernambuco,100698,679
manacapuru,amazonas,99613,614
ipojuca,pernambuco,99101,619
sarandi,parana,98888,695
guaiba,rio_grande_do_sul,98331,730
valenca,bahia,97873,623
itajuba,minas_gerais,97782,787
bayeux,paraiba,97519,649
nova_lima,minas_gerais,97378,813
balsas,maranhao,96951,687
itabaiana,sergipe,96839,642
votuporanga,sao_paulo,96106,790
campo_mourao,parana,96102,757
cacapava,sao_paulo,95752,788
para_de_minas,minas_gerais,95616,725
caceres,mato_grosso,95339,708
ponta_pora,mato_grosso_do_sul,95320,701
itapeva,sao_paulo,95241,732
caldas_novas,goias,95183,733
sorriso,mato_grosso,94941,744
paracatu,minas_gerais,94539,744
itauna,minas_gerais,94455,758
mogi_mirim,sao_paulo,94098,784
francisco_beltrao,parana,93308,774
caratinga,minas_gerais,93124,706
sao_roque,sao_paulo,93076,768
ubatuba,sao_paulo,92819,751
luis_eduardo_magalhaes,bahia,92671,716
aruja,sao_paulo,92453,784
sao_joao_da_boa_vista,sao_paulo,92315,797
patrocinio,minas_gerais,92116,729
sao_cristovao,sergipe,92090,662
manhuacu,minas_gerais,92074,689
saquarema,rio_de_janeiro,91938,709
avare,sao_paulo,91792,767
sao_sebastiao,sao_paulo,91637,772
planaltina,goias,91345,669
timoteo,minas_gerais,91268,770
santa_ines,maranhao,89927,674
cruzeiro_do_sul,acre,89760,664
lorena,sao_paulo,89532,766
paranavai,parana,89454,763
quixada,ceara,88899,659
barra_do_corda,maranhao,88895,606
gurupi,tocantins,88428,759
candeias,bahia,87820,691
serra_talhada,pernambuco,87467,661
camboriu,santa_catarina,87179,726
coari,amazonas,86713,586
cacoal,rondonia,86416,718
campo_limpo_paulista,sao_paulo,86407,769
redencao,para,86326,672
sao_bento_do_sul,santa_catarina,86317,782
lajeado,rio_grande_do_sul,86005,778
navegantes,santa_catarina,85734,736
pacatuba,ceara,85647,675
unai,minas_gerais,85461,736
guanambi,bahia,85353,673
gravata,pernambuco,85309,634
araripina,pernambuco,85301,602
carpina,pernambuco,85131,680
cianorte,parana,84980,755
pato_branco,parana,84779,782
moju,para,84251,547
pinheiro,maranhao,84160,637
matao,sao_paulo,84069,773
ijui,rio_grande_do_sul,84041,781
seropedica,rio_de_janeiro,83841,713
dias_d'avila,bahia,83705,676
esteio,rio_grande_do_sul,83352,754
cruzeiro,sao_paulo,82895,788
macaiba,rio_grande_do_norte,82828,640
tres_rios,rio_de_janeiro,82468,725
quixeramobim,ceara,82455,642
serrinha,bahia,81693,634
aquiraz,ceara,81581,641
cachoeira_do_sul,rio_grande_do_sul,81552,742
vinhedo,sao_paulo,81516,817
curvelo,minas_gerais,81085,713
alfenas,minas_gerais,80973,761
joao_monlevade,minas_gerais,80903,758
jacobina,bahia,80749,649
viana,espirito_santo,80735,686
chapadinha,maranhao,80705,604
telemaco_borba,parana,80588,734
tres_coracoes,minas_gerais,80561,744
sapiranga,rio_grande_do_sul,80514,711
goiana,pernambuco,80345,651
ibiuna,sao_paulo,80062,710
cacador,santa_catarina,80017,735
vicosa,minas_gerais,79910,775
senhor_do_bonfim,bahia,79813,666
russas,ceara,79550,674
cajamar,sao_paulo,79034,728
lins,sao_paulo,78978,786
picos,piaui,78627,698
novo_repartimento,para,78488,537
jaboticabal,sao_paulo,78029,778
bebedouro,sao_paulo,77612,780
santo_angelo,rio_grande_do_sul,77544,772
caninde,ceara,77484,612
itapetinga,bahia,77408,667
pirassununga,sao_paulo,77330,801
valenca,rio_de_janeiro,77202,738
tiangua,ceara,77111,657
belo_jardim,pernambuco,76930,629
santo_antonio_do_descoberto,goias,76871,665
santana_do_araguaia,para,75995,602
cataguases,minas_gerais,75942,751
itapira,sao_paulo,75683,762
concordia,santa_catarina,75683,800
rio_largo,alagoas,75662,643
aracati,ceara,75392,655
arcoverde,pernambuco,75295,667
crateus,ceara,75241,644
oriximina,para,74921,623
ouro_preto,minas_gerais,74824,741
cosmopolis,sao_paulo,74662,769
cidade_ocidental,goias,74370,717
ceara-mirim,rio_grande_do_norte,74268,616
pacajus,ceara,74145,659
irece,bahia,74050,691
santa_rosa,rio_grande_do_sul,73882,769
farroupilha,rio_grande_do_sul,73758,777
buriticupu,maranhao,73595,556
palmeira_dos_indios,alagoas,73452,638
amparo,sao_paulo,73145,785
santa_luzia,maranhao,73105,550
casa_nova,bahia,73092,570
rio_do_sul,santa_catarina,72931,802
cascavel,ceara,72706,646
esmeraldas,minas_gerais,72512,671
alegrete,rio_grande_do_sul,72493,740
janauba,minas_gerais,72374,696
venancio_aires,rio_grande_do_sul,72373,712
indaial,santa_catarina,72346,777
castro,parana,72125,703
goianesia,goias,72045,727
gaspar,santa_catarina,71925,765
sao_sebastiao_do_paraiso,minas_gerais,71915,722
campo_formoso,bahia,71754,586
grajau,maranhao,70692,609
biguacu,santa_catarina,70471,739
ouricuri,pernambuco,70466,572
embu-guacu,sao_paulo,70402,749
bom_jesus_da_lapa,bahia,70151,633
sousa,paraiba,69997,668
campo_bom,rio_grande_do_sul,69981,745
estancia,sergipe,69919,647
capanema,para,69828,655
cabedelo,paraiba,69773,748
escada,pernambuco,69701,632
peruibe,sao_paulo,69697,749
horizonte,ceara,69688,658
fernandopolis,sao_paulo,69680,797
lucas_do_rio_verde,mato_grosso,69671,768
lencois_paulista,sao_paulo,69533,764
ararangua,santa_catarina,69493,760
mineiros,goias,69477,718
itapema,santa_catarina,69323,796
mococa,sao_paulo,69072,762
caico,rio_grande_do_norte,68726,710
breu_branco,para,68597,568
tabatinga,amazonas,68502,616
ico,ceara,68303,606
rolandia,parana,68165,739
pesqueira,pernambuco,68067,610
januaria,minas_gerais,67958,658
formiga,minas_gerais,67956,755
brumado,bahia,67468,656
conceicao_do_coite,bahia,67394,611
ipixuna_do_para,para,67170,489
vacaria,rio_grande_do_sul,66916,721
lagoa_santa,minas_gerais,66744,777
camaqua,rio_grande_do_sul,66686,697
surubim,pernambuco,66192,635
maues,amazonas,66159,588
montenegro,rio_grande_do_sul,66157,755
bertioga,sao_paulo,66154,730
uniao_dos_palmares,alagoas,65963,593
coroata,maranhao,65788,576
tupa,sao_paulo,65615,771
pedro_leopoldo,minas_gerais,65149,757
itaberaba,bahia,64795,620
benevides,para,64780,665
tome-acu,para,64604,586
itamaraju,bahia,64423,627
itupeva,sao_paulo,64330,762
camocim,ceara,64147,620
penapolis,sao_paulo,64098,759
penedo,alagoas,64005,630
cruz_das_almas,bahia,63923,699
barreirinhas,maranhao,63891,570
primavera_do_leste,mato_grosso,63876,752
portel,para,63831,483
piripiri,piaui,63829,635
moreno,pernambuco,63792,652
palmares,pernambuco,63745,622
acarau,ceara,63556,601
batatais,sao_paulo,63438,761
igarape-miri,para,63367,547
boituva,sao_paulo,63310,780
cajazeiras,paraiba,62576,679
carazinho,rio_grande_do_sul,62413,766
sao_miguel_dos_campos,alagoas,62328,623
ulianopolis,para,62286,604
guapimirim,rio_de_janeiro,62225,698
sao_gabriel,rio_grande_do_sul,62187,699
viseu,para,62093,515
vicosa_do_ceara,ceara,61916,571
mariana,minas_gerais,61830,742
nova_odessa,sao_paulo,61716,791
monte_mor,sao_paulo,61707,733
barra_do_garcas,mato_grosso,61702,748
barbalha,ceara,61662,683
morada_nova,ceara,61590,610
salgueiro,pernambuco,61561,669
irati,parana,61439,726
cristalina,goias,61385,699
dom_eliseu,para,61206,615
ibitinga,sao_paulo,61150,747
euclides_da_cunha,bahia,61112,567
bezerros,pernambuco,60960,606
rio_bonito,rio_de_janeiro,60930,710
sidrolandia,mato_grosso_do_sul,60792,686
mirassol,sao_paulo,60768,762
sao_bento_do_una,pernambuco,60567,593
jacunda,para,60517,622
frutal,minas_gerais,60508,730
sao_miguel_do_guama,para,60268,591
limoeiro_do_norte,ceara,60232,682
santo_amaro,bahia,60190,646
floriano,piaui,60111,700
ponte_nova,minas_gerais,60003,717
juruti,para,59961,592
tutoia,maranhao,59927,561
jaguariuna,sao_paulo,59921,784
sao_borja,rio_grande_do_sul,59768,736
cachoeiras_de_macacu,rio_de_janeiro,59652,700
cruz_alta,rio_grande_do_sul,59561,750
buique,pernambuco,59448,527
parobe,rio_grande_do_sul,59419,704
guarabira,paraiba,59389,673
ipira,bahia,59281,549
taua,ceara,59259,633
tefe,amazonas,59250,639
mongagua,sao_paulo,58567,754
santa_isabel,sao_paulo,58529,738
uniao_da_vitoria,parana,58298,740
monte_alegre,para,58289,589
icara,santa_catarina,58055,741
campo_alegre,alagoas,57997,570
vargem_grande,maranhao,57813,542
taquara,rio_grande_do_sul,57740,727
coruripe,alagoas,57647,626
taquaritinga,sao_paulo,57547,748
manicore,amazonas,57405,582
alenquer,para,57390,564
paudalho,pernambuco,57346,639
andradina,sao_paulo,57245,779
humaita,amazonas,57195,605
tres_pontas,minas_gerais,57127,731
capivari,sao_paulo,56973,750
porto_ferreira,sao_paulo,56848,751
pirapora,minas_gerais,56845,731
mafra,santa_catarina,56825,777
trairi,ceara,56653,606
sao_francisco,minas_gerais,56625,638
navirai,mato_grosso_do_sul,56484,700
registro,sao_paulo,56463,754
cangucu,rio_grande_do_sul,56370,650
artur_nogueira,sao_paulo,56247,749
limoeiro,pernambuco,56149,663
nova_andradina,mato_grosso_do_sul,56057,721
congonhas,minas_gerais,55836,753
rolim_de_moura,rondonia,55748,700
acara,para,55744,506
piedade,sao_paulo,55731,716
ibipora,parana,55688,726
olimpia,sao_paulo,55477,773
sao_jose_do_rio_pardo,sao_paulo,55298,774
catu,bahia,55222,677
granja,ceara,55170,559
eusebio,ceara,55035,701
capao_da_canoa,rio_grande_do_sul,55009,743
jaguaquara,bahia,54913,580
araci,bahia,54903,534
sao_francisco_do_sul,santa_catarina,54751,762
acopiara,ceara,54687,595
boa_viagem,ceara,54680,598
vigia,para,54650,617
canoinhas,santa_catarina,54558,757
capitao_poco,para,54545,548
campo_belo,minas_gerais,54338,711
beberibe,ceara,54315,638
vargem_grande_paulista,sao_paulo,54315,770
barra,bahia,54225,557
videira,santa_catarina,54145,764
ribeira_do_pombal,bahia,54097,601
marechal_candido_rondon,parana,54031,774
porto_feliz,sao_paulo,53698,758
santo_estevao,bahia,53666,626
inhumas,goias,53655,720
porto_nacional,tocantins,53618,740
tramandai,rio_grande_do_sul,53507,719
itupiranga,para,53439,528
rondon_do_para,para,53242,602
lagoa_da_prata,minas_gerais,53236,732
paracambi,rio_de_janeiro,53093,720
itabirito,minas_gerais,52996,730
sape,paraiba,52977,569
tobias_barreto,sergipe,52861,557
viana,maranhao,52852,618
marechal_deodoro,alagoas,52848,642
prudentopolis,parana,52776,676
sao_joaquim_da_barra,sao_paulo,52737,762
campos_do_jordao,sao_paulo,52713,749
leopoldina,minas_gerais,52690,726
timbauba,pernambuco,52587,618
paraiso_do_tocantins,tocantins,52521,764
palmas,parana,52503,660
delmiro_gouveia,alagoas,52501,612
obidos,para,52473,594
ruropolis,para,52473,548
laranjal_do_jari,amapa,52302,665
xanxere,santa_catarina,52290,775
guaxupe,minas_gerais,52234,751
ze_doca,maranhao,52190,595
jaragua,goias,52160,699
alta_floresta,mato_grosso,52105,714
rio_grande_da_serra,sao_paulo,52009,749
pontal,sao_paulo,51717,725
brejo_da_madre_de_deus,pernambuco,51696,562
jaru,rondonia,51469,689
bom_despacho,minas_gerais,51436,750
quirinopolis,goias,51323,740
estancia_velha,rio_grande_do_sul,51292,757
caetite,bahia,51184,625
cabreuva,sao_paulo,51130,738
monte_alto,sao_paulo,51039,768
louveira,sao_paulo,51007,777
lago_da_pedra,maranhao,50959,589
tucano,bahia,50903,579
itarare,sao_paulo,50778,703
nova_venecia,espirito_santo,50751,712
cerquilho,sao_paulo,50631,782
bocaiuva,minas_gerais,50521,700
macaubas,bahia,50481,609
brejo_santo,ceara,50195,647
coelho_neto,maranhao,49804,564
iranduba,amazonas,49718,613
baiao,para,49454,578
sao_goncalo_do_amarante,ceara,49306,665
santiago,rio_grande_do_sul,49298,766
jales,sao_paulo,49291,776
monte_santo,bahia,49145,506
pacaja,para,49110,515
pedreira,sao_paulo,48992,769
bom_conselho,pernambuco,48975,563
maracaju,mato_grosso_do_sul,48944,736
lapa,parana,48651,706
mauriti,ceara,48370,605
sao_benedito,ceara,48354,611
presidente_dutra,maranhao,48264,653
tremembe,sao_paulo,48228,785
nova_mutum,mato_grosso,48222,758
santa_cruz_do_rio_pardo,sao_paulo,48207,762
aquidauana,mato_grosso_do_sul,48184,688
conceicao_do_araguaia,para,48115,640
monte_carmelo,minas_gerais,48049,728
joao_pinheiro,minas_gerais,47990,697
diamantina,minas_gerais,47924,716
santana_do_ipanema,alagoas,47910,591
cornelio_procopio,parana,47840,759
ribeirao,pernambuco,47813,602
mairinque,sao_paulo,47723,743
labrea,amazonas,47685,531
mata_de_sao_joao,bahia,47643,668
atalaia,alagoas,47540,561
pederneiras,sao_paulo,47523,739
barras,piaui,47298,595
dracena,sao_paulo,47287,776
sena_madureira,acre,47168,603
sao_mateus_do_sul,parana,47137,719
capao_bonito,sao_paulo,47098,721
araioses,maranhao,47095,521
toritama,pernambuco,47088,618
niquelandia,goias,47064,715
sao_gabriel_da_cachoeira,amazonas,47031,609
morrinhos,goias,46955,734
campo_maior,piaui,46950,656
medianeira,parana,46940,763
augusto_correa,para,46937,520
guajara-mirim,rondonia,46930,657
pocoes,bahia,46885,604
sirinhaem,pernambuco,46845,597
osorio,rio_grande_do_sul,46815,751
guaramirim,santa_catarina,46757,751
xique-xique,bahia,46562,585
sao_lourenco,minas_gerais,46539,759
santo_antonio_da_platina,parana,46503,718
laguna,santa_catarina,46424,752
livramento_de_nossa_senhora,bahia,46372,611
santos_dumont,minas_gerais,46357,741
salto_de_pirapora,sao_paulo,46285,729
goianira,goias,46278,694
paraguacu_paulista,sao_paulo,46180,762
serrana,sao_paulo,46166,729
pontes_e_lacerda,mato_grosso,46105,703
sao_bento,maranhao,45989,602
ipiau,bahia,45969,670
canela,rio_grande_do_sul,45957,748
mangaratiba,rio_de_janeiro,45941,753
porangatu,goias,45866,727
casimiro_de_abreu,rio_de_janeiro,45864,726
imbituba,santa_catarina,45711,765
timbo,santa_catarina,45703,784
jardinopolis,sao_paulo,45544,735
marau,rio_grande_do_sul,45523,774
xinguara,para,45416,646
uruara,para,45395,589
mamanguape,paraiba,45385,585
caete,minas_gerais,45364,728
barra_de_sao_francisco,espirito_santo,45301,683
currais_novos,rio_grande_do_norte,45022,691
maragogipe,bahia,44902,621
benjamin_constant,amazonas,44873,574
paraiba_do_sul,rio_de_janeiro,44741,702
orlandia,sao_paulo,44682,780
uniao,piaui,44649,577
espirito_santo_do_pinhal,sao_paulo,44607,787
panambi,rio_grande_do_sul,44583,761
presidente_epitacio,sao_paulo,44572,750
teotonio_vilela,alagoas,44570,564
sao_jose_de_mipibu,rio_grande_do_norte,44566,611
igarape,minas_gerais,44561,698
sao_sebastiao_do_passe,bahia,44554,657
garca,sao_paulo,44429,769
queimadas,paraiba,44388,608
seabra,bahia,44370,635
itaberai,goias,44329,719
santa_rita_do_sapucai,minas_gerais,44226,721
amontada,ceara,44195,606
vera_cruz,bahia,44185,645
paraty,rio_de_janeiro,44175,693
nova_vicosa,bahia,44170,654
campina_grande_do_sul,parana,44072,718
campo_verde,mato_grosso,44033,750
aguas_belas,pernambuco,43923,526
mombaca,ceara,43917,582
catende,pernambuco,43778,609
tarauaca,acre,43730,539
santa_quiteria,ceara,43719,616
itapolis,sao_paulo,43536,744
sao_lourenco_do_sul,rio_grande_do_sul,43501,687
santo_antonio_da_patrulha,rio_grande_do_sul,43397,717
vargem_grande_do_sul,sao_paulo,43368,737
pedra_branca,ceara,43359,603
visconde_do_rio_branco,minas_gerais,43351,709
rosario,maranhao,43243,632
estreito,maranhao,43097,659
tiete,sao_paulo,42946,778
barreiros,pernambuco,42866,586
santa_helena,maranhao,42829,571
mucuri,bahia,42729,665
santo_antonio_de_padua,rio_de_janeiro,42705,718
rio_negrinho,santa_catarina,42684,738
machado,minas_gerais,42682,715
itarema,ceara,42595,606
eldorado_do_sul,rio_grande_do_sul,42490,717
porto_de_moz,para,42456,503
paranaiba,mato_grosso_do_sul,42401,721
itabaianinha,sergipe,42399,556
almenara,minas_gerais,42380,642
borba,amazonas,42328,560
santa_maria_da_boa_vista,pernambuco,42266,590
ituverava,sao_paulo,42259,765
paicandu,parana,42251,716
